name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Roundwood Hall Golf Club,https://www.roundwoodhall.co.uk,51.1330294,1.0472864,unknown,unknown,,low,homepage loaded (https://www.roundwoodhall.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Chestfield Golf Club,https://www.chestfield-golfclub.co.uk/,51.3450613,1.0703327,intelligent_golf,public,https://chestfield.intelligentgolf.co.uk/visitorbooking/,high,
Broome Park Golf Club,https://www.broomepark.co.uk/,51.1941197,1.1731318,unknown,unknown,,low,homepage loaded (https://broomepark.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Sittingbourne & Milton Regis Golf Club,https://www.sittingbournegolfclub.com/,51.337981,0.6681799,intelligent_golf,login_required,,high,booking link requires login: https://www.sittingbournegolfclub.com/visitorbooking/
Nevill Golf Club,,51.1116452,0.2835953,no_site,unknown,,low,no official website resolved (not in county union directory)
Tenterden Golf Club,https://www.tenterden.golf/home/,51.0765925,0.7133208,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.tenterden.golf', port=443): Max retries exceeded with url: /home/ (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
The Weald of Kent Golf Course,https://www.weald-of-kent.co.uk/,51.1914495,0.6083433,intelligent_golf,public,https://wealdofkent.intelligentgolf.co.uk/visitorbooking/,high,confirmed by following the platform link found on the club's own site
Tudor Park Country Club,https://www.marriottgolf.co.uk/club/tudor-park,51.2620354,0.5891547,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.marriottgolf.co.uk', port=443): Max retries exceeded with url: /club/tudor-park (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Kings Hill Golf Club,https://kingshillgolf.com/,51.2649269,0.4013062,clubv1,public,https://kingshill.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-09,high,
Village Golf & Sports Club,,51.1731729,0.5424468,no_site,unknown,,low,no official website resolved (not in county union directory)
