name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Appleby Golf Club,https://www.applebygolfclub.co.uk/,54.5715975,-2.4421701,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Furness Golf Club,https://www.furnessgolfclub.co.uk/,54.1105307,-3.2643813,clubv1,public,https://furness.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12,high,
Penrith Golf Course,https://www.penrithgolf.org/,54.6802596,-2.7514315,brs,public,https://visitors.brsgolf.com/penrith,high,
Windermere Golf Club,https://www.windermeregolfclub.co.uk/,54.3555023,-2.8957086,brs,public,https://visitors.brsgolf.com/windermere,high,
Beckside Golf Club,https://golfdealfinder.com/golf-courses/england/beckside-golf-club,54.3359862,-2.8383403,unknown,unknown,,low,homepage loaded (https://golfdealfinder.com/golf-courses/england/beckside-golf-club) but no platform signal found on it or 0 booking-ish link(s)
Eccle Riggs Leisure Club,https://eccleriggsleisureclub.co.uk/,54.2661986,-3.2141182,unknown,unknown,,low,homepage loaded (https://eccleriggsleisureclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Casterton Golf Course,https://www.castertongolf.co.uk/,54.2047976,-2.5786419,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Grange Fell Golf Club,https://www.grangefellgolfclub.co.uk/,54.1959533,-2.9321868,brs,public,https://visitors.brsgolf.com/grangefell?iframe=1#/course/1,high,confirmed by following the platform link found on the club's own site
Carus Green Golf Club,https://www.carusgreen.co.uk/,54.3493578,-2.750055,unknown,unknown,,low,homepage loaded (https://www.carusgreen.co.uk/) but no platform signal found on it or 5 booking-ish link(s)
Ulverston Golf Club,https://www.ulverstongolf.co.uk/,54.168441,-3.0791835,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://ulverston.hub.clubv1.com/Visitors/booking"
Stony Holme Golf Club,https://www.stonyholmegolfclub.co.uk/,54.8989373,-2.9131419,error,unknown,,low,"homepage fetch failed: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Kirkby Lonsdale Golf Club,https://www.kirkbylonsdalegolfclub.com/,54.2351791,-2.5895101,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Kendal Golf Club,https://www.kendalgolfclub.co.uk/,54.3301847,-2.7628347,brs,public,https://visitors.brsgolf.com/kendal,high,
Silloth on Solway Golf Club,https://www.sillothgolfclub.co.uk/,54.8588234,-3.3967664,brs,public,https://visitors.brsgolf.com/sillothonsolway,high,
Cockermouth Golf Club,https://www.cockermouthgolf.co.uk/,54.6644505,-3.3033927,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Keswick Golf Club,https://www.keswickgolfclub.com/,54.6186464,-3.0318237,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://keswick.hub.clubv1.com/Visitors/booking"
St. Bees School Golf Course,https://www.stbeesgolfclub.co.uk/,54.4860959,-3.5961234,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://stbees.hub.clubv1.com/Visitors/booking"
Dunnerholme Golf Course,https://dunnerholme.co.uk/golf/,54.2015817,-3.2071654,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
