name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Swanage Golf Games,https://swanagegolfgames.com/,50.6127573,-1.9679751,unknown,unknown,,low,homepage loaded (https://swanagegolfgames.com/) but no platform signal found on it or 1 booking-ish link(s)
Ferndown Golf Club,https://www.ferndowngolfclub.co.uk,50.7994292,-1.8775017,intelligent_golf,login_required,,high,intelligent_golf convention path requires login: https://www.ferndowngolfclub.co.uk/visitorbooking/
Meyrick Park Golf Course,https://www.theclubatmeyrickpark.com,50.7286176,-1.8875548,intelligent_golf,public,https://golf.theclubatmeyrickpark.com/visitorbooking/,high,
Knighton Heath Golf Course,https://www.knightonheathgolfclub.co.uk,50.7610016,-1.9373184,unknown,unknown,,low,homepage loaded (https://www.knightonheathgolfclub.co.uk/) but no platform signal found on it or 4 booking-ish link(s)
Solent Meads Golf Centre,https://www.solentmeads.com/,50.7216863,-1.7735459,unknown,unknown,,low,homepage loaded (https://www.solentmeads.com/) but no platform signal found on it or 1 booking-ish link(s)
Weymouth Golf Club,https://www.weymouthgolfclub.co.uk,50.6172336,-2.4778953,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Lyme Regis Golf Club,https://www.lymeregisgolfclub.co.uk,50.7398972,-2.922782,brs,public,https://visitors.brsgolf.com/lymeregis#/course/1,high,
Came Down Golf Club,https://www.camedowngolfclub.co.uk,50.6767558,-2.444431,brs,public,https://visitors.brsgolf.com/camedown#/course/1,high,confirmed by following the platform link found on the club's own site
Parley Golf Centre Course,https://www.parleygolf.co.uk,50.7733707,-1.8492363,brs,public,https://visitors.brsgolf.com/parley#/course/1,high,
Moors Valley Golf Course,https://www.moors-valley.co.uk/things-to-do/golf-course,50.8574025,-1.8540958,unknown,unknown,,low,homepage loaded (https://moors-valley.co.uk/wp-content/uploads/Golf-course.webp) but no platform signal found on it or 0 booking-ish link(s)
Bridport and West Dorset Golf Club,https://www.bridportgolfclub.co.uk,50.7081057,-2.749547,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://bridport.hub.clubv1.com/Visitors/booking"
Broadstone Golf Club,https://www.broadstonegolfclub.com,50.7728943,-1.9941551,intelligent_golf,public,https://broadstone.intelligentgolf.co.uk/visitorbooking/,high,
