name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Chigwell Golf Club,https://www.chigwellgolfclub.co.uk,51.6133015,0.0746835,intelligent_golf,public,https://chigwell.intelligentgolf.co.uk/visitorbooking/,high,
Woolston Manor Golf & Country Club,https://www.woolstonmanor.co.uk,51.6409419,0.0936986,brs,public,https://visitors.brsgolf.com/woolstonmanor#/course/1,high,
Stapleford Abbotts - Priors Golf Course,https://www.staplefordabbottsgolf.co.uk,51.6323105,0.2172544,brs,public,https://visitors.brsgolf.com/staplefordabbottsgc#/course/1,high,
Weald Park Hotel Golf and Country Club,,51.637794,0.2456019,no_site,unknown,,low,no official website resolved (not in county union directory)
Bentley Golf Course,https://www.bentleygolfclub.com,51.6521551,0.271707,unknown,unknown,,low,homepage loaded (https://bentleygolfclub.com/) but no platform signal found on it or 5 booking-ish link(s)
Nazeing Golf Club,https://www.nazeinggolfclub.co.uk,51.7333247,0.038511,brs,public,https://visitors.brsgolf.com/nazeing#/course/1,high,confirmed by following the platform link found on the club's own site
Bishop's Stortford Golf Club,,51.8684067,0.1884653,no_site,unknown,,low,no official website resolved (not in county union directory)
Theydon Bois Golf Club,https://www.theydongolf.co.uk,51.6798399,0.0937265,intelligent_golf,public,https://theydonbois.intelligentgolf.co.uk/visitorbooking/,high,
West Essex Golf Club,https://www.westessexgolfclub.co.uk,51.6507601,0.0134039,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Blakes Golf Course,https://www.blakesgolfclub.com,51.7200471,0.1873414,brs,public,https://visitors.brsgolf.com/blakes#/course/1,high,
Top Meadow,https://www.topmeadow.co.uk,51.5411545,0.3124113,clubv1,public,https://topmeadow.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-10,high,
South Essex Golf Centre,,51.5873851,0.3667771,no_site,unknown,,low,no official website resolved (not in county union directory)
Saffron Walden Golf Club,,52.0284342,0.2252441,no_site,unknown,,low,no official website resolved (not in county union directory)
Hainault Forest Golf Club,https://www.hainaultforestgolfclub.co.uk,51.6150622,0.1404781,unknown,unknown,,low,homepage loaded (https://www.hainaultforestgolfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Dunton Hills,,51.5700492,0.3706681,no_site,unknown,,low,no official website resolved (not in county union directory)
