name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Shortwood Lodge Golf Club,,51.4753123,-2.4701072,no_site,unknown,,low,no official website resolved (not in county union directory)
Thornbury Golf Centre,https://www.thornburygc.co.uk/,51.5988426,-2.5372467,esp,public,https://www.e-s-p.com/elitelive/book_group.php,high,
Gloucester Golf Club,https://www.gloucestergolf.com/,51.8312883,-2.2273919,brs,public,https://visitors.brsgolf.com/gloucester#/course/1,high,confirmed by following the platform link found on the club's own site
Cotswold Edge Golf Club,https://www.cotswoldedgegolfclub.org.uk/,51.6555011,-2.3290732,unknown,unknown,,low,homepage loaded (https://www.cotswoldedgegolfclub.org.uk/) but no platform signal found on it or 1 booking-ish link(s)
Tewkesbury Park Golf Club,,51.9796581,-2.1728163,no_site,unknown,,low,no official website resolved (not in county union directory)
Lilley Brook Golf Course,https://www.lilleybrook.co.uk/,51.8699168,-2.0567067,clubv1,public,https://lilleybrook.hub.clubv1.com/visitors/TeeSheet?date=2026-09-11,high,
Brickhampton Court Golf Complex,https://www.brickhampton.co.uk/,51.8958636,-2.189342,chronogolf,public,https://www.chronogolf.com/en/club/19511/widget?medium=widget&source=club,high,
Chipping Sodbury Golf Club,https://www.chippingsodburygolfclub.co.uk/,51.5496908,-2.3907232,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Canons Court Golf,,51.6433497,-2.3747961,no_site,unknown,,low,no official website resolved (not in county union directory)
Tracy Park Golf & Country Park,,51.443961,-2.4110457,no_site,unknown,,low,no official website resolved (not in county union directory)
Cotswold Hills Golf Club,https://www.cotswoldhills-golfclub.com/,51.8501433,-2.0720452,unknown,unknown,,low,homepage loaded (https://www.cotswoldhills-golfclub.com/) but no platform signal found on it or 2 booking-ish link(s)
Forest Hills Golf Club,https://foresthillsgolfclub.co.uk,51.8023788,-2.6076656,intelligent_golf,public,https://foresthills.intelligentgolf.co.uk/visitorbooking/,high,
Stinchcombe Hill Golf Course,https://www.stinchcombehillgolfclub.com/,51.6838676,-2.3750966,clubv1,public,https://stinchcombehill.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11,high,confirmed by following the platform link found on the club's own site
Broadway Golf Club,https://www.broadwaygolfclub.co.uk,52.042561,-1.8315097,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Newent Golf Club,https://www.newentgolf.co.uk/,51.9449558,-2.4149642,unknown,unknown,,low,homepage loaded (https://www.newentgolf.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Naunton Downs Golf Club,https://www.nauntondowns.co.uk/,51.9045722,-1.8374179,brs,public,https://visitors.brsgolf.com/nauntondownsgc#/course/1,high,
