name,official_site,lat,lon,platform,access,evidence_url,confidence,note
City Park Starter Shack,,36.8327389,-76.3701668,no_site,unknown,,low,no official website resolved (not in county union directory)
Cams Hall Estate Golf Course,https://www.camshallgolf.co.uk,50.8460691,-1.1679921,intelligent_golf,public,https://golf.camshallgolf.co.uk/visitorbooking/,high,
New Forest Golf Club,https://www.newforestgolfclub.co.uk,50.8796172,-1.568931,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Waterlooville Golf Course,https://www.waterloovillegolfclub.com,50.8946334,-1.0034757,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Tylney Park Golf Club,https://www.tylneypark.co.uk,51.2952432,-0.9799843,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Great Salterns Golf Course,,50.8155957,-1.0467125,no_site,unknown,,low,no official website resolved (not in county union directory)
Portsmouth Golf Club,https://www.portsmouthgc.com,50.8554703,-1.0339579,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.portsmouthgc.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.portsmouthgc.com', port=443): Failed to resolve 'www.portsmouthgc.com' ([Errno 11001] getaddrinfo failed)""))"
Hayling Golf Club,https://www.haylinggolf.co.uk,50.7901129,-1.0152422,intelligent_golf,public,https://hayling.intelligentgolf.co.uk/visitorbooking/,high,
Southwick Park Golf Course,https://www.southwickparkgolfclub.com,50.8726791,-1.1001625,intelligent_golf,public,https://www.southwickparkgolfclub.com/visitorbooking/,high,confirmed via intelligent_golf's standard booking path
Lee-on-the-Solent Golf Course,https://www.leegolf.co.uk,50.8128723,-1.1848611,intelligent_golf,public,https://www.leegolf.co.uk/visitorbooking/,high,
Rowlands Castle Golf Course,https://www.rowlandscastlegolfclub.co.uk,50.8933737,-0.9692407,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.rowlandscastlegolfclub.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
North Hants Golf Club,https://www.northhantsgolf.co.uk,51.2936527,-0.8380978,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Stoneham Golf Club,https://www.stonehamgolfclub.org.uk,50.953081,-1.3911144,intelligent_golf,public,https://www.stonehamgolfclub.org.uk/visitorbooking/,high,
Eastney Pitch-and-Putt,,50.7818615,-1.0624763,no_site,unknown,,low,no official website resolved (not in county union directory)
Paultons Golf Centre,https://www.paultonsgolf.co.uk/index.php,50.9517556,-1.5527191,chronogolf,public,https://www.chronogolf.com/club/18539/widget?medium=widget&source=club,high,confirmed by following the platform link found on the club's own site
The Ageas Bowl County Golf Club,,50.9209744,-1.3226586,no_site,unknown,,low,no official website resolved (not in county union directory)
Swanmore Golf Centre,,50.9296378,-1.1746133,no_site,unknown,,low,no official website resolved (not in county union directory)
Basingstoke Pitch and Putt,https://www.basingstokegolfclub.co.uk,51.2640781,-1.125929,intelligent_golf,public,https://www.basingstokegolfclub.co.uk/visitorbooking/,high,
Chilworth Golf Centre,https://www.chilworthgolfclub.com,50.9684275,-1.4345947,unknown,unknown,,low,homepage loaded (https://www.chilworthgolfclub.com/) but no platform signal found on it or 3 booking-ish link(s)
Hartley Wintney Golf Course,https://www.hartleywintneygolfclub.com,51.3091972,-0.8896072,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Weybrook Park Golf Club,https://www.weybrookpark.co.uk,51.2867314,-1.1243241,intelligent_golf,public,https://weybrookpark.intelligentgolf.co.uk/visitorbooking/,high,
Basingstoke Golf Club,https://www.basingstokegolfclub.co.uk,51.2162582,-1.1509316,intelligent_golf,public,https://www.basingstokegolfclub.co.uk/visitorbooking/,high,
Dibden Golf Centre,https://www.bramshotthillgolfclub.org,50.8696104,-1.4308192,unknown,unknown,,low,homepage loaded (https://www.bramshotthillgolfclub.org/) but no platform signal found on it or 0 booking-ish link(s)
Elizabeth Manor Golf & Country Club,,36.8153617,-76.3932737,no_site,unknown,,low,no official website resolved (not in county union directory)
Romsey Golf Club,https://www.romseygolfclub.com,50.9561047,-1.466845,unknown,unknown,,low,homepage loaded (https://www.romseygolfclub.com/) but no platform signal found on it or 10 booking-ish link(s)
Blackmoor Golf Club,https://www.blackmoorgolf.co.uk,51.1044489,-0.8878986,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Bramshaw Golf Course,https://www.bramshaw.co.uk,50.931559,-1.6112803,chronogolf,public,https://www.chronogolf.com/club/18870/widget?medium=widget&source=club,high,
Blackwater Valley Golf Centre,https://www.bvgolfcentre.com,51.3485566,-0.836137,clubv1,public,https://blackwatervalley.hub.clubv1.com/visitors/TeeSheet?date=2026-09-10,high,
Army Golf Course,https://www.armygolfclub.com,51.2694615,-0.7690921,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Brokenhurst Manor Golf Club,https://www.brokenhurst-manor.org.uk,50.8079988,-1.5892879,intelligent_golf,login_required,,high,intelligent_golf convention path requires login: https://www.brokenhurst-manor.org.uk/visitorbooking/
Otterbourne Golf Course,,51.0138848,-1.3631328,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal Winchester Golf Club,https://www.royalwinchestergolfclub.com,51.0642874,-1.3463718,intelligent_golf,public,https://www.royalwinchestergolfclub.com/visitorbooking/,high,
Avington Park Golf Course,https://www.avingtongolf.co.uk,51.0881342,-1.2308874,intelligent_golf,public,https://www.avingtongolf.co.uk/visitorbooking/,high,
South Winchester Golf Club,https://www.southwinchestergolf.co.uk,51.0460122,-1.358707,intelligent_golf,public,https://golf.southwinchestergolf.co.uk/visitorbooking/,high,
Alresford Golf Club,https://www.alresfordgolf.co.uk,51.0764169,-1.1642899,intelligent_golf,login_required,,high,intelligent_golf convention path requires login: https://www.alresfordgolf.co.uk/visitorbooking/
Hockley Golf Club,https://www.hockleygolfclub.com,51.0390544,-1.3058002,intelligent_golf,public,https://hockley.intelligentgolf.co.uk/visitorbooking/,high,
Meon Course,https://www.marriott.co.uk/hotels/travel/sougs-meon-valley-a-marriott-hotel-and-country-club,50.9225474,-1.2107309,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Gosport & Stokes Bay Golf Course,https://www.gosportandstokesbaygolfclub.co.uk,50.7768977,-1.1378963,clubv1,public,https://gsb.hub.clubv1.com/visitors/TeeSheet?date=2026-09-10,high,
Walhampton Golf Club,https://www.walhamptongolf.org.uk,50.7634436,-1.5266293,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.walhamptongolf.org.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.walhamptongolf.org.uk', port=443): Failed to resolve 'www.walhamptongolf.org.uk' ([Errno 11001] getaddrinfo failed)""))"
Wellow Golf Club,https://www.wellowgolfclub.co.uk,50.9790386,-1.547693,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://wellow.hub.clubv1.com/Visitors/booking"
Southampton City Golf Course,https://www.southamptongolfclub.co.uk,50.9471609,-1.4168821,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Town Meadow Golf Course,,51.2441065,-1.2691399,no_site,unknown,,low,no official website resolved (not in county union directory)
South Petersfield Golf Club,https://www.petersfieldgolfclub.co.uk,50.9940997,-0.9287914,intelligent_golf,public,https://www.petersfieldgolfclub.co.uk/visitorbooking/,high,
Petersfield Golf Club,https://www.petersfieldgolfclub.co.uk,51.0239761,-0.9158564,intelligent_golf,public,https://www.petersfieldgolfclub.co.uk/visitorbooking/,high,
Moors Valley Golf Course,,50.8574025,-1.8540958,no_site,unknown,,low,no official website resolved (not in county union directory)
Hedge End Golf Centre,,50.9141738,-1.3167412,no_site,unknown,,low,no official website resolved (not in county union directory)
Test Valley Golf Club,https://www.testvalleygolf.com,51.2067216,-1.2549561,intelligent_golf,public,https://testvalley.intelligentgolf.co.uk/visitorbooking/,high,
Burley Golf Club,https://www.burleygolfclub.co.uk,50.8225049,-1.6900739,intelligent_golf,public,https://burley.intelligentgolf.co.uk/visitorbooking/,high,
Barton on Sea Golf Club,https://www.bosgc.co.uk,50.7356528,-1.6412723,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Turtle Hill Golf Club,,32.2523583,-64.8285808,no_site,unknown,,low,no official website resolved (not in county union directory)
Port Royal Golf Course,,32.2624582,-64.8730099,no_site,unknown,,low,no official website resolved (not in county union directory)
Bermuda Golf Academy,,32.2536264,-64.8648965,no_site,unknown,,low,no official website resolved (not in county union directory)
Andover Golf Club,https://www.andovergolfclub.co.uk,51.1980299,-1.4771436,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
The Hampshire Golf Club,https://www.thehampshiregolfclub.co.uk,51.1829799,-1.4710313,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Charlton Lakeside Leisure Centre,,51.2193908,-1.5071826,no_site,unknown,,low,no official website resolved (not in county union directory)
Old Thorns,https://www.oldthorns.com,51.0738402,-0.836807,chronogolf,public,https://www.chronogolf.com/club/18899/widget?medium=widget&source=club,high,confirmed by following the platform link found on the club's own site
Chewton Glen Hotel Executive Course,,50.7443309,-1.6820295,no_site,unknown,,low,no official website resolved (not in county union directory)
Blacknest Golf & Country Club,https://www.blacknestgolf.co.uk/,51.1627331,-0.8607506,unknown,unknown,,low,homepage loaded (https://www.blacknestcountryclub.co.uk/) but no platform signal found on it or 4 booking-ish link(s)
