name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Old Fold Manor Golf Course,https://www.oldfoldmanor.co.uk/,51.6651288,-0.2051362,intelligent_golf,public,https://www.oldfoldmanor.co.uk/visitorbooking/,high,
Brookmans Park Golf Course,,51.7261,-0.1935465,no_site,unknown,,low,no official website resolved (not in county union directory)
Chadwell Springs Golf Club,,51.8036008,-0.0413514,no_site,unknown,,low,no official website resolved (not in county union directory)
Verulam Golf Club,,51.7371796,-0.3250247,no_site,unknown,,low,no official website resolved (not in county union directory)
Batchwood Hall Golf Club,,51.7650065,-0.3503593,no_site,unknown,,low,no official website resolved (not in county union directory)
Harpenden Golf Course,https://www.harpendengolfclub.co.uk,51.7976633,-0.3727283,intelligent_golf,public,https://harpenden.intelligentgolf.co.uk/visitorbooking/,high,
Cheshunt Park Golf Course,https://www.broxbourne.gov.uk/leisure-cheshunt-park-golf-centre/landing/cheshunt-park-golf-centre,51.7190876,-0.044089,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Porters Park Golf Club,https://www.portersparkgolfclub.co.uk/,51.6905796,-0.304669,intelligent_golf,public,https://www.portersparkgolfclub.co.uk/visitorbooking/,high,
West Herts Golf Club,,51.664432,-0.4329873,no_site,unknown,,low,no official website resolved (not in county union directory)
Pinner Hill Golf Club,https://www.pinnerhillgc.co.uk/,51.6103787,-0.3946854,intelligent_golf,public,https://www.pinnerhillgc.co.uk/visitorbooking/,high,
Sandy Lodge Golf Club,,51.6278758,-0.423274,no_site,unknown,,low,no official website resolved (not in county union directory)
Moor Park Golf Club,https://www.moorparkgc.co.uk/,51.6271133,-0.4509281,intelligent_golf,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://moorpark.intelligentgolf.co.uk/memberbooking/"
The Nine of Herts,https://www.9ofherts.co.uk/,51.6221621,-0.4544341,intelligent_golf,public,https://nineofherts.intelligentgolf.co.uk/visitorbooking/,high,
