name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Great Harwood Golf Club,https://www.greatharwoodgolfclub.co.uk,53.793603,-2.3845151,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Ormskirk Golf Club,https://www.ormskirkgolfclub.com,53.5728024,-2.8415272,intelligent_golf,public,https://www.ormskirkgolfclub.com/visitorbooking/,high,
Rishton Golf Club,https://www.rishtongolfclub.co.uk,53.7592319,-2.4136132,brs,public,https://visitors.brsgolf.com/rishton,high,
Royal Lytham & St Annes Golf Course,https://www.royallytham.org,53.7460883,-3.0063034,brs,public,https://visitors.brsgolf.com/royallytham,high,
Fairhaven Golf Club,https://www.fairhavengolfclub.co.uk,53.7484215,-2.9802009,brs,public,https://visitors.brsgolf.com/fairhaven#/course/1,high,
Morecambe Golf Course,https://www.morecambegolfclub.com,54.0827587,-2.8285211,intelligent_golf,public,https://www.morecambegolfclub.com/visitorbooking/,high,
Chorley Golf Club,https://www.chorleygolfclub.co.uk,53.6319578,-2.6017071,intelligent_golf,public,https://www.chorleygolfclub.co.uk/visitorbooking/,high,confirmed via intelligent_golf's standard booking path
Duxbury Park Golf Course,https://www.glendale-golf.com/course-5-duxbury-park.aspx,53.6304879,-2.6228922,error,unknown,,low,"homepage fetch failed: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
Shaw Hill Golf Club,https://www.shaw-hill.co.uk,53.6810246,-2.643493,unknown,unknown,,low,homepage loaded (https://www.shaw-hill.co.uk/) but no platform signal found on it or 9 booking-ish link(s)
Mossock Hall Golf Club,https://www.mossockhallgolfclub.co.uk,53.524683,-2.8932592,brs,public,https://visitors.brsgolf.com/mossockhall#/course/1,high,
Southport Golf Academy,https://www.southport-golf.co.uk,53.657091,-2.8930666,brs,public,https://visitors.brsgolf.com/southportacademy#/course/1,high,
Accrington and District Golf Club,https://www.accringtongolfclub.com,53.7565796,-2.409962,intelligent_golf,public,https://www.accringtongolfclub.com/visitorbooking/,high,
Mytton Fold Golf Club,https://www.myttonfold.co.uk,53.8059665,-2.4371833,unknown,unknown,,low,homepage loaded (https://www.myttonfold.co.uk/) but no platform signal found on it or 5 booking-ish link(s)
Whalley Golf Club,https://www.whalleygolfclub.com,53.8188371,-2.3900644,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Clitheroe Golf Course,https://www.clitheroegolfclub.com,53.8450868,-2.4034921,intelligent_golf,public,https://www.clitheroegolfclub.com/visitorbooking/,high,
