name,official_site,lat,lon,platform,access,evidence_url,confidence,note
The National Golf Centre (Woodhall Spa),https://www.woodhallspagolf.com/,53.1551903,-0.2057584,intelligent_golf,public,https://woodhallspa.intelligentgolf.co.uk/visitorbooking/?course=45,high,
Lincolnshire Golf Academy,,53.5284769,-0.6868361,no_site,unknown,,low,no official website resolved (not in county union directory)
Grimsby Golf Club,,53.559415,-0.126524,no_site,unknown,,low,no official website resolved (not in county union directory)
Holme Hall Golf Course,,53.5550806,-0.6162288,no_site,unknown,,low,no official website resolved (not in county union directory)
DoubleTree by Hilton Forest Pines Spa & Golf Resort,https://www.hilton.com/en/hotels/dsabfdi-doubletree-forest-pines-spa-and-golf-resort/,53.5531651,-0.568513,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Normanby Hall Golf Course,https://www.northlincs.gov.uk/leisure/other-leisure-activities/outdoor-sites/normanby-hall-golf-course/,53.6366262,-0.6452927,unknown,unknown,,low,homepage loaded (https://www.northlincs.gov.uk/leisure/other-leisure-activities/outdoor-sites/normanby-hall-golf-course/) but no platform signal found on it or 0 booking-ish link(s)
Tetney Golf Club,,53.4888646,-0.031075,no_site,unknown,,low,no official website resolved (not in county union directory)
Cleethorpes Golf Club,,53.5410488,-0.0147492,no_site,unknown,,low,no official website resolved (not in county union directory)
Market Rasen Golf Club,https://www.marketrasengolfclub.co.uk/,53.3765408,-0.2990965,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://marketrasen.hub.clubv1.com/Visitors/booking"
Carholme Golf Club,,53.2368711,-0.5677458,no_site,unknown,,low,no official website resolved (not in county union directory)
North Shore Golf Course,https://northshoregolf.co.uk/,53.160073,0.3470062,brs,public,https://visitors.brsgolf.com/northshore,high,
Humberston Country Club Golf Course,https://www.virginactive.co.uk/clubs/humberston,53.5301717,-0.035623,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Cleethorpes Beach Golf Course,https://www.haven.com/parks/lincolnshire/cleethorpes-beach,53.5234646,0.0084074,unknown,unknown,,low,homepage loaded (https://www.haven.com/parks/lincolnshire/cleethorpes-beach) but no platform signal found on it or 5 booking-ish link(s)
Millfield Golf Complex,https://www.millfieldgolfcomplex.co.uk/,53.2788618,-0.7587846,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.millfieldgolfcomplex.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.millfieldgolfcomplex.co.uk', port=443): Failed to resolve 'www.millfieldgolfcomplex.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Louth Golf Club,,53.3589207,-0.0192847,no_site,unknown,,low,no official website resolved (not in county union directory)
Ashby Decoy Golf Club,,53.5617447,-0.689438,no_site,unknown,,low,no official website resolved (not in county union directory)
Belton Park Golf Club,https://www.beltonpark.co.uk/,52.9318632,-0.6133346,intelligent_golf,public,https://beltonpark.intelligentgolf.co.uk/visitorbooking/,high,
Boston West Golf Club,,52.9796985,-0.1179849,no_site,unknown,,low,no official website resolved (not in county union directory)
Kirton Holme Golf Club,,52.9588319,-0.1167323,no_site,unknown,,low,no official website resolved (not in county union directory)
South Kyme Golf Club,,53.0361002,-0.2382498,no_site,unknown,,low,no official website resolved (not in county union directory)
Spalding Golf Club,,52.8392666,-0.1148629,no_site,unknown,,low,no official website resolved (not in county union directory)
Willows Caravan Park Executive Course,https://www.donamottparks.com/willows-park.aspx,53.322882,0.20916,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Elsham Golf Club,https://www.elshamgolfclub.co.uk/,53.5859751,-0.4519388,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Grange Park,https://www.grangepark.com/index.php?display=golf,53.5250331,-0.6849664,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.grangepark.com', port=443): Max retries exceeded with url: /index.php?display=golf (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.grangepark.com', port=443) at 0x17fd0c9ed50>, 'Connection to www.grangepark.com timed out. (connect timeout=20)'))"
Gainsborough Golf Club,https://www.gainsboroughgc.co.uk/,53.4146625,-0.7568008,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.gainsboroughgc.co.uk', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.gainsboroughgc.co.uk', port=443) at 0x17fd10c4550>, 'Connection to www.gainsboroughgc.co.uk timed out. (connect timeout=20)'))"
Sleaford Golf Club,,52.9799385,-0.4676807,no_site,unknown,,low,no official website resolved (not in county union directory)
Martin Moor Golf Club,,53.1283619,-0.3667685,no_site,unknown,,low,no official website resolved (not in county union directory)
Lakeside Park,https://www.donamottparks.com/lakeside-park.aspx,53.441099,0.1630817,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
RAF Cranwell Golf Course,,53.0404927,-0.5076046,no_site,unknown,,low,no official website resolved (not in county union directory)
The Toft Country House Hotel and Golf Club,https://www.toftgolfclub.co.uk/,52.7389861,-0.4149177,brs,public,https://visitors.brsgolf.com/toft,high,
Woodthorpe Hall Golf Course,https://www.woodthorpeleisurepark.co.uk/leisure-activities/golf,53.2971247,0.15773,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.woodthorpeleisurepark.co.uk', port=443): Max retries exceeded with url: /leisure-activities/golf (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Addlethorpe Golf Club,,53.1899645,0.3106513,no_site,unknown,,low,no official website resolved (not in county union directory)
Southview Leisure Park,https://www.park-resorts.com/holiday-parks/east-anglia/southview-leisure-park/,53.1634073,0.3071452,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.park-resorts.com', port=443): Max retries exceeded with url: /holiday-parks/east-anglia/southview-leisure-park/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.park-resorts.com', port=443) at 0x17fd10c4f50>, 'Connection to www.park-resorts.com timed out. (connect timeout=20)'))"
The Lincolnshire Golf Course,https://www.lincolnshiregolfcourse.co.uk/,53.5824995,-0.8268202,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.lincolnshiregolfcourse.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Lincoln Golf Club,,53.3033189,-0.7333697,no_site,unknown,,low,no official website resolved (not in county union directory)
Waltham Windmill Golf Club,,53.5087825,-0.0841504,no_site,unknown,,low,no official website resolved (not in county union directory)
Immingham Golf Club,https://www.immgc.co.uk/,53.6223797,-0.2277532,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.immgc.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.immgc.co.uk', port=443): Failed to resolve 'www.immgc.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Ropsley Golf Course,,52.8941407,-0.5327812,no_site,unknown,,low,no official website resolved (not in county union directory)
Bracken Hill Golf Course,,53.2040134,-0.4518421,no_site,unknown,,low,no official website resolved (not in county union directory)
Seacroft Golf Course,,53.1187148,0.3337361,no_site,unknown,,low,no official website resolved (not in county union directory)
Nettleton Park Golf Course,,53.4946007,-0.3590324,no_site,unknown,,low,no official website resolved (not in county union directory)
Hovenden House Golf Course,,52.8147507,0.0712016,no_site,unknown,,low,no official website resolved (not in county union directory)
Gedney Hill Golf Club,,52.6949199,-0.017649,no_site,unknown,,low,no official website resolved (not in county union directory)
Welton Manor Golf Centre,,53.3168311,-0.4847838,no_site,unknown,,low,no official website resolved (not in county union directory)
Lincoln Golf Centre,,53.180723,-0.6325158,no_site,unknown,,low,no official website resolved (not in county union directory)
Stoke Rochford Golf Club,,52.8446935,-0.6334519,no_site,unknown,,low,no official website resolved (not in county union directory)
Carwick Park Golf Club,,53.2176095,-0.5202144,no_site,unknown,,low,no official website resolved (not in county union directory)
RAF Woodhall Spa Golf Course,,53.1366883,-0.1948558,no_site,unknown,,low,no official website resolved (not in county union directory)
North Shore Pitch And Putt,,53.1561265,0.3419481,no_site,unknown,,low,no official website resolved (not in county union directory)
Kenwick Park Golf Club Ltd,,53.3397186,0.0268026,no_site,unknown,,low,no official website resolved (not in county union directory)
Boston Golf Club,https://www.bostongc.co.uk/,53.0075061,-0.0157976,clubv1,public,https://boston.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11,high,confirmed by following the platform link found on the club's own site
Blankney Golf Club,https://www.blankneygolfclub.co.uk/,53.1291133,-0.4179095,intelligent_golf,public,https://www.blankneygolfclub.co.uk/visitorbooking/,high,
Belton Woods Hotel,https://www.devere-hotels.co.uk/hotel-lodges/locations/belton-woods/golf/introduction.html,52.9411645,-0.6374088,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.devere-hotels.co.uk', port=443): Max retries exceeded with url: /hotel-lodges/locations/belton-woods/golf/introduction.html (Caused by NewConnectionError(""HTTPSConnection(host='www.devere-hotels.co.uk', port=443): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
