name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Weald Park Hotel Golf and Country Club,https://www.brentwoodgolfclub.co.uk/,51.637794,0.2456019,brs,public,https://visitors.brsgolf.com/brentwood,high,
South Essex Golf Centre,https://www.southessexgolf.co.uk/index.php,51.5873851,0.3667771,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Saffron Walden Golf Club,https://www.swgc.com/,52.0284342,0.2252441,intelligent_golf,login_required,,high,intelligent_golf convention path requires login: https://www.swgc.com/visitorbooking/
Loughton Golf Club,https://www.loughtongolfclub.com/,51.6626593,0.0750045,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.loughtongolfclub.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.loughtongolfclub.com', port=443): Failed to resolve 'www.loughtongolfclub.com' ([Errno 11001] getaddrinfo failed)""))"
Saint Cleres Hall Golf Club,https://stclereshallgolfclub.weebly.com/,51.5075904,0.4106565,unknown,unknown,,low,homepage loaded (https://stclereshallgolfclub.weebly.com/) but no platform signal found on it or 0 booking-ish link(s)
Channels Golf Club,https://www.golf-club-essex.co.uk/,51.7821302,0.4843131,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.golf-club-essex.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.golf-club-essex.co.uk', port=443): Failed to resolve 'www.golf-club-essex.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Haverhill Golf Club,https://www.club-noticeboard.co.uk/haverhill/,52.073723,0.4685108,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.club-noticeboard.co.uk', port=443): Max retries exceeded with url: /haverhill/ (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
The Orchards Holiday Village Golf Course,https://www.haven.com/parks/essex/the-orchards/index.aspx,51.7988878,1.0453793,unknown,unknown,,low,homepage loaded (https://www.haven.com/parks/essex/the-orchards) but no platform signal found on it or 5 booking-ish link(s)
Hobbs Cross Golf Centre,https://www.hobbscrossgolfcentre.com/,51.6818037,0.1346143,unknown,unknown,,low,homepage loaded (https://www.hobbscrossgolfcentre.com/) but no platform signal found on it or 0 booking-ish link(s)
Chesterford Research Park Golf Course,https://www.chesterfordresearchpark.com/tenant-services/health-fitness/,52.059354,0.2343221,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
North Weald Golf Course,https://www.northwealdgolfclub.co.uk/,51.7304554,0.1666912,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
The Ageas Bowl County Golf Club,https://www.ageasbowl.com/pages/golf/,50.9209744,-1.3226586,unknown,unknown,,low,homepage loaded (https://www.ageasbowl.com/pages/golf/) but no platform signal found on it or 3 booking-ish link(s)
Swanmore Golf Centre,https://www.swanmoregolf.co.uk/,50.9296378,-1.1746133,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
