name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Market Harborough Golf Club,,52.4565437,-0.9246459,no_site,unknown,,low,no official website resolved (not in county union directory)
Farthingstone Hotel and Golf,https://www.farthingstone.co.uk/,52.1904426,-1.1229124,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.farthingstone.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Kingsthorpe Golf Course,https://www.kingsthorpe-golf.co.uk/,52.2601758,-0.8875037,brs,public,https://visitors.brsgolf.com/kingsthorpe#/course/1,high,
Kilworth Springs,https://www.kilworthsprings.co.uk/,52.4358357,-1.0966875,intelligent_golf,public,https://kilworth.intelligentgolf.co.uk/visitorbooking/,high,
Cold Ashby Golf Club,https://www.coldashbygolfclub.com/,52.3771555,-1.0645898,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.coldashbygolfclub.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Delapre Golf Centre,https://delapregolfcentre.co.uk/,52.2206646,-0.8873606,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='delapregolfcentre.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Rushden Golf Range,https://www.rushdengolfrange.co.uk/,52.2732297,-0.583151,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.rushdengolfrange.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
John White Golf Course,,52.2722871,-0.5816606,no_site,unknown,,low,no official website resolved (not in county union directory)
Daventry & District Golf Club,https://www.daventrygolfclub.co.uk/,52.2638367,-1.1403887,unknown,unknown,,low,homepage loaded (https://daventrygolfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Kettering Golf Club,https://www.kettering-golf.co.uk/,52.3835528,-0.7449412,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://kettering.hub.clubv1.com/Visitors/booking"
Oundle Golf Club,https://www.oundlegolfclub.com/,52.479223,-0.5020588,brs,public,https://visitors.brsgolf.com/oundle#/course/1,high,
Northamptonshire County Golf Course,,52.2758675,-0.9387313,no_site,unknown,,low,no official website resolved (not in county union directory)
Brampton Health Golf Centre,,52.2767281,-0.932898,no_site,unknown,,low,no official website resolved (not in county union directory)
Hellidon Lakes Golf Club,https://hellidonlakeshotel.co.uk,52.2192397,-1.2639088,brs,public,https://visitors.brsgolf.com/hellidon#/,high,
Blackthorn Wood Golf Complex,https://blackthornwoodgc.co.uk/,52.4963695,-0.7452451,unknown,unknown,,low,homepage loaded (https://blackthornwoodgc.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Staverton Park,,52.2540052,-1.2019654,no_site,unknown,,low,no official website resolved (not in county union directory)
Pytchley Golf Lodge,,52.3716075,-0.7262826,no_site,unknown,,low,no official website resolved (not in county union directory)
Wellingborough Golf Glub,,52.331188,-0.7026363,no_site,unknown,,low,no official website resolved (not in county union directory)
Stoke Albany Golf and Country Club,,52.488326,-0.8314235,no_site,unknown,,low,no official website resolved (not in county union directory)
Northampton Golf Club,,52.2745929,-0.9812744,no_site,unknown,,low,no official website resolved (not in county union directory)
Cherwell Edge Golf Club,https://www.cherwelledgegolfclub.co.uk/,52.0841295,-1.2783051,unknown,unknown,,low,homepage loaded (https://www.cherwelledgegolfclub.co.uk/) but no platform signal found on it or 6 booking-ish link(s)
Whittlebury Hall Golf Course,,52.0785534,-0.995465,no_site,unknown,,low,no official website resolved (not in county union directory)
Silverstone Golf Club,,52.0627688,-1.041862,no_site,unknown,,low,no official website resolved (not in county union directory)
Overstone Park Golf Club,,52.2778864,-0.817221,no_site,unknown,,low,no official website resolved (not in county union directory)
Collingtree Park Golf Club,https://www.collingtreeparkgolf.com/,52.1987528,-0.9040075,brs,public,https://visitors.brsgolf.com/collingtree#/course/1,high,confirmed by following the platform link found on the club's own site
Rushden Golf Club,https://www.rushdengolfclub.org/,52.3074031,-0.560494,clubv1,public,https://rushden.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-11,high,
Hellidon Lakes Golf Club,https://hellidonlakeshotel.co.uk,52.2192397,-1.2639088,brs,public,https://visitors.brsgolf.com/hellidon#/,high,
