name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Brancepeth Castle Golf Club,https://www.brancepeth-castle-golf.co.uk/,54.7349971,-1.6492943,unknown,unknown,,low,homepage loaded (https://brancepeth-castle-golf.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
High Throston Golf Course,,54.6978824,-1.2583461,no_site,unknown,,low,no official website resolved (not in county union directory)
Seaton Carew Golf Club,https://www.seatoncarewgolfclub.co.uk/,54.647626,-1.1774981,brs,public,https://visitors.brsgolf.com/seatoncarew#/course/1,high,
Seaham Golf Club,https://www.seahamgolfclub.co.uk/,54.8234741,-1.3431535,intelligent_golf,not_available,,high,"platform reached but not a public visitor sheet (booking link; members-only, or visitor booking not enabled): https://seaham.intelligentgolf.co.uk/memberbooking/"
Blyth Golf Club,https://www.blythgolf.co.uk/,55.1144113,-1.5414009,clubv1,public,https://blyth.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-12,high,
Teesside Golf Club,https://www.teessidegolfclub.com/,54.5554888,-1.2830869,brs,public,https://visitors.brsgolf.com/teesside#/open-competitions,high,
Billingham Golf Club,https://www.billinghamgolfclub.com/,54.6069791,-1.3097927,clubv1,public,https://billingham.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-12,high,
Goswick Links Golf Club,https://www.goswicklinksgc.co.uk/,55.7076357,-1.9206066,intelligent_golf,public,https://members.goswickgolfclub.com/visitorbooking/,high,
Wilton Golf Course,https://www.wiltongolfclub.co.uk/,54.5690737,-1.107364,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://wilton.hub.clubv1.com/Visitors/booking"
Wynyard Golf Club,https://www.wynyardgolfclub.co.uk/,54.6286353,-1.3368415,esp,unknown,,medium,platform link(s) seen (['esp']) but no confirmed public booking page found
Tynedale Golf Cub,https://www.tynedalegolfclub.co.uk/,54.9790779,-2.1070079,unknown,unknown,,low,homepage loaded (https://tynedalegolfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Knotty Hill Golf Centre,https://www.knottyhill.com/,54.665189,-1.4664635,unknown,unknown,,low,homepage loaded (https://www.knottyhill.com/) but no platform signal found on it or 1 booking-ish link(s)
Haggerston Castle Golf Course,https://haggerstongolf.co.uk/,55.6896432,-1.9212179,unknown,unknown,,low,homepage loaded (https://haggerstongolf.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Middlesbrough Municipal Golf Course,https://teesvalley-ca.gov.uk/visit/things-to-see-and-do/activities/middlesbrough-municipal-golf-club/,54.5387101,-1.2296224,unknown,unknown,,low,homepage loaded (https://teesvalley-ca.gov.uk/visit/things-to-see-and-do/activities/middlesbrough-municipal-golf-club/) but no platform signal found on it or 1 booking-ish link(s)
