name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Blackwood Golf Club,https://www.blackwoodgc.co.uk/,51.6768615,-3.1991951,brs,public,https://visitors.brsgolf.com/blackwoodwales#/,high,confirmed by following the platform link found on the club's own site
Ballycastle Golf Club,,55.2030731,-6.2355623,no_site,unknown,,low,no official website resolved (not in county union directory)
Moyola Park Golf Club,,54.7839033,-6.5701102,no_site,unknown,,low,no official website resolved (not in county union directory)
Knock Golf Club,,54.596964,-5.8201647,no_site,unknown,,low,no official website resolved (not in county union directory)
Carrickfergus Golf Course,https://carrickfergusgolfclub.co.uk/,54.7238848,-5.8047235,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Holywood Golf Course,,54.6318501,-5.8299318,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal Belfast Golf Club,,54.6600049,-5.7845384,no_site,unknown,,low,no official website resolved (not in county union directory)
Helen's Bay Golf Club,,54.6705877,-5.736706,no_site,unknown,,low,no official website resolved (not in county union directory)
Greenisland Golf Club,https://www.greenislandgolfclub.co.uk/,54.7062009,-5.8742655,brs,public,https://visitors.brsgolf.com/greenisland#/course/1,high,
Carnalea Golf Club,,54.6640717,-5.6989218,no_site,unknown,,low,no official website resolved (not in county union directory)
Malone Golf Club,,54.538158,-5.9719578,no_site,unknown,,low,no official website resolved (not in county union directory)
Down Royal Golf Club,,54.4922742,-6.1279215,no_site,unknown,,low,no official website resolved (not in county union directory)
Balmoral Golf Club,,54.5635707,-5.9709225,no_site,unknown,,low,no official website resolved (not in county union directory)
Colin Valley Golf Course,,54.5595763,-6.0079525,no_site,unknown,,low,no official website resolved (not in county union directory)
Scrabo Golf Club,,54.5811346,-5.7202475,no_site,unknown,,low,no official website resolved (not in county union directory)
Cliftonville Golf Club,,54.6265722,-5.9522322,no_site,unknown,,low,no official website resolved (not in county union directory)
Greenacres Golf Course,,54.7284667,-6.0028246,no_site,unknown,,low,no official website resolved (not in county union directory)
Larne Golf Club,https://www.larnegolfclub.co.uk/,54.8549321,-5.7784924,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Whitehead Golf Club,,54.7658298,-5.7032437,no_site,unknown,,low,no official website resolved (not in county union directory)
Belvoir Golf Course,,54.5598315,-5.9196448,no_site,unknown,,low,no official website resolved (not in county union directory)
