name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Easingwold Golf Club,,54.1076968,-1.1687464,no_site,unknown,,low,no official website resolved (not in county union directory)
Oakdale Golf Club,https://www.oakdalegolfclub.co.uk/,53.9970481,-1.5647689,intelligent_golf,public,https://oakdale.intelligentgolf.co.uk/visitorbooking/,high,
Romanby Golf Club,https://www.romanby.com/,54.3391495,-1.4645944,brs,public,https://visitors.brsgolf.com/romanby#/course/1,high,confirmed by following the platform link found on the club's own site
Harrogate Golf Club,https://www.harrogate-gc.co.uk/,54.0027189,-1.4843142,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Kirkbymoorside Golf,https://www.kirkbymoorsidegolf.co.uk/,54.282398,-0.9449585,clubv1,public,https://kirkbymoorside.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-12,high,
Scalm Park Leisure,https://scalmparkleisure.co.uk/,53.784606,-1.1542389,unknown,unknown,,low,homepage loaded (https://www.scalmparkleisure.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Pike Hills Golf Club,https://www.pikehillsgolfclub.co.uk/,53.9243213,-1.1370856,brs,public,https://visitors.brsgolf.com/pikehills#/open-competitions,high,confirmed by following the platform link found on the club's own site
Brigham Park Golf Course,,54.2214196,-0.7682431,no_site,unknown,,low,no official website resolved (not in county union directory)
Forest of Galtres Golf Club,https://www.forestofgaltres.co.uk/,54.0126429,-1.1255809,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Filey Golf Club,https://www.fileygolfclub.com/,54.1947097,-0.2900386,brs,public,https://visitors.brsgolf.com/filey#/open-competitions,high,confirmed by following the platform link found on the club's own site
Catterick Golf Club,https://www.catterickgolfclub.co.uk/,54.3691679,-1.7330078,clubv1,public,https://catterick.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12,high,
Forest Park Golf Club,https://www.forestparkgolfclub.co.uk/,53.9969208,-1.0096551,clubv1,public,https://forestpark.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-12,high,
Tadcaster Golf Course,https://www.tadcastergolf.co.uk,53.8311576,-1.2533942,golf_manager,public,https://tadcaster.golfmanager.com/consumer/ebookings,high,
