name,official_site,lat,lon,platform,access,evidence_url,confidence,note
King Robert the Bruce,,55.3175053,-4.8325934,no_site,unknown,,low,no official website resolved (not in county union directory)
Ailsa,,55.3147547,-4.8343939,no_site,unknown,,low,no official website resolved (not in county union directory)
Fair Isle Lighthouse Keeper's Golf Course,https://fair-isle.blogspot.com/p/golf.html,59.5138948,-1.6503341,unknown,unknown,,low,homepage loaded (https://fair-isle.blogspot.com/p/golf.html) but no platform signal found on it or 5 booking-ish link(s)
Lochview Family Golf Centre,,55.8727883,-4.0594659,no_site,unknown,,low,no official website resolved (not in county union directory)
Baberton Golf Course,https://babertongc.com/,55.9069808,-3.2957764,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://baberton.hub.clubv1.com/Visitors/booking"
Kingsknowe Golf Course,https://www.kingsknowe.com/,55.9147997,-3.2702621,intelligent_golf,public,https://www.kingsknowe.com/visitorbooking/,high,
Silverknowes Golf Course,https://www.edinburghleisure.co.uk/venues/silverknowes-golf-course/,55.9758285,-3.2706377,gladstone,public,https://edinburghleisure.gladstonego.cloud/book,high,
Prestonfield Golf Course,https://www.prestonfieldgolf.co.uk/,55.9362184,-3.156754,intelligent_golf,public,https://prestonfield.intelligentgolf.co.uk/visitorbooking/,high,
Carrick Knowe Golf Club,https://www.carrickvalegolfclub.co.uk/,55.9384138,-3.2628297,unknown,unknown,,low,homepage loaded (https://www.carrickvalegolfclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
The Royal Burgess Golfing Society of Edinburgh,https://www.royalburgess.co.uk/,55.9650306,-3.2993219,clubv1,public,https://rbgs.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,
Bruntsfield Links,https://www.bruntsfieldlinks.co.uk/,55.9700204,-3.2911382,intelligent_golf,public,https://www.bruntsfieldlinks.co.uk/visitorbooking/,high,
Ravelston Golf Course,https://www.ravelstongolfclub.co.uk/,55.9527982,-3.2615334,unknown,unknown,,low,homepage loaded (https://www.ravelstongolfclub.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Murrayfield Golf Course,https://www.murrayfieldgolfclub.co.uk/,55.9497338,-3.2606357,intelligent_golf,public,https://www.murrayfieldgolfclub.co.uk/visitorbooking/,high,
Duddingston Golf Course,https://www.duddingstongolfclub.co.uk/,55.9403742,-3.1350386,intelligent_golf,public,https://www.duddingstongolfclub.co.uk/visitorbooking/,high,
Portobello Golf Course,https://www.edinburghleisure.co.uk/venues/portobello-golf-course,55.9467487,-3.1136602,gladstone,public,https://edinburghleisure.gladstonego.cloud/book,high,
Craigentinny Golf Course,https://www.edinburghleisure.co.uk/venues/craigentinny-golf-course,55.9639504,-3.1419249,gladstone,public,https://edinburghleisure.gladstonego.cloud/book,high,
Royal Aberdeen Golf Club,https://www.royalaberdeengolf.com/,57.1877215,-2.0779569,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://royalaberdeen.hub.clubv1.com/Visitors/booking"
Newmachar Golf Club,https://www.newmachargolfclub.co.uk/,57.242011,-2.2000367,clubv1,public,https://newmachar.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,
Westhill Golf Club,https://westhillgolf.co.uk/,57.1598604,-2.2906628,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Kippie Lodge Sports & Leisure,https://www.kippielodge.com/sports/,57.1033804,-2.2531968,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.kippielodge.com', port=443): Max retries exceeded with url: /sports/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.kippielodge.com', port=443) at 0x16c5b86ee90>, 'Connection to www.kippielodge.com timed out. (connect timeout=20)'))"
Peterculter Golf Club,https://www.petercultergolfclub.co.uk/,57.0862287,-2.2702848,unknown,unknown,,low,homepage loaded (https://www.petercultergolfclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Deeside Golf Club,https://www.deesidegolfclub.com/,57.109345,-2.1858597,clubv1,public,https://deeside.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,
Portlethen Golf Club,https://www.portlethengolfclub.com/,57.0658108,-2.1450693,brs,public,https://visitors.brsgolf.com/portlethen#/course/1,high,
Haggs Castle Golf Course,https://haggscastlegolfclub.com/,55.8346717,-4.3188784,brs,public,https://visitors.brsgolf.com/haggscastle,high,
Pollok Golf Course,https://www.pollokgolf.com/,55.8265162,-4.3190389,intelligent_golf,public,https://pollok.intelligentgolf.co.uk/visitorbooking/,high,
North Ronaldsay Golf Course,https://northronaldsaytrust.com/2017/06/09/18-hole-golf-course-project/,59.3737599,-2.4098814,unknown,unknown,,low,homepage loaded (https://northronaldsaytrust.com/2017/06/09/18-hole-golf-course-project/) but no platform signal found on it or 3 booking-ish link(s)
Ralston Golf Course,https://www.ralstongolfclub.com/,55.8418927,-4.3833946,unknown,unknown,,low,homepage loaded (https://www.ralstongolfclub.com/) but no platform signal found on it or 6 booking-ish link(s)
Whitecraigs Golf Club,https://www.whitecraigsgolfclub.net/,55.7843495,-4.3168537,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
David Lloyd Rouken Glen Golf Club,https://www.davidlloyd.co.uk/clubs/glasgow-rouken-glen/at-glasgow-rouken-glen/golf,55.7956062,-4.3242943,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Windyhill Golf Club,https://windyhillgolfclub.co.uk/,55.935207,-4.3674285,unknown,unknown,,low,homepage loaded (https://windyhillgolfclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Brancumhall Golf Development Centre,https://www.slleisureandculture.co.uk/info/246/brancumhall_golf_development_centre,55.7753137,-4.1427632,unknown,unknown,,low,homepage loaded (https://www.slleisureandculture.co.uk/info/246/brancumhall_golf_development_centre) but no platform signal found on it or 5 booking-ish link(s)
Drumpellier Golf Course,https://www.drumpelliergolf.co.uk/,55.8596514,-4.0561377,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.drumpelliergolf.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError('A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.')))"
Clober Golf Club,https://www.clobergolfclub.co.uk/,55.9488059,-4.3328841,brs,public,https://visitors.brsgolf.com/clober,high,
Douglas Park Golf Club,https://www.douglasparkgolfclub.co.uk/,55.9269087,-4.3094631,clubv1,public,https://douglaspark.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,confirmed by following the platform link found on the club's own site
Larkhall Golf Course,https://www.slleisureandculture.co.uk/info/243/larkhall_golf_course,55.7388984,-3.956862,unknown,unknown,,low,homepage loaded (https://www.slleisureandculture.co.uk/info/243/larkhall_golf_course) but no platform signal found on it or 7 booking-ish link(s)
Bearsden Golf Club,https://bearsdengolfclub.co.uk/,55.9209592,-4.3578488,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://bearsden.hub.clubv1.com/Visitors/booking"
Elderslie Golf Club,https://eldersliegolfclub.com/,55.8329475,-4.4722228,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Fereneze Golf Club,https://www.ferenezegolfclub.org/,55.8061771,-4.411976,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Glasgow Golf Club (Killermont Course),https://www.glasgowgolfclub.com/killermont.asp,55.9102801,-4.3012678,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Balmore Golf Club,https://www.balmoregolfclub.co.uk/,55.9418118,-4.2534447,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://balmore.hub.clubv1.com/Visitors/booking"
Paisley Golf Club,https://paisleygolfclub.com/,55.8081369,-4.4514815,clubv1,public,https://paisley.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,
Loch View Golf Course,https://www.activenl.co.uk/venue-finder/venues-3/lochview-family-golf-centre,55.8724593,-4.0630736,gladstone,public,https://northlanarkshirecouncil.gladstonego.cloud/book,high,
Torrance House Golf Club,https://torrancehousegc.co.uk/,55.7435854,-4.1493578,unknown,unknown,,low,homepage loaded (https://torrancehousegc.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Braid Hills Golf Course,https://www.edinburghleisure.co.uk/venues/braid-hills-golf-course,55.9149247,-3.1916888,gladstone,public,https://edinburghleisure.gladstonego.cloud/book,high,
Braid Hills Golf Centre,https://www.braidhillsgolf.co.uk/,55.912216,-3.1797486,unknown,unknown,,low,homepage loaded (https://www.braidhillsgolf.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Panmure Links,https://www.panmuregolfclub.co.uk/,56.491712,-2.7675251,brs,public,https://visitors.brsgolf.com/panmure#/course/1,high,
The Carnoustie Burnside Course,,56.4943758,-2.7284533,no_site,unknown,,low,no official website resolved (not in county union directory)
Hamilton Golf Club,https://www.hamiltongolfclub.co.uk/,55.7569367,-4.0077095,unknown,unknown,,low,homepage loaded (https://www.hamiltongolfclub.co.uk/) but no platform signal found on it or 7 booking-ish link(s)
Cowglen Golf Club,https://www.cowglengolfclub.co.uk/,55.8184832,-4.3174518,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Barshaw Park Golf Course,https://www.oneren.org/sport/golf-and-bowling-greens/,55.8523613,-4.3937413,unknown,unknown,,low,homepage loaded (https://www.oneren.org/sport/golf-and-bowling-greens/) but no platform signal found on it or 2 booking-ish link(s)
Cawder Golf Club,https://www.cawdergolfclub.com/,55.9272882,-4.2290481,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Machrihanish Links,https://www.machgolf.com/,55.4330758,-5.7201844,clubv1,public,https://machrihanish.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,
Broomieknowe Golf Course,https://www.broomieknowe.com/,55.8840496,-3.0992795,clubv1,public,https://broomieknowe.hub.clubv1.com/visitors/TeeSheet?date=2026-09-17,high,
Hayston Golf Club,https://www.haystongolf.com/,55.9426456,-4.1819392,brs,public,https://visitors.brsgolf.com/hayston#/course/1,high,
Turnhouse Golf Club,https://www.turnhousegolfclub.com/,55.9525872,-3.333826,brs,public,https://visitors.brsgolf.com/turnhouse#/course/1,high,
Langlands Golf Club,https://www.langlandsgolfclub.co.uk/,55.7310074,-4.1739774,unknown,unknown,,low,homepage loaded (https://www.langlandsgolfclub.co.uk/) but no platform signal found on it or 3 booking-ish link(s)
Littlehill Golf Course,https://www.glasgowlife.org.uk/sport/venues/littlehill-golf-club,55.8943881,-4.2145839,brs,public,https://visitors.brsgolf.com/littlehill#/course/1,high,
Bishopbriggs Golf Club,https://www.thebishopbriggsgolfclub.com/,55.9113111,-4.2412299,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.thebishopbriggsgolfclub.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.thebishopbriggsgolfclub.com', port=443): Failed to resolve 'www.thebishopbriggsgolfclub.com' ([Errno 11001] getaddrinfo failed)""))"
Campsie Golf Club,https://www.campsiegolfclub.com/,55.9817378,-4.1971051,brs,public,https://visitors.brsgolf.com/campsie#/course/1,high,confirmed by following the platform link found on the club's own site
Fortrose & Rosemarkie Golf Club,https://www.fortrosegolfclub.co.uk/,57.5783631,-4.1032654,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Dundas Parks Golf Club,https://www.dundasparksgolf.co.uk/,55.9733122,-3.4076203,clubv1,public,https://dundasparks.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,
Niddry Castle Golf Course,https://www.niddrycastlegolfclub.co.uk/,55.9540461,-3.4485979,brs,public,https://visitors.brsgolf.com/linlithgowshire#/open-competitions,high,
Ratho Park Golf Club,https://www.rathoparkgolfclub.co.uk/,55.9215626,-3.3591308,intelligent_golf,public,https://www.rathoparkgolfclub.co.uk/visitorbooking/,high,
Gogarburn Golf Course,https://www.gogarburngc.com/,55.9339081,-3.3437257,clubv1,public,https://gogarburn.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-17,high,
Melville Golf Course,https://www.melvillegolf.com/,55.8889159,-3.099471,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Pumpherston Golf Club,https://www.pumpherstongolfclub.co.uk/,55.9073304,-3.4827772,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Bonnyton Golf Club,https://www.bonnytongolfclub.com/,55.7440377,-4.3077081,brs,public,https://visitors.brsgolf.com/bonnyton#/open-competitions,high,
Mearns Castle Golf Academy,https://mcgolfacademy.co.uk/,55.7725092,-4.2890218,brs,public,https://visitors.brsgolf.com/mearnscastle#/course/1,high,
Hirsel Golf Club,,55.6528462,-2.2681246,no_site,unknown,,low,no official website resolved (not in county union directory)
Strathclyde Park Golf Course,https://www.slleisureandculture.co.uk/info/244/strathclyde_park_golf_course,55.7871303,-4.0420151,unknown,unknown,,low,homepage loaded (https://www.slleisureandculture.co.uk/info/244/strathclyde_park_golf_course) but no platform signal found on it or 7 booking-ish link(s)
Gourock Golf Club,https://www.gourockgolfclub.com/,55.9464469,-4.8444265,unknown,unknown,,low,homepage loaded (https://www.gourockgolfclub.com/) but no platform signal found on it or 6 booking-ish link(s)
Greenock Golf Club,https://greenockgolfclub.co.uk/,55.9508818,-4.7870643,brs,public,https://visitors.brsgolf.com/greenock,high,confirmed by following the platform link found on the club's own site
Renfrew Golf Course,https://www.renfrewgolfclub.net/,55.8866993,-4.4007935,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.renfrewgolfclub.net', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError('A required certificate is not within its validity period when verifying against the current system clock or the timestamp in the signed file.')))"
Comrie Golf Course,https://www.comriegolf.co.uk/,56.3802148,-3.9851649,unknown,unknown,,low,homepage loaded (https://www.comriegolf.co.uk/) but no platform signal found on it or 4 booking-ish link(s)
Strathmore Golf Centre,https://www.strathmoregolf.com/,56.6008635,-3.2191078,brs,public,https://visitors.brsgolf.com/strathmore,high,
Glenisla Golf Course,https://www.alythgolfclub.co.uk/glenisla-course,56.6235439,-3.2126765,unknown,unknown,,low,homepage loaded (https://www.alythgolfclub.co.uk/glenisla-course) but no platform signal found on it or 2 booking-ish link(s)
Brailgowrie Golf Club,https://www.theblairgowriegolfclub.co.uk/,56.5683329,-3.3342187,intelligent_golf,public,https://blairgowrie.intelligentgolf.co.uk/visitorbooking/,high,
Newtonmore Golf Club,https://www.newtonmoregolf.com/,57.0620897,-4.1100074,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Ruchill Park Golf Course,https://www.glasgowlife.org.uk/sport/our-facilities/golfcourses/ruchill-golf-course,55.8912677,-4.2769977,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Palacerigg Golf Club,https://www.palacerigggolfclub.co.uk/,55.9391655,-3.9398336,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.palacerigggolfclub.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Beith Golf Club,https://www.beithgolfclub.co.uk/,55.761124,-4.6035237,unknown,unknown,,low,homepage loaded (https://www.beithgolfclub.co.uk/) but no platform signal found on it or 6 booking-ish link(s)
Anstruther Golf Club,https://www.anstruthergolf.co.uk/,56.2169305,-2.711618,unknown,unknown,,low,homepage loaded (https://www.anstruthergolf.co.uk/) but no platform signal found on it or 3 booking-ish link(s)
Dumfries and Galloway Golf Course,https://www.dandggolfclub.co.uk/,55.0653566,-3.6348417,brs,public,https://visitors.brsgolf.com/dumfriesandgalloway#/open-competitions,high,confirmed by following the platform link found on the club's own site
Glasgow Golf Club / Gailes Links,https://www.gaileslinks.co.uk/,55.5965665,-4.6647232,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Dundonald Links,https://www.dundonaldlinks.com/,55.5850892,-4.6562145,brs,public,https://visitors.brsgolf.com/dundonald#/course/1,high,confirmed by following the platform link found on the club's own site
Dragon's Tooth Golf Club,https://www.dragonstooth.co.uk/,56.6849766,-5.1892926,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Dalmilling Golf Course,https://www.golfsouthayrshire.com/play/the-courses/dalmiling/,55.465426,-4.5912806,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
