name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Town Moor Golf Course,https://dtmgc.co.uk/,53.5203801,-1.0962298,brs,public,https://visitors.brsgolf.com/doncastertownmoor#/open-competitions,high,confirmed by following the platform link found on the club's own site
Lees Hall Golf Club,https://www.leeshallgolfclub.co.uk/,53.3447618,-1.4564082,clubv1,public,https://leeshall.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12,high,
Birley Wood Golf Club,,53.3384857,-1.3986682,no_site,unknown,,low,no official website resolved (not in county union directory)
Dore and Totley Golf Club,,53.3143806,-1.4938601,no_site,unknown,,low,no official website resolved (not in county union directory)
Phoenix Sports and Social Club,https://www.phoenixgolfclub.co.uk/,53.4127564,-1.3756696,golf_manager,public,https://www.phoenixgolfclub.co.uk/visitor-information,high,
Concord Park Golf Club,,53.4274778,-1.4321684,no_site,unknown,,low,no official website resolved (not in county union directory)
Rotherham Golf Club,,53.4608716,-1.2959694,no_site,unknown,,low,no official website resolved (not in county union directory)
Sitwell Park Golf Course,,53.4118059,-1.3032655,no_site,unknown,,low,no official website resolved (not in county union directory)
Owston Hall Golf Course,https://owstonhall.com/home/golf/,53.5929371,-1.1788136,brs,public,https://visitors.brsgolf.com/owstonhall#/course/1,high,confirmed by following the platform link found on the club's own site
Tankersley Park Golf Course,,53.4835525,-1.4745116,no_site,unknown,,low,no official website resolved (not in county union directory)
Hickleton Golf Club,,53.5465612,-1.2783217,no_site,unknown,,low,no official website resolved (not in county union directory)
Sandhill Golf Course,,53.5459469,-1.3538581,no_site,unknown,,low,no official website resolved (not in county union directory)
Beauchief Golf Club,https://www.sheffieldgolf.co.uk/beauchief/,53.3324652,-1.5014748,unknown,unknown,,low,homepage loaded (https://sheffieldgolf.co.uk/404) but no platform signal found on it or 0 booking-ish link(s)
18 hole Blue Monster Course,,53.3375505,-1.3075722,no_site,unknown,,low,no official website resolved (not in county union directory)
Hallamshire Golf Club,,53.3751634,-1.5520833,no_site,unknown,,low,no official website resolved (not in county union directory)
Hillies Golf Club,,53.514241,-1.4015118,no_site,unknown,,low,no official website resolved (not in county union directory)
Waterfront Golf,,53.5126676,-1.3428421,no_site,unknown,,low,no official website resolved (not in county union directory)
Roundwood Golf Club,https://www.roundwoodgolfclub.co.uk/,53.455733,-1.3320307,unknown,unknown,,low,homepage loaded (https://www.roundwoodgolfclub.co.uk/) but no platform signal found on it or 3 booking-ish link(s)
Wheatley Golf Course,,53.5389292,-1.0824448,no_site,unknown,,low,no official website resolved (not in county union directory)
Wortley Golf Course,https://www.wortleygolfclub.co.uk/,53.4978021,-1.5238862,intelligent_golf,public,https://www.wortleygolfclub.co.uk/visitorbooking/,high,
Silkstone Golf Course,,53.5513298,-1.5426431,no_site,unknown,,low,no official website resolved (not in county union directory)
Wath Golf Club,https://www.wathgolfclub.co.uk/,53.4846049,-1.3505152,brs,public,https://visitors.brsgolf.com/wath#/course/1,high,
High Melton Golf Course,,53.5079035,-1.2352201,no_site,unknown,,low,no official website resolved (not in county union directory)
Lindrick Golf Club,https://www.lindrickgolfclub.co.uk/,53.3371729,-1.1776349,intelligent_golf,public,https://lindrick.intelligentgolf.co.uk/visitorbooking/,high,
Crookhill Park Golf Course,https://www.crookhillgolfcourse.co.uk/,53.4701489,-1.2119802,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.crookhillgolfcourse.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.crookhillgolfcourse.co.uk', port=443): Failed to resolve 'www.crookhillgolfcourse.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Thornhurst Manor Golf Course,https://www.thornhurstmanor.co.uk/golf-club.html,53.585736,-1.1448,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Bawtry Golf & Country Club,https://www.bawtrygolfclub.co.uk/,53.4578216,-0.992817,unknown,unknown,,low,homepage loaded (https://www.bawtrygolfclub.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Doncaster Golf Club,,53.4898743,-1.064813,no_site,unknown,,low,no official website resolved (not in county union directory)
Abbeydale Golf Club,https://www.abbeydalegolfclub.co.uk/,53.325568,-1.5041291,intelligent_golf,public,https://www.abbeydalegolfclub.co.uk/visitorbooking/,high,
Owston Park Golf Course,,53.5920984,-1.166726,no_site,unknown,,low,no official website resolved (not in county union directory)
Hillsborough Golf Club,https://www.hillsboroughgolfclub.co.uk/,53.4171898,-1.5368171,intelligent_golf,public,https://www.hillsboroughgolfclub.co.uk/visitorbooking/,high,
Rother Valley Golf Centre,https://www.rothervalleygolfcentre.co.uk/,53.3375505,-1.3058096,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Styrrup Hall Golf & Country Club,https://www.styrrupgolf.co.uk/,53.4151284,-1.0915498,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.styrrupgolf.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.styrrupgolf.co.uk', port=443): Failed to resolve 'www.styrrupgolf.co.uk' ([Errno 11001] getaddrinfo failed)""))"
