name,official_site,lat,lon,platform,access,evidence_url,confidence,note
The Church,,51.3198535,-0.486217,no_site,unknown,,low,no official website resolved (not in county union directory)
The Garden,,51.320827,-0.4787822,no_site,unknown,,low,no official website resolved (not in county union directory)
Wisley practice facility,https://www.thewisley.com/,51.3180959,-0.47879,unknown,unknown,,low,homepage loaded (https://www.thewisley.com/) but no platform signal found on it or 0 booking-ish link(s)
The Mill,,51.3150275,-0.4857574,no_site,unknown,,low,no official website resolved (not in county union directory)
Main Course,,51.3124809,-0.5282389,no_site,unknown,,low,no official website resolved (not in county union directory)
Short Course,,51.3119029,-0.538043,no_site,unknown,,low,no official website resolved (not in county union directory)
Shey Copse,,51.3143631,-0.5347829,no_site,unknown,,low,no official website resolved (not in county union directory)
Roehampton Club Golf Course,https://www.roehamptonclub.co.uk/,51.4589623,-0.2499627,unknown,unknown,,low,homepage loaded (https://www.roehamptonclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Richmond Park Golf Course,https://www.therichmondgolfclub.com/,51.4447146,-0.2491151,clubv1,public,https://therichmond.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-09,high,confirmed by following the platform link found on the club's own site
Wimbledon Park Golf Club,,51.4351283,-0.2085236,no_site,unknown,,low,no official website resolved (not in county union directory)
Coombe Hill Golf Club,https://www.coombehillgolfclub.com/,51.4224141,-0.2616748,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Royal Mid-Surrey Golf Club,https://www.rmsgc.co.uk/,51.4690269,-0.3076576,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
The Richmond Golf Club,https://www.therichmondgolfclub.com/,51.4387742,-0.298691,clubv1,public,https://therichmond.hub.clubv1.com/Visitors/TeeSheet?date=2026-09-09,high,confirmed by following the platform link found on the club's own site
Chipstead Golf Club,https://www.chipsteadgolf.co.uk/,51.3089721,-0.165229,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Addington Palace Golf Club,https://www.addingtonpalacegolf.co.uk/default.aspx,51.3616452,-0.0429925,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Farleigh Golf Club,https://www.farleighfox.co.uk,51.3314049,-0.033287,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
The Woldingham Golf Club,https://woldinghamgc.co.uk/,51.3003835,-0.0475555,esp,public,https://www.e-s-p.com/elitelive/book_group.php,high,
North Downs Golf Course,https://www.northdownsgolfclub.co.uk/,51.2749107,-0.0312268,golf_manager,public,https://northdownsgolfclub.golfmanager.com/consumer/ebookings?i=1&resourcetype=100038,high,
Kent & Surrey Golf & Country Club,,51.201982,0.0425917,no_site,unknown,,low,no official website resolved (not in county union directory)
