name,official_site,lat,lon,platform,access,evidence_url,confidence,note
High Gosforth Park Golf Club,https://www.newcastle-racecourse.co.uk/golf/welcome,55.0364772,-1.6041017,esp,unknown,,medium,platform link(s) seen (['esp']) but no confirmed public booking page found
Heworth Golf Club,https://www.theheworthgolfclub.co.uk/,54.9410917,-1.5256587,brs,public,https://visitors.brsgolf.com/heworth#/course/1,high,
Tynemouth Golf Club,https://www.tynemouthgolfclub.co.uk,55.0206998,-1.4418667,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.tynemouthgolfclub.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.tynemouthgolfclub.co.uk', port=443): Failed to resolve 'www.tynemouthgolfclub.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Wallsend Golf Course Centurion Park,https://centurionpark.com/,54.9950793,-1.5525254,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='centurionpark.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError('A certificate chain processed, but terminated in a root certificate which is not trusted by the trust provider.')))"
Tyneside Golf Club,https://www.tynesidegolfclub.co.uk,54.9780625,-1.777402,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Ryton Golf Club,https://www.rytongolfclub.co.uk/,54.9813547,-1.7880441,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
George Washington Hotel Golf and Spa,https://www.georgewashington.co.uk/contact/,54.9276359,-1.530346,unknown,unknown,,low,homepage loaded (https://georgewashington.co.uk/contact/) but no platform signal found on it or 1 booking-ish link(s)
Boldon Golf Club,https://boldongolfclub.co.uk/,54.937989,-1.446477,brs,public,https://visitors.brsgolf.com/boldon#/open-competitions,high,confirmed by following the platform link found on the club's own site
Wearside Golf Club,https://www.wearsidegolfclub.co.uk/,54.8955613,-1.4754537,unknown,unknown,,low,homepage loaded (https://www.wearsidegolfclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Whitburn Golf Club,https://whitburngolfclub.co.uk/,54.9716279,-1.3795002,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Westerhope Golf Club,https://www.westerhopegolfclub.com/,55.0067826,-1.702018,brs,public,https://visitors.brsgolf.com/westerhope,high,
City of Newcastle Golf Club,https://www.cityofnewcastlegolfclub.com/,55.0209602,-1.6316903,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Whickham Golf Club,https://www.whickhamgolfclub.co.uk/Intro.aspx,54.9262077,-1.7033919,blocked,unknown,,low,homepage returned HTTP 500 — likely bot-blocked; needs a browser-based check
South Shields Golf Club,https://www.ssgc.co.uk/,54.9667388,-1.3887003,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.ssgc.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Backworth Golf Club,https://backworthgolf.com/,55.0397071,-1.5307131,brs,public,https://visitors.brsgolf.com/backworth#/course/1,high,
Birtley Golf Club,https://www.birtleyportobellogolfclub.co.uk/,54.8886715,-1.5713788,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.birtleyportobellogolfclub.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Houghton-le-Spring Golf Club,https://www.houghtongolfclub.co.uk/,54.8376708,-1.442717,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.houghtongolfclub.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError('A certificate chain processed, but terminated in a root certificate which is not trusted by the trust provider.')))"
Garesfield Golf Course,https://www.garesfieldgolfclub.co.uk/,54.9302143,-1.7964121,unknown,unknown,,low,homepage loaded (https://www.garesfieldgolfclub.co.uk/) but no platform signal found on it or 6 booking-ish link(s)
Gosforth Golf Club,https://www.gosforthgolfclub.co.uk/,55.0148183,-1.6075767,brs,public,https://visitors.brsgolf.com/gosforth/#/course/1,high,
Northumberland Golf Club,https://www.thengc.co.uk/,55.0310124,-1.6107417,intelligent_golf,public,https://northumberland.intelligentgolf.co.uk/visitorbooking/,high,
Newcastle United Golf Club,https://www.newcastleunitedgolfclub.co.uk/,54.9927557,-1.6445869,unknown,unknown,,low,homepage loaded (https://www.newcastleunitedgolfclub.co.uk/) but no platform signal found on it or 8 booking-ish link(s)
Ravensworth Golf Club,https://www.ravensworthgolfclub.co.uk/,54.9222534,-1.5825414,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
