name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Celtic Manor: Roman Road,,51.6067263,-2.9329525,no_site,unknown,,low,no official website resolved (not in county union directory)
Indoor Golf at Redz,,51.6446442,-3.0197413,no_site,unknown,,low,no official website resolved (not in county union directory)
Criccieth Multi Golf,,52.9195717,-4.2212058,no_site,unknown,,low,no official website resolved (not in county union directory)
Swansea FootGolf,https://www.swanseafootgolf.com/,51.6020677,-3.9889783,unknown,unknown,,low,homepage loaded (https://www.futuregolfventures.com/) but no platform signal found on it or 2 booking-ish link(s)
Pennard Golf Club,,51.5756154,-4.0981775,no_site,unknown,,low,no official website resolved (not in county union directory)
Morriston Golf Club,,51.6745784,-3.9380065,no_site,unknown,,low,no official website resolved (not in county union directory)
Langland Bay Golf Club,,51.5678538,-4.0216947,no_site,unknown,,low,no official website resolved (not in county union directory)
Clays Golf Club,,53.0555892,-2.9378234,no_site,unknown,,low,no official website resolved (not in county union directory)
Clyne Golf Club,https://www.clynegolfclub.com,51.5967189,-4.0232419,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Whitchurch Golf Club,,51.5261983,-3.2242548,no_site,unknown,,low,no official website resolved (not in county union directory)
Mold Golf Club,,53.1696362,-3.1978285,no_site,unknown,,low,no official website resolved (not in county union directory)
Cardiff Golf Club,https://www.cardiffgolfclub.co.uk,51.5279309,-3.1591773,intelligent_golf,public,https://cardiff.intelligentgolf.co.uk/visitorbooking/,high,
Radyr Golf Club,,51.5137247,-3.2631333,no_site,unknown,,low,no official website resolved (not in county union directory)
Earlswood Golf Course,,51.6300333,-3.8472833,no_site,unknown,,low,no official website resolved (not in county union directory)
Tata Steel Golf Course,,51.5669529,-3.75389,no_site,unknown,,low,no official website resolved (not in county union directory)
Lleyn Golf Centre,https://www.pen-y-berth.co.uk/golf-north-wales.htm,52.8748672,-4.4705553,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Bryn Meadows,,51.6425814,-3.2059955,no_site,unknown,,low,no official website resolved (not in county union directory)
Whitehall Golf Course,,51.6484387,-3.3078882,no_site,unknown,,low,no official website resolved (not in county union directory)
Mountain Ash Golf Course,,51.6960536,-3.3967785,no_site,unknown,,low,no official website resolved (not in county union directory)
Aberdare Golf Club,,51.715759,-3.4262368,no_site,unknown,,low,no official website resolved (not in county union directory)
Meliden Golf Course,,53.3204279,-3.4039604,no_site,unknown,,low,no official website resolved (not in county union directory)
Prestatyn Golf Course,,53.3445457,-3.3841911,no_site,unknown,,low,no official website resolved (not in county union directory)
Gower Golf Club,https://www.gowergolf.com,51.6362043,-4.0614009,unknown,unknown,,low,homepage loaded (https://www.gowergolf.com/) but no platform signal found on it or 0 booking-ish link(s)
Llanishen Golf Course,,51.5515274,-3.1906879,no_site,unknown,,low,no official website resolved (not in county union directory)
The Parc Golf Club,https://parcgolfclub.com/contact-us/,51.5458768,-3.0521536,unknown,unknown,,low,homepage loaded (https://parcgolfclub.com/contact-us/) but no platform signal found on it or 1 booking-ish link(s)
Newport Golf Club,,51.6012621,-3.0579886,no_site,unknown,,low,no official website resolved (not in county union directory)
Tredegar Park Golf Club,,51.5988944,-3.0272043,no_site,unknown,,low,no official website resolved (not in county union directory)
Caerleon Municipal Golf Course,,51.6079828,-2.9652426,no_site,unknown,,low,no official website resolved (not in county union directory)
Peterstone Golf Club,,51.5223359,-3.0407675,no_site,unknown,,low,no official website resolved (not in county union directory)
Celtic Manor Golf Club,,51.6140853,-2.9277701,no_site,unknown,,low,no official website resolved (not in county union directory)
Llanwern Golf Club,,51.5848323,-2.9250353,no_site,unknown,,low,no official website resolved (not in county union directory)
Pontypridd Golf Club,,51.6051016,-3.3189449,no_site,unknown,,low,no official website resolved (not in county union directory)
Clwb Golff Abersoch,,52.8157123,-4.5024372,no_site,unknown,,low,no official website resolved (not in county union directory)
Rhuddlan Golf Course,,53.2935769,-3.451948,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal Saint Davids Golf Course,,52.8612815,-4.1187232,no_site,unknown,,low,no official website resolved (not in county union directory)
Criccieth Golf Club,https://www.cricciethgolfclub-northwales.co.uk,52.9325438,-4.2258768,unknown,unknown,,low,homepage loaded (https://cricciethgolfclub-northwales.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Rhos on Sea Golf Course,,53.3142637,-3.759536,no_site,unknown,,low,no official website resolved (not in county union directory)
Mini Golf Course,,52.9140034,-4.1711547,no_site,unknown,,low,no official website resolved (not in county union directory)
Dinas Powys Golf Club,,51.4395918,-3.2320548,no_site,unknown,,low,no official website resolved (not in county union directory)
Glamorganshire Golf Club,https://glamorganshiregolfclub.co.uk,51.420605,-3.1837644,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
