name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Baildon Golf Club,,53.8556629,-1.7684536,no_site,unknown,,low,no official website resolved (not in county union directory)
Normanton Golf Club,,53.703461,-1.4866961,no_site,unknown,,low,no official website resolved (not in county union directory)
Barnsley Golf Club,https://www.barnsleygolfclub.co.uk/,53.5966302,-1.4923903,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Wakefield Golf Club,,53.6425977,-1.4852139,no_site,unknown,,low,no official website resolved (not in county union directory)
Oulton Park Golf Course,,53.7452014,-1.4616925,no_site,unknown,,low,no official website resolved (not in county union directory)
Low Laithes Golf Course,,53.6890912,-1.5469038,no_site,unknown,,low,no official website resolved (not in county union directory)
Whitwood Golf Club,,53.7201517,-1.3910735,no_site,unknown,,low,no official website resolved (not in county union directory)
Roundhay Golf Club,https://www.roundhaygc.co.uk/,53.8443187,-1.4961575,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.roundhaygc.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.roundhaygc.co.uk', port=443): Failed to resolve 'www.roundhaygc.co.uk' ([Errno 11001] getaddrinfo failed)""))"
Gotts Park Golf Course,https://gottsparkgolfclub.co.uk/,53.8048374,-1.5995093,unknown,unknown,,low,homepage loaded (https://gottsparkgolfclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Outlane Golf Club,,53.6538712,-1.8651303,no_site,unknown,,low,no official website resolved (not in county union directory)
Dewsbury Golf Course,,53.6644512,-1.6689979,no_site,unknown,,low,no official website resolved (not in county union directory)
East Bierley Golf Club,https://www.eastbierleygolfclub.co.uk/,53.7614322,-1.7059712,clubv1,unknown,,medium,"platform link(s) seen (['clubv1', 'brs']) but no confirmed public booking page found"
Fulneck Golf Club,https://fulneckgolfclub.co.uk/,53.7810486,-1.6688574,brs,unknown,,medium,platform link(s) seen (['brs']) but no confirmed public booking page found
Moortown Golf Club,,53.8568638,-1.5426975,no_site,unknown,,low,no official website resolved (not in county union directory)
Woolley Park Golf Course,,53.6152464,-1.5050242,no_site,unknown,,low,no official website resolved (not in county union directory)
Calverley Golf & Country Club,https://www.calverleygolf.co.uk/,53.8119909,-1.6971605,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.calverleygolf.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Woodhall Hills Golf Club,https://www.woodhallhillsgolfclub.com/,53.8196698,-1.6993468,brs,public,https://visitors.brsgolf.com/woodhallhills,high,
Clayton Golf Club,https://www.claytongolfclub.co.uk/,53.7788412,-1.8088172,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Longley Park,,53.63895,-1.7721919,no_site,unknown,,low,no official website resolved (not in county union directory)
Wetherby Golf Club,https://www.wetherbygolfclub.co.uk/,53.9187161,-1.4021725,clubv1,unknown,,medium,platform link(s) seen (['clubv1']) but no confirmed public booking page found
East Morton Golf Club,https://eastmortongolf.co.uk/,53.8713721,-1.8596604,unknown,unknown,,low,homepage loaded (https://eastmortongolf.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Keighley Golf Course,https://www.keighleygolfclub.com/,53.8888137,-1.9148273,intelligent_golf,public,https://www.keighleygolfclub.com/visitorbooking/,high,
Northcliffe Golf Course,https://www.northcliffegc.org.uk/login.php,53.8251684,-1.7960449,intelligent_golf,public,https://www.northcliffegc.org.uk/visitorbooking/,high,
Ben Rhydding Golf Club,https://www.benrhyddinggolfclub.com/,53.9177421,-1.7939612,golfnow,out_of_scope,,high,"GolfNow listing, not the club's own booking — excluded by policy: https://www.golfnow.co.uk/tee-times/facility/2555-ben-rhydding-golf-club/search#sortby=Date&view=Grouping&holes=3&timemax=42&timemin=10&players=0&pricemax=10000&pricemin=0"
Horsforth Golf Course,,53.8563113,-1.65571,no_site,unknown,,low,no official website resolved (not in county union directory)
Crosland Heath Golf Course,https://croslandheath.co.uk/,53.6245548,-1.8360823,brs,public,https://visitors.brsgolf.com/croslandheath#/course/1,high,
West End Golf Club,,53.7290383,-1.905323,no_site,unknown,,low,no official website resolved (not in county union directory)
Bingley St Ives Golf Club,https://bingleystivesgc.com/,53.8506699,-1.8689362,clubv1,public,https://bingley.hub.clubv1.com/visitors/TeeSheet?date=2026-09-12,high,
Cleckheaton & District Golf Club,,53.7369611,-1.7360209,no_site,unknown,,low,no official website resolved (not in county union directory)
