club_name,course_type,yardage,all_yardages,source_url,note
Abbey Hill Golf Centre,,6050,6050,https://abbeyhillgc.co.uk/golf-courses/,
Abbey Moor Golf Club,,,,https://www.playgolfgroup.com/abbeymoor/,no yardage found
Addington Court Golf Club (Academy),,,,https://golf.addingtoncourt-golfclub.co.uk,no yardage found
Addington Court Golf Club (Championship),,,,https://golf.addingtoncourt-golfclub.co.uk,no yardage found
Addington Court Golf Club (Falconwood),,,,https://golf.addingtoncourt-golfclub.co.uk,no yardage found
Addington Palace Golf Club,parkland,6405,6405,https://addingtonpalacegolf.co.uk/the-course/,
Aldenham Golf Club (Church),parkland,,,https://www.aldenhamgolfclub.co.uk/,no yardage found
Aldenham Golf Club (Village),parkland,,,https://www.aldenhamgolfclub.co.uk/,no yardage found
Aldwickbury Park Golf Course,parkland,6368,6368,https://aldwickburyparkgolfclub.co.uk/golf/,
Alfreton Golf Club,parkland,,,https://alfretongolfclub.co.uk/,no yardage found
Alton Golf Club,parkland,5622,5622,https://www.altongolfclub.com/,
Andover Golf Club,,6096,6096,https://www.andovergolfclub.co.uk/,
Arkley Golf Club,parkland,6030,6030,https://www.arkleygolfclub.co.uk/golf/the-course/,
Ash Valley Golf Club (Little Links),parkland,,6611,https://www.ashvalley.co.uk/,"hand: cleared, the page gave one yardage for all of this club's courses"
Ash Valley Golf Club (Valley Course),parkland,,6611,https://www.ashvalley.co.uk/,"hand: cleared, the page gave one yardage for all of this club's courses"
Ashford Golf Club,parkland,6313,6313 6065 5490,https://www.ashfordgolfclub.co.uk/,several yardages — check which tee
Ashley Wood Golf Club,downland,,,https://www.ashleywoodgolfclub.com/,no yardage found
Aspley Guise & Woburn Sands Golf Club,heathland,5944,5944,https://www.aspleyguisegolfclub.co.uk/,types seen: heathland/parkland
Avington Park Golf Course,parkland,,,https://www.avingtongolf.co.uk/,no yardage found
Axe Cliff Golf Course,,5913,5913,https://www.axecliffgolfclub.com/,
Aylesbury Vale Golf Club (18 Holes),,6593,6593,https://www.avgc.co.uk/,
Bakewell Golf Club,,,,https://www.bakewellgolfclub.co.uk/,no yardage found
Banstead Downs Golf Club,downland,6600,6600,https://www.bansteaddowns.co.uk/,
Barnham Broom,,6689,6689 6454,https://barnham-broom.co.uk/golf/,several yardages — check which tee
Basingstoke Golf Club,downland,,,https://www.basingstokegolfclub.co.uk/,no yardage found
Basset Down Golf Course (Basset Down GC),,,,https://www.basset-down.com,no yardage found
Batchworth Park Golf Club,parkland,6723,6723,https://batchworthparkgolf.co.uk/,
Bath Golf Club (Bath GC),downland,6464,6464,https://www.bathgolfclub.org.uk/course_tour,
Bawburgh Golf Course,heathland,6722,6722,https://bawburgh.com/golf-courses/#bookatee,types seen: heathland/parkland
Beaconsfield Golf Club,parkland,,,https://www.beaconsfieldgolfclub.co.uk/,no yardage found
Bedford and County Golf Club,parkland,6327,6327,https://www.bandcgc.co.uk/,
Beedles Lake Golf Course (1st Tee Main Course),parkland,,,https://www.beedleslake.co.uk/,no yardage found
