tier,rank,list_name,country,config_club_name,note
Top 100,1,Royal County Down Golf Club Championship Course,Northern Ireland,,
Top 100,2,St Andrews Links Old Course,Scotland,,
Top 100,3,Trump Turnberry Resort Ailsa Course,Scotland,,
Top 100,4,Muirfield,Scotland,,
Top 100,5,Royal Dornoch Golf Club Championship Course,Scotland,,
Top 100,6,Royal Birkdale Golf Club,England,Royal Birkdale Golf Club,
Top 100,7,Royal Portrush Golf Club Dunluce Links,Northern Ireland,,
Top 100,8,Carnoustie Golf Links Championship Course,Scotland,,
Top 100,9,Sunningdale Golf Club New Course,England,,
Top 100,10,Sunningdale Golf Club Old Course,England,,
Top 100,11,Royal St George's Golf Club,England,,
Top 100,12,Woodhall Spa Golf Club Hotchkin Course,England,Woodhall Spa National Golf Centre (Hotchkin),
Top 100,13,Royal Liverpool Golf Club,England,,
Top 100,14,Kingsbarns Golf Links,Scotland,,
Top 100,15,Trump International Golf Links,Scotland,,
Top 100,16,Royal Lytham & St Annes Golf Club,England,Royal Lytham & St Annes Golf Course,
Top 100,17,Royal Aberdeen Golf Club Balgownie Course,Scotland,,
Top 100,18,The European Club,Ireland,,
Top 100,19,Ballybunion Golf Club Old Course,Ireland,,
Top 100,20,Royal Troon Golf Club Old Course,Scotland,,
Top 100,21,Royal Porthcawl Golf Club,Wales,,
Top 100,22,Cabot Highlands Castle Stuart Golf Links,Scotland,,
Top 100,23,Waterville Golf Links,Ireland,,
Top 100,24,Lahinch Golf Club Old Course,Ireland,,
Top 100,25,St George's Hill Golf Club Red & Blue Course,England,,
Top 100,26,Portmarnock Golf Club Red & Blue Course,Ireland,,
Top 100,27,The Golf Course at Adare Manor,Ireland,,
Top 100,28,North Berwick Golf Club,Scotland,,
Top 100,29,Burnham & Berrow Golf Club Championship Course,England,Burnham & Berrow Golf Club (Championship),the Channel course is not ranked
Top 100,30,Hillside Golf Club,England,,
Top 100,31,Hankley Common Golf Club,England,,
Top 100,32,Ganton Golf Club,England,,
Top 100,33,Swinley Forest Golf Club,England,,
Top 100,34,Old Head Golf Links,Ireland,,
Top 100,35,Walton Heath Golf Club Old Course,England,,
Top 100,36,Gleneagles Golf Resort King's Course,Scotland,,
Top 100,37,Dumbarnie Links,Scotland,,
Top 100,38,Nairn Golf Club Championship Course,Scotland,,
Top 100,39,Rosapenna Hotel & Golf Resort St Patrick's Links,Ireland,,
Top 100,40,Formby Golf Club,England,,"we list Formby Ladies Golf Club, a separate club"
Top 100,41,St Enodoc Golf Club Church Course,England,St Enodoc Golf Club (The Church),the Holywell course is not ranked
Top 100,42,The Berkshire Golf Club Red Course,England,,
Top 100,43,Royal Cinque Ports Golf Club,England,Royal Cinque Ports Golf Club,
Top 100,44,Prestwick Golf Club,Scotland,,
Top 100,45,Tralee Golf Club,Ireland,,
Top 100,46,Western Gailes Golf Club,Scotland,,
Top 100,47,Hollinwell The Home of Notts GC,England,Hollinwell,
Top 100,48,Trump International Golf Links Doonbeg,Ireland,,
Top 100,49,Royal St David's Golf Club,Wales,,
Top 100,50,Rosapenna Hotel & Golf Resort Sandy Hills Course,Ireland,,
Top 100,51,Silloth on Solway Golf Club,England,Silloth on Solway Golf Club,
Top 100,52,The Machrie Hotel & Golf Links,Scotland,,
Top 100,53,Alwoodley Golf Club,England,Alwoodley Golf Club,
Top 100,54,Saunton Golf Club East Course,England,Saunton Golf Course (East),
Top 100,55,Liphook Golf Club,England,,
