club,outcome,sheet_url,title,detail
Rochford Hundred Golf Club,public,https://www.rochfordhundredgolfclub.co.uk/visitorbooking/,Visitor's Teetime Booking at Rochford Hundred Golf Club,public visitor tee sheet
Army Golf Course,not_a_sheet,https://www.armygolfclub.com/visitorbooking/,Competition Bookings :: When visiting Army Golf Club you can be assured of a war,"tee-sheet markup, but the page is: Competition Bookings :: When visiting Army Golf Club you can be assured of a war"
Barton on Sea Golf Club,login,https://bosgc.intelligentgolf.co.uk/visitorbooking/,Login Required - Barton-on-Sea Golf Club,tee sheet present but requires a member login
Basingstoke Pitch and Putt,already_live,https://www.basingstokegolfclub.co.uk/visitorbooking/,Visitor's Teetime Booking at Basingstoke Golf Club,this sheet is already scraped under another club name
Fleetlands Golf Club,unreachable,,,no visitor sheet found at any known path
South Petersfield Golf Club,already_live,https://www.petersfieldgolfclub.co.uk/visitorbooking/,Visitor's Teetime Booking at Petersfield Golf Club,this sheet is already scraped under another club name
Tournerbury Golf Course,unreachable,,,no visitor sheet found at any known path
Chelmsford Golf Course,not_a_sheet,https://chelmsford.intelligentgolf.co.uk/visitorbooking/,Competition Bookings :: Chelmsford Golf Club,"tee-sheet markup, but the page is: Competition Bookings :: Chelmsford Golf Club"
Colchester Golf Club,login,https://www.colchestergolfclub.com/visitorbooking/,"Login Required - Colchester Golf Club :: Golf Club, Essex, Colchester",tee sheet present but requires a member login
Gillingham Golf Club,not_a_sheet,https://gillingham.intelligentgolf.co.uk/visitorbooking/,,no tee-sheet markup on the page
Letchworth Golf Club,unreachable,,,no visitor sheet found at any known path
Mill Ride Golf & Country Club,login,https://www.mill-ride.com/visitorbooking/,"Login Required - The Maidenhead Golf Club :: The Maidenhead Golf Club, Golf Cour",tee sheet present but requires a member login
North Hants Golf Club,not_a_sheet,https://northhants.intelligentgolf.co.uk/visitorbooking/,Competition Bookings,"tee-sheet markup, but the page is: Competition Bookings"
Play Golf Colchester (Lexden Wood Golf Course),login,https://www.colchestergolfclub.com/visitorbooking/,"Login Required - Colchester Golf Club :: Golf Club, Essex, Colchester",tee sheet present but requires a member login
Rochester and Cobham Park Golf Club,login,https://rochester.intelligentgolf.co.uk/visitorbooking/,Login Required - Rochester & Cobham Park Golf Club :: Rochester &amp; Cobham Par,tee sheet present but requires a member login
Rye Golf Club,public,https://www.ryegolfclub.co.uk/visitorbooking/,Visitor's Teetime Booking at Rye Golf Club,public visitor tee sheet
Seaford College Golf Academy,already_live,https://seaford.intelligentgolf.co.uk/visitorbooking/,Visitor's Teetime Booking at Seaford Golf Club,this sheet is already scraped under another club name
Sonning Golf Club,login,https://sonning.intelligentgolf.co.uk/visitorbooking/,Login Required - Sonning Golf Club,tee sheet present but requires a member login
Wimbledon Park Golf Club,unreachable,,,no visitor sheet found at any known path
Worthing Golf Club,login,https://worthing.intelligentgolf.co.uk/visitorbooking/,"Login Required - Worthing Golf Club :: WORTHING GOLF CLUB, with its two 18 hole ",tee sheet present but requires a member login
