name,official_site,lat,lon,platform,access,evidence_url,confidence,note
St. Mellion International Resort,https://www.st-mellion.co.uk,50.4683715,-4.2826961,chronogolf,unknown,https://www.chronogolf.com/en/club/18605/widget?medium=widget&source=club,medium,site reachable (https://www.st-mellion.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Summerheights Golf Links,,45.0635712,-74.7345432,no_site,unknown,,low,still no website known
Archie's Family Golf Centre,,45.0331354,-74.7685685,no_site,unknown,,low,still no website known
Ivyleaf Golf Course,,50.8510988,-4.5064977,no_site,unknown,,low,still no website known
Point at Polzeath Golf Course,https://www.thepointatpolzeath.co.uk,50.5655721,-4.9017529,intelligent_golf,public,https://thepoint.intelligentgolf.co.uk/visitorbooking/,high,club's own Intelligent Golf subdomain
Falmouth Golf Club,https://www.falmouthgolfclub.com,50.1351188,-5.0824933,unknown,unknown,,low,site reachable (https://www.abovethebay.co.uk/golf) but no visitor booking found on it or 2 sub-page(s)
Sea Acres 9 hole course,https://www.parkdeanresorts.co.uk/location/cornwall/sea-acres/,50.0018445,-5.1695688,unknown,unknown,,low,site reachable (https://www.parkdeanresorts.co.uk/location/cornwall/sea-acres/) but no visitor booking found on it or 5 sub-page(s)
Killiow Country Club,,50.2382751,-5.0796366,no_site,unknown,,low,still no website known
Praa Sands Golf Course,https://haulfrynholidays.co.uk/welcome-to-praa-sands-holiday-park/,50.1111807,-5.3875515,unknown,unknown,,low,site reachable (https://haulfrynholidays.co.uk/holidays/welcome-to-praa-sands-holiday-park/) but no visitor booking found on it or 1 sub-page(s)
Retallack Resort Pitch and Putt Golf Course,https://www.retallackresort.co.uk,50.4580659,-4.9140498,error,unknown,,low,unreachable even with a browser user agent
Holywell Bay Golf Club,https://holywellbaygolf.co.uk/,50.3892381,-5.1321219,unknown,unknown,,low,site reachable (https://holywellbaygolf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Hoburne Holiday Park Doublebois,https://www.hoburne.com/park-details/hoburne-doublebois,50.459625,-4.5370658,dead_link,unknown,,low,site reachable (https://www.hoburne.com/) but no visitor booking found on it or 0 sub-page(s)
St Kew Golf Club,https://www.stkewgc.com/,50.5423581,-4.7891955,unknown,unknown,,low,site reachable (https://stkewgc.com/) but no visitor booking found on it or 0 sub-page(s)
Atlantic Reach Golf Course,https://www.atlanticreach.co.uk/,50.4038397,-4.9548964,unknown,unknown,,low,site reachable (https://atlanticreach.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Trethorne Golf Club,https://www.trethornegolfclub.com,50.6266614,-4.4265789,unknown,unknown,,low,site reachable (https://trethornegolfclub.com/) but no visitor booking found on it or 1 sub-page(s)
Helston Golf Course,,50.1231643,-5.2635006,no_site,unknown,,low,still no website known
GwelanMor Golf Course,https://www.gwelanmor.com/,50.2523504,-5.2875148,unknown,unknown,,low,site reachable (https://cove.co.uk/other-resorts-and-scenic-parks/) but no visitor booking found on it or 1 sub-page(s)
Treloy Golf Club,https://www.treloygolfclub.co.uk,50.4251298,-5.0170066,unknown,unknown,,low,site reachable (https://treloygolfclub.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Hengar Manor Country Park Pitch and Putt course,,50.5596661,-4.7137636,no_site,unknown,,low,still no website known
Clowance Golf Course,,50.169799,-5.3146483,no_site,unknown,,low,still no website known
Looe Golf Club,https://www.looegolfclub.co.uk,50.394402,-4.4244262,error,unknown,,low,unreachable even with a browser user agent
St Erth Pitch and Putt,,50.1698976,-5.4308752,no_site,unknown,,low,still no website known
West Cornwall Golf Club,https://www.westcornwallgolfclub.co.uk,50.1898143,-5.439333,error,unknown,,low,unreachable even with a browser user agent
Tregenna Castle Resort,https://www.tregenna-castle.co.uk/businessandleisure/golf/,50.2041861,-5.4790786,dead_link,unknown,,low,site reachable (https://tregenna-castle.co.uk/) but no visitor booking found on it or 3 sub-page(s)
Gillyflower Golf,,50.4168845,-4.6615494,no_site,unknown,,low,still no website known
Isles-of-Scilly Golf Club,https://www.islesofscillygolfandbowlsclub.co.uk,,,unknown,unknown,,low,site reachable (https://www.islesofscillygolfandbowlsclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
