name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Dawlish Approach Golf,,50.5887312,-3.4608008,no_site,unknown,,low,still no website known
Teignmouth Golf Course,https://www.teignmouthgolfclub.co.uk,50.5706928,-3.5291813,intelligent_golf,public,https://Teignmouth.intelligentgolf.co.uk/visitorbooking/,high,club's own Intelligent Golf subdomain
East Devon Golf Club,https://www.edgc.co.uk,50.6260407,-3.3456283,unknown,unknown,,low,site reachable (https://www.edgc.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Dawlish Warren Golf Club,,50.6032095,-3.4360685,no_site,unknown,,low,still no website known
Oak Meadow Golf Club,,50.6210537,-3.4492322,no_site,unknown,,low,still no website known
Bovey Castle Golf Course,https://www.boveycastle.com,50.6468995,-3.798534,unknown,unknown,,low,site reachable (https://www.boveycastle.com/) but no visitor booking found on it or 5 sub-page(s)
Bay Hotel Golf Course,,51.1713495,-4.2071392,no_site,unknown,,low,still no website known
Boringdon Park Golf Club,https://www.boringdonpark.com,50.4012163,-4.0679511,unknown,unknown,,low,site reachable (https://boringdonpark.com/) but no visitor booking found on it or 1 sub-page(s)
Cayman Golf (Pitch and Putt),,50.3952881,-3.5491355,no_site,unknown,,low,still no website known
Tavistock Golf Club,https://www.tavistockgolfclub.org.uk,50.5433975,-4.1172182,intelligent_golf,public,https://www.tavistockgolfclub.co.uk/visitorbooking,high,found on https://www.tavistockgolfclub.co.uk/
Mettaford Golf Course,,50.9925159,-4.4475483,no_site,unknown,,low,still no website known
Fingle Glen Golf Club,https://www.fingleglengolfhotel.co.uk/,50.7304639,-3.6532037,unknown,unknown,,low,site reachable (https://yctrust.uk/) but no visitor booking found on it or 0 sub-page(s)
Hartland Forest,https://hartlandforestgolfclub.co.uk/,50.9466546,-4.4244343,unknown,unknown,,low,site reachable (https://hartlandforestgolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Westcountry Golf Academy,https://www.wgagolf.co.uk/,50.9182361,-3.3659988,unknown,unknown,,low,site reachable (https://www.wgagolf.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Great Torrington Golf Club,https://www.torringtongolfclub.co.uk,50.9604369,-4.1644295,unknown,unknown,,low,site reachable (https://www.torringtongolfclub.co.uk/) but no visitor booking found on it or 3 sub-page(s)
Mortehoe and Woolacombe Golf Club,https://www.woolacombegolf.co.uk,51.1859157,-4.1966753,unknown,unknown,,low,site reachable (https://www.woolacombe.co.uk/devon-holidays/golf-breaks) but no visitor booking found on it or 3 sub-page(s)
Torbay Golf Centre (Pitch and Putt),,50.418913,-3.5643929,no_site,unknown,,low,still no website known
Devon Golf & Conference Centre,,53.3660204,-113.7106965,no_site,unknown,,low,still no website known
Illfracombe Golf Club,https://ilfracombegolfclub.com/,51.2106112,-4.0871029,brs,unknown,https://www.brsgolf.com/ilfracombe/visitor_menu.php,medium,site reachable (https://ilfracombegolfclub.com/) but no visitor booking found on it or 1 sub-page(s)
Dartmouth Golf And Country Club,https://www.thedartmouthhotel.co.uk/,50.3633116,-3.662213,intelligent_golf,public,https://dartmouth.intelligentgolf.co.uk/visitorbooking/,high,found on https://thedartmouthhotel.co.uk/book-your-tee-time/
Dinnaton Golf Course,,50.3988125,-3.9410154,no_site,unknown,,low,still no website known
Wrangaton Golf Course,,50.4067603,-3.8751178,no_site,unknown,,low,still no website known
Sparkwell Golf Course,,50.4045847,-3.9930949,no_site,unknown,,low,still no website known
Plymouth Golf Centre,,50.3693022,-4.0665675,no_site,unknown,,low,still no website known
Libbaton Golf Club,https://www.libbatongolfclub.co.uk,50.9574234,-3.9920916,error,unknown,,low,unreachable even with a browser user agent
Highbullen Golf Course,,50.967033,-3.9230628,no_site,unknown,,low,still no website known
Thorn Park Golf Centre,,50.6976711,-3.2031313,no_site,unknown,,low,still no website known
Vic Ambler Golf Centre,,50.7391352,-3.5355762,no_site,unknown,,low,still no website known
Willingcott Valley Golf Course,,51.175077,-4.1517667,no_site,unknown,,low,still no website known
Bovey Tracey Golf Club,https://www.golfindevon.co.uk/wolleigh/,50.6021559,-3.6870625,dead_link,unknown,,low,site reachable (https://golfindevon.com/) but no visitor booking found on it or 0 sub-page(s)
Otter Valley Golf Centre,https://www.otter-golf.co.uk/,50.841105,-3.1413605,error,unknown,,low,unreachable even with a browser user agent
Teign Valley Golf Club,https://teignvalleygolf.co.uk/,50.6397436,-3.640159,unknown,unknown,,low,site reachable (https://buydomainnames.co.uk/domain/teignvalleygolf.co.uk?offer=parked) but no visitor booking found on it or 0 sub-page(s)
Ashbury Golf Course,https://www.ashburygolfhotel.com,50.7407466,-4.0744326,error,unknown,,low,unreachable even with a browser user agent
Clovelly Golf Course,,47.6277959,-52.7072835,no_site,unknown,,low,still no website known
Welbeck Manor Golf Club,https://www.welbeckmanor.co.uk/sparkwell-golf-course/uncategorised/sparkwell-golf-course,,,error,unknown,,low,unreachable even with a browser user agent
