name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Bardsley Park Golf Centre,,53.5101916,-2.114132,no_site,unknown,,low,still no website known
Chorlton-cum-Hardy Golf Club,,53.4266683,-2.2762328,no_site,unknown,,low,still no website known
Withington Golf Club,https://www.withingtongolfclub.co.uk/Intro.aspx,53.4110833,-2.2467758,clubv1,unknown,https://withington.hub.clubv1.com/,medium,site reachable (https://withingtongolfclub.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Stockport Golf Club,,53.3881445,-2.0919209,no_site,unknown,,low,still no website known
Hazel Grove Golf Club,,53.3738735,-2.0946783,no_site,unknown,,low,still no website known
Bramhall Golf Club,,53.358743,-2.1494932,no_site,unknown,,low,still no website known
Reddish Vale Golf Course,,53.4312532,-2.1478285,no_site,unknown,,low,still no website known
Dunham Forest Golf and Country Club,,53.3859075,-2.3769455,no_site,unknown,,low,still no website known
Bolton Old Links Golf Course,,53.5973481,-2.4822865,no_site,unknown,,low,still no website known
Mariott Worsley Park Golf Club,https://www.marriott.co.uk/hotels/travel/mangs-worsley-park-marriott-hotel-and-country-club/,53.506155,-2.3979406,unknown,unknown,,low,site reachable (https://www.marriott.com/en-gb/default.mi) but no visitor booking found on it or 1 sub-page(s)
Worsley Golf Course,,53.4972332,-2.3586295,no_site,unknown,,low,still no website known
Stamford Golf Club,,53.5052235,-2.0333505,no_site,unknown,,low,still no website known
Heaton Mersey Valley Golf Course,,53.4084512,-2.2118465,no_site,unknown,,low,still no website known
Harwood Golf Club,,53.5998028,-2.3684927,no_site,unknown,,low,still no website known
Romiley Golf Course,,53.4195664,-2.0722395,no_site,unknown,,low,still no website known
Boysnope Park Golf Club,https://www.boysnope-golfclub.co.uk/,53.4619755,-2.4026717,unknown,unknown,,low,site reachable (https://boysnope-golfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Avro Golf Club,,53.3302918,-2.1615521,no_site,unknown,,low,still no website known
Pitch and Putt,,53.5715941,-2.0548404,no_site,unknown,,low,still no website known
Bowlee Park Golf Range,https://www.bowlee-park-range.co.uk/,53.5549052,-2.2326249,error,unknown,,low,unreachable even with a browser user agent
Trafford Golf Centre,https://traffordgolfcentre.co.uk/,53.4670624,-2.358712,unknown,unknown,,low,site reachable (https://www.traffordgolfcentre.co.uk/) but no visitor booking found on it or 4 sub-page(s)
Sale Golf Club,,53.4246801,-2.2849788,no_site,unknown,,low,still no website known
Hale Golf Course,,53.3609577,-2.326314,no_site,unknown,,low,still no website known
Porters Wood Golf Course,https://porterswoodgolfcourse.co.uk/,53.551518,-2.6970975,unknown,unknown,,low,site reachable (https://porterswoodgolfcourse.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Didsbury Golf Course,https://www.didsburygolfclub.com/,53.405554,-2.2437381,error,unknown,,low,unreachable even with a browser user agent
Marland Golf Course,https://www.link4life.org/centres/marland-golf-course,53.6049821,-2.1946619,error,unknown,,low,unreachable even with a browser user agent
Mellor and Townscliffe Golf Course,,53.3855643,-2.0375216,no_site,unknown,,low,still no website known
Ashton on Mersey Golf Club,,53.4359403,-2.3405841,no_site,unknown,,low,still no website known
Heaton Moor Golf Club,,53.4273263,-2.1943277,no_site,unknown,,low,still no website known
Avro Golf Club,,53.3302918,-2.1615521,no_site,unknown,,low,still no website known
Hale Golf Course,,53.3609577,-2.326314,no_site,unknown,,low,still no website known
