name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Duxbury Park Golf Course,https://www.glendale-golf.com/course-5-duxbury-park.aspx,53.6304879,-2.6228922,error,unknown,,low,unreachable even with a browser user agent
Shaw Hill Golf Club,https://www.shaw-hill.co.uk,53.6810246,-2.643493,brs,unknown,https://www.brsgolf.com/shawhill/visitor_home.php,medium,site reachable (https://www.shaw-hill.co.uk/) but no visitor booking found on it or 3 sub-page(s)
Mytton Fold Golf Club,https://www.myttonfold.co.uk,53.8059665,-2.4371833,unknown,unknown,,low,site reachable (https://www.myttonfold.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Turton Golf Course,https://www.turtongolfclub.co.uk,53.6279119,-2.4202361,unknown,unknown,,low,site reachable (https://www.turtongolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Fishwick Golf Course,,53.7621202,-2.6547383,no_site,unknown,,low,still no website known
Green Haworth Golf Club,https://www.green-haworth-gc.co.uk,53.7302963,-2.3664029,error,unknown,,low,unreachable even with a browser user agent
Rolls Royce Leisure golf area,https://rollsleisurebarnoldswick.co.uk/,53.9246252,-2.1713525,unknown,unknown,,low,site reachable (https://rollsleisurebarnoldswick.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Charnock Richard Golf Club,,53.6316229,-2.6787269,no_site,unknown,,low,still no website known
Marsden Park Golf Course,https://www.marsdenparkgolfcourse.co.uk,53.8379738,-2.1811157,unknown,unknown,,low,site reachable (https://ephemeral80s.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Highfield Golf Course,https://highfieldgolfcourse.co.uk/,53.6925788,-2.5875608,unknown,unknown,,low,site reachable (https://highfieldgolfcourse.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Lytham Golf Academy,https://www.lythamgolfacademy.co.uk/,53.7464335,-2.9204758,unknown,unknown,,low,site reachable (https://www.lythamgolfacademy.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Yarrow Valley Golf Course,https://www.yarrowvalleygolf.co.uk/home.html,53.6382678,-2.6618489,unknown,unknown,,low,site reachable (https://www.yarrowvalleygolf.co.uk/home.html) but no visitor booking found on it or 0 sub-page(s)
Oak Royal Golf & Country Club,https://www.oakroyalgolf-countryclub.co.uk,53.70413,-2.5586698,unknown,unknown,,low,site reachable (https://www.oakroyalgolf-countryclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Lobden Golf Club,https://www.lobdengolfclub.co.uk,53.6503578,-2.1646179,unknown,unknown,,low,site reachable (https://www.lobdengolfclub.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Myerscough College Golf Complex,https://www.myerscough.ac.uk/,53.8539668,-2.7523455,unknown,unknown,,low,site reachable (https://www.myerscough.ac.uk/) but no visitor booking found on it or 0 sub-page(s)
Short Course,,53.7499753,-3.0127586,no_site,unknown,,low,still no website known
Stanley Park Golf Course,https://www.parkgolfclubsouthport.co.uk,53.8194024,-3.0182159,unknown,unknown,,low,site reachable (https://parkgolfclubsouthport.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Garstang Golf Course,https://www.garstanggolf.co.uk/,53.8892773,-2.7726801,unknown,login_required,,high,site reachable (https://www.garstanggolf.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Tee Time Golf Centre,https://teetimegolfcentre.com/,53.8616574,-3.0331025,unknown,unknown,,low,site reachable (https://teetimegolfcentre.com/) but no visitor booking found on it or 5 sub-page(s)
Walmersley Golf Club,https://www.walmersleygolfclub.co.uk,53.6164847,-2.2779507,error,unknown,,low,unreachable even with a browser user agent
Bacup Golf Course,https://www.bacupgolfclub.com,53.702887,-2.209818,unknown,unknown,,low,site reachable (https://www.bacupgolfclub.com/) but no visitor booking found on it or 0 sub-page(s)
Beacon Park Golf Club,https://www.beaconparkgolf.com,,,unknown,unknown,,low,site reachable (https://www.beaconparkgolf.com/) but no visitor booking found on it or 0 sub-page(s)
Bowring Golf Club,https://www.bowringgolfclub.com,,,error,unknown,,low,unreachable even with a browser user agent
Castle Hawk Golf Club,https://www.castlehawk.co.uk,,,unknown,unknown,,low,site reachable (https://www.castlehawk.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Denton Golf Club,https://www.dentongolfclub.com,,,error,unknown,,low,unreachable even with a browser user agent
Flixton Golf Club,https://www.flixtongolfclub.co.uk,,,brs,public,https://visitors.brsgolf.com/flixton#/open-competitions,high,found on https://www.flixtongolfclub.co.uk/members/make-a-booking/
Gathurst Golf Club,https://www.gathurstgolfclub.co.uk,,,error,unknown,,low,unreachable even with a browser user agent
Grand National Golf Club,https://www.aintree.co.uk/golf,,,unknown,unknown,,low,site reachable (https://www.aintree.co.uk/golf) but no visitor booking found on it or 0 sub-page(s)
Grange-over-Sands Golf Club,https://grangegolfclub.co.uk,,,clubv1,public,https://grangeoversands.hub.clubv1.com/visitors/booking,high,found on https://grangegolfclub.co.uk/
Great Lever & Farnworth Golf Club,https://www.greatleverfarnworthgolfclub.co.uk,,,error,unknown,,low,unreachable even with a browser user agent
