name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Lutterworth Golf Club,,52.4491605,-1.198234,no_site,unknown,,low,still no website known
Leicester Golf Centre,,52.6024704,-1.0982638,no_site,unknown,,low,still no website known
Leicestershire Golf Club,,52.6181934,-1.0842821,no_site,unknown,,low,still no website known
Humberstone Heights,,52.6531123,-1.0837079,no_site,unknown,,low,still no website known
Hinckley Golf Club,,52.5489537,-1.347253,no_site,unknown,,low,still no website known
Melton Mowbray Town Estate Golf Course,,52.7633953,-0.9107085,no_site,unknown,,low,still no website known
Enderby Golf & Leisure Centre,https://enderbygolfcourse.co.uk/,52.5827734,-1.2042118,unknown,unknown,,low,site reachable (https://www.enderbygolfcourse.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Willesley Park Golf Club,,52.7301177,-1.4919155,no_site,unknown,,low,still no website known
Stapleford Park Golf Club,https://www.staplefordpark.com/golf/,52.7540704,-0.7902555,unknown,unknown,,low,site reachable (https://www.citizensadvicedaventryanddistrict.co.uk/) but no visitor booking found on it or 5 sub-page(s)
Charnwood Golf,,52.7859933,-1.2375916,no_site,unknown,,low,still no website known
Rothley Park Golf Club,,52.7002774,-1.1479658,no_site,unknown,,low,still no website known
Rutland Water Golf Course,,52.639995,-0.6573771,no_site,unknown,,low,still no website known
Pitch and Putt,,52.6706351,-0.6640659,no_site,unknown,,low,still no website known
Whetstone Golf Club,https://www.whetstonegolfclub.co.uk/,52.5609866,-1.1926984,unknown,unknown,,low,site reachable (https://www.whetstonegolfclub.co.uk/) but no visitor booking found on it or 3 sub-page(s)
The Gallops Golf Course,,52.599021,-1.1011041,no_site,unknown,,low,still no website known
Six Hills Golf Course,,52.7874058,-1.0356197,no_site,unknown,,low,still no website known
Blaby Golf Centre,https://www.blabygolfcentre.co.uk/,52.5627833,-1.1640336,unknown,unknown,,low,site reachable (https://www.blabygolfcentre.co.uk/) but no visitor booking found on it or 0 sub-page(s)
The Golf Centre in Coalville,https://thegolfcentrecoalville.co.uk/,52.7222584,-1.3875861,unknown,unknown,,low,site reachable (https://thegolfcentrecoalville.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Ullesthorpe Court Hotel & Golf Club,,52.4902255,-1.2471068,no_site,unknown,,low,still no website known
Woolfox,,52.703944,-0.5651157,no_site,unknown,,low,still no website known
Luffenham Heath Golf Club,,52.6105782,-0.5869217,no_site,unknown,,low,still no website known
Breedon Priory Golf Centre,https://breedonpriorygolf.co.uk/,52.8026538,-1.4104364,unknown,unknown,,low,site reachable (https://breedonpriorygolf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Rutland Water,,52.6397541,-0.6554329,no_site,unknown,,low,still no website known
Leicester City Football Club Golf Course,,52.7437233,-1.0765489,no_site,unknown,,low,still no website known
Pitch and Putt,,50.4632991,-3.5399211,no_site,unknown,,low,still no website known
Pitch and Putt,,50.4101821,-5.069896,no_site,unknown,,low,still no website known
