name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Lincolnshire Golf Academy,,53.5284769,-0.6868361,no_site,unknown,,low,still no website known
Grimsby Golf Club,,53.559415,-0.126524,no_site,unknown,,low,still no website known
Holme Hall Golf Course,,53.5550806,-0.6162288,no_site,unknown,,low,still no website known
DoubleTree by Hilton Forest Pines Spa & Golf Resort,https://www.hilton.com/en/hotels/dsabfdi-doubletree-forest-pines-spa-and-golf-resort/,53.5531651,-0.568513,unknown,unknown,,low,site reachable (https://www.hilton.com/en/) but no visitor booking found on it or 0 sub-page(s)
Normanby Hall Golf Course,https://www.northlincs.gov.uk/leisure/other-leisure-activities/outdoor-sites/normanby-hall-golf-course/,53.6366262,-0.6452927,unknown,unknown,,low,site reachable (https://www.northlincs.gov.uk/leisure/other-leisure-activities/outdoor-sites/normanby-hall-golf-course/) but no visitor booking found on it or 0 sub-page(s)
Tetney Golf Club,,53.4888646,-0.031075,no_site,unknown,,low,still no website known
Cleethorpes Golf Club,,53.5410488,-0.0147492,no_site,unknown,,low,still no website known
Carholme Golf Club,,53.2368711,-0.5677458,no_site,unknown,,low,still no website known
Humberston Country Club Golf Course,https://www.virginactive.co.uk/clubs/humberston,53.5301717,-0.035623,dead_link,unknown,,low,site reachable (https://www.virginactive.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Cleethorpes Beach Golf Course,https://www.haven.com/parks/lincolnshire/cleethorpes-beach,53.5234646,0.0084074,unknown,unknown,,low,site reachable (https://www.haven.com/parks/lincolnshire/cleethorpes-beach) but no visitor booking found on it or 1 sub-page(s)
Millfield Golf Complex,https://www.millfieldgolfcomplex.co.uk/,53.2788618,-0.7587846,error,unknown,,low,unreachable even with a browser user agent
Louth Golf Club,,53.3589207,-0.0192847,no_site,unknown,,low,still no website known
Ashby Decoy Golf Club,,53.5617447,-0.689438,no_site,unknown,,low,still no website known
Boston West Golf Club,,52.9796985,-0.1179849,no_site,unknown,,low,still no website known
Kirton Holme Golf Club,,52.9588319,-0.1167323,no_site,unknown,,low,still no website known
South Kyme Golf Club,,53.0361002,-0.2382498,no_site,unknown,,low,still no website known
Spalding Golf Club,,52.8392666,-0.1148629,no_site,unknown,,low,still no website known
Willows Caravan Park Executive Course,https://www.donamottparks.com/willows-park.aspx,53.322882,0.20916,dead_link,unknown,,low,site reachable (https://www.donamottparks.com/) but no visitor booking found on it or 0 sub-page(s)
Grange Park,https://www.grangepark.com/index.php?display=golf,53.5250331,-0.6849664,error,unknown,,low,unreachable even with a browser user agent
Gainsborough Golf Club,https://www.gainsboroughgc.co.uk/,53.4146625,-0.7568008,error,unknown,,low,unreachable even with a browser user agent
Sleaford Golf Club,,52.9799385,-0.4676807,no_site,unknown,,low,still no website known
Martin Moor Golf Club,,53.1283619,-0.3667685,no_site,unknown,,low,still no website known
Lakeside Park,https://www.donamottparks.com/lakeside-park.aspx,53.441099,0.1630817,dead_link,unknown,,low,site reachable (https://www.donamottparks.com/) but no visitor booking found on it or 0 sub-page(s)
RAF Cranwell Golf Course,,53.0404927,-0.5076046,no_site,unknown,,low,still no website known
Woodthorpe Hall Golf Course,https://www.woodthorpeleisurepark.co.uk/leisure-activities/golf,53.2971247,0.15773,unknown,unknown,,low,site reachable (https://www.woodthorpeleisurepark.co.uk/404.html) but no visitor booking found on it or 0 sub-page(s)
Addlethorpe Golf Club,,53.1899645,0.3106513,no_site,unknown,,low,still no website known
Southview Leisure Park,https://www.park-resorts.com/holiday-parks/east-anglia/southview-leisure-park/,53.1634073,0.3071452,error,unknown,,low,unreachable even with a browser user agent
The Lincolnshire Golf Course,https://www.lincolnshiregolfcourse.co.uk/,53.5824995,-0.8268202,unknown,unknown,,low,site reachable (https://www.golfholidays.com/lincolnshire-golf-club/) but no visitor booking found on it or 0 sub-page(s)
Lincoln Golf Club,,53.3033189,-0.7333697,no_site,unknown,,low,still no website known
Waltham Windmill Golf Club,,53.5087825,-0.0841504,no_site,unknown,,low,still no website known
Immingham Golf Club,https://www.immgc.co.uk/,53.6223797,-0.2277532,error,unknown,,low,unreachable even with a browser user agent
Ropsley Golf Course,,52.8941407,-0.5327812,no_site,unknown,,low,still no website known
Bracken Hill Golf Course,,53.2040134,-0.4518421,no_site,unknown,,low,still no website known
Seacroft Golf Course,,53.1187148,0.3337361,no_site,unknown,,low,still no website known
Nettleton Park Golf Course,,53.4946007,-0.3590324,no_site,unknown,,low,still no website known
Hovenden House Golf Course,,52.8147507,0.0712016,no_site,unknown,,low,still no website known
Gedney Hill Golf Club,,52.6949199,-0.017649,no_site,unknown,,low,still no website known
Welton Manor Golf Centre,,53.3168311,-0.4847838,no_site,unknown,,low,still no website known
Lincoln Golf Centre,,53.180723,-0.6325158,no_site,unknown,,low,still no website known
Stoke Rochford Golf Club,,52.8446935,-0.6334519,no_site,unknown,,low,still no website known
Carwick Park Golf Club,,53.2176095,-0.5202144,no_site,unknown,,low,still no website known
RAF Woodhall Spa Golf Course,,53.1366883,-0.1948558,no_site,unknown,,low,still no website known
North Shore Pitch And Putt,,53.1561265,0.3419481,no_site,unknown,,low,still no website known
Kenwick Park Golf Club Ltd,,53.3397186,0.0268026,no_site,unknown,,low,still no website known
Belton Woods Hotel,https://www.devere-hotels.co.uk/hotel-lodges/locations/belton-woods/golf/introduction.html,52.9411645,-0.6374088,error,unknown,,low,unreachable even with a browser user agent
