name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Stockley Park Golf Club,,51.5135428,-0.4429594,no_site,unknown,,low,still no website known
Bush Hill Park Golf Club,,51.6462836,-0.0880528,no_site,unknown,,low,still no website known
Trent Park Golf Course,,51.6531621,-0.1316881,no_site,unknown,,low,still no website known
Enfield Golf Club,,51.6501458,-0.1028065,no_site,unknown,,low,still no website known
Hadley Wood Golf Course,,51.6615782,-0.1627983,no_site,unknown,,low,still no website known
South Hertfordshire Golf course,,51.6362423,-0.190479,no_site,unknown,,low,still no website known
Lee Valley Golf Course,https://www.visitleevalley.org.uk/en/content/cms/outdoors/golf/golf-courses-in-london/,51.6324466,-0.0341516,dead_link,unknown,,low,site reachable (https://www.visitleevalley.org.uk/) but no visitor booking found on it or 0 sub-page(s)
Stanmore Golf Club,,51.6077478,-0.3190764,no_site,unknown,,low,still no website known
Sudbury Golf Course,,51.5451536,-0.315196,no_site,unknown,,low,still no website known
Ealing Golf Course,,51.530265,-0.3172018,no_site,unknown,,low,still no website known
Airlinks Golf Course,,51.4920774,-0.3915032,no_site,unknown,,low,still no website known
Roehampton Club Golf Course,https://www.roehamptonclub.co.uk/,51.4589623,-0.2499627,unknown,unknown,,low,site reachable (https://www.roehamptonclub.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Wimbledon Park Golf Club,https://www.wpgc.co.uk/,51.4351283,-0.2085236,intelligent_golf,unknown,mailto:info@intelligentgolf.co.uk,medium,site reachable (https://www.intelligentgolf.co.uk/notfound) but no visitor booking found on it or 1 sub-page(s)
Highgate Golf Club,https://www.highgategc.co.uk/,51.5785493,-0.1634571,intelligent_golf,login_required,https://highgate.intelligentgolf.co.uk/visitorbooking/,high,club's own Intelligent Golf subdomain
Coombe Hill Golf Club,,51.4224141,-0.2616748,no_site,unknown,,low,still no website known
Royal Mid-Surrey Golf Club,,51.4690269,-0.3076576,no_site,unknown,,low,still no website known
Harrow Hill Golf Course,https://www.harrowhillgolfcourse.co.uk/,51.5773148,-0.3281059,error,unknown,,low,unreachable even with a browser user agent
Sidcup Golf Club,https://www.sidcupgolfclub.co.uk/,51.4407549,0.1096302,unknown,unknown,,low,site reachable (https://sidcupgolfclub.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Tudor Park Footgolf Course,,51.6567318,-0.1784785,no_site,unknown,,low,still no website known
Shooters Hill Golf Course,,51.471235,0.0778669,no_site,unknown,,low,still no website known
Shortlands Golf Club,https://www.shortlandsgolfclub.com/,51.4109201,0.0003061,unknown,unknown,,low,site reachable (https://shortlandsgolfclub.com/) but no visitor booking found on it or 2 sub-page(s)
Barnehurst Golf Course,https://www.mytimeactive.co.uk/golf/centres/barnehurst/default.aspx,51.4601385,0.1727634,gladstone,public,https://mytimeactive.gladstonego.cloud/book,high,found on https://www.mytimeactive.co.uk/
Harrow School Golf Course,https://www.harrowschool.org.uk/1541/outside-the-classroom/sport/,51.5690218,-0.3336431,dead_link,unknown,,low,site reachable (https://www.harrowschool.org.uk/) but no visitor booking found on it or 2 sub-page(s)
Royal Wimbledon Golf Course,,51.423006,-0.2406635,no_site,unknown,,low,still no website known
Chislehurst Golf Course,https://www.chislehurstgolfclub.co.uk/,51.413725,0.0629256,intelligent_golf,unknown,https://www.intelligentgolf.co.uk,medium,site reachable (https://www.chislehurstgolfclub.co.uk/) but no visitor booking found on it or 3 sub-page(s)
Hartsbourne Country Club,https://www.hartsbournecountryclub.co.uk/,51.6292564,-0.3553363,unknown,unknown,,low,site reachable (https://www.hartsbournecountryclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Haste Hill Golf Course,,51.5992397,-0.4240683,no_site,unknown,,low,still no website known
C & L Golf & Country Club,https://www.candlcountryclub.co.uk/,51.5459695,-0.4023914,error,unknown,,low,unreachable even with a browser user agent
Northolt Golf Course,,51.5375225,-0.379655,no_site,unknown,,low,still no website known
Oakhill 9 Hole Pitch and Putt,https://www.oakhillgolf.co.uk/,51.6374524,-0.1509139,unknown,unknown,,low,site reachable (https://www.oakhillgolf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Eltham Warren Golf Club,,51.4551627,0.0715997,no_site,unknown,,low,still no website known
Bigshots (Northwick Park),https://www.bigshotsgolfuk.com/,51.571677,-0.3198058,error,unknown,,low,unreachable even with a browser user agent
Championship Course,,51.341938,-0.0297388,no_site,unknown,,low,still no website known
Mill Hill Golf Course,,51.633143,-0.2601838,no_site,unknown,,low,still no website known
Coulsdon Manor & Golf Club,,51.3156531,-0.1220411,no_site,unknown,,low,still no website known
Cuddington Golf Course,https://www.cuddingtongc.co.uk/,51.3367549,-0.2209971,intelligent_golf,unknown,https://www.intelligentgolf.co.uk/,medium,site reachable (https://www.cuddingtongc.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Metro Golf Centre,https://metrogolfcentre.co.uk/,51.6055791,-0.2245025,unknown,unknown,,low,site reachable (https://justgolfnorthlondon.com/) but no visitor booking found on it or 0 sub-page(s)
David Lloyd Hampton,https://www.davidlloyd.co.uk/club-finder/hampton/golf,51.437079,-0.3656648,dead_link,unknown,,low,site reachable (https://www.davidlloyd.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Strawberry Hill Golf Club,,51.4365988,-0.343613,no_site,unknown,,low,still no website known
Chingford Golf Course,https://www.chingfordgolfclub.org.uk/,51.6380381,0.0074827,unknown,unknown,,low,site reachable (https://chingfordgolfclub.org.uk/) but no visitor booking found on it or 0 sub-page(s)
Cranham Golf Course,https://www.cranhamgolfcourse.co.uk/,51.5557637,0.282267,unknown,unknown,,low,site reachable (https://www.cranhamgolfcourse.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Hainault Forest Golf Club,https://www.hainaultgolfclub.co.uk/,51.6150622,0.1404781,intelligent_golf,public,https://hainault.intelligentgolf.co.uk/visitorbooking/,high,club's own Intelligent Golf subdomain
Aquarius Golf Club,,51.454989,-0.0529638,no_site,unknown,,low,still no website known
Dulwich and Sydenham Hill Golf Club,,51.4389354,-0.0738527,no_site,unknown,,low,still no website known
Northwood Golf Course,,51.6055967,-0.4281434,no_site,unknown,,low,still no website known
Rowley Lane Golf Course,,51.6495271,-0.247466,no_site,unknown,,low,still no website known
Hillingdon Golf Course,,51.5379074,-0.4646046,no_site,unknown,,low,still no website known
Grovelands' private golf course,,51.6264803,-0.1989253,no_site,unknown,,low,still no website known
Queens Park Pitch and Putt,,51.5366867,-0.2120379,no_site,unknown,,low,still no website known
Cranfield Golf Course,,51.5769437,0.1487923,no_site,unknown,,low,still no website known
Purley Downs Golf Club,,51.3355947,-0.095157,no_site,unknown,,low,still no website known
Horsenden Hill Activity Centre,,51.5469265,-0.3223811,no_site,unknown,,low,still no website known
Brent Valley Public Golf Course,,51.517354,-0.3470841,no_site,unknown,,low,still no website known
World of Golf,,51.4298767,0.0767976,no_site,unknown,,low,still no website known
Falconwood Course,,51.3474654,-0.0276313,no_site,unknown,,low,still no website known
Woodford Golf Club,,51.6165553,0.0171465,no_site,unknown,,low,still no website known
South Norwood Pitch and Putt,,51.3971387,-0.0599748,no_site,unknown,,low,still no website known
Morden Park golf course,,51.3914159,-0.2066775,no_site,unknown,,low,still no website known
Hounslow Golf Park,,51.4572978,-0.3939173,no_site,unknown,,low,still no website known
The Oaks - Acorn Course,,51.3421001,-0.1768206,no_site,unknown,,low,still no website known
The Oaks Horley Course,,51.3385455,-0.1770933,no_site,unknown,,low,still no website known
Oaks Sports Centre,https://theoaksgolf.co.uk/,51.3395795,-0.1766159,brs,public,https://visitors.brsgolf.com/oaks#/course/1,high,found on https://theoaksgolf.co.uk/
Crews Hill Golf Course,,51.6807448,-0.1098606,no_site,unknown,,low,still no website known
Wyke Green Golf Club,,51.491704,-0.3350143,no_site,unknown,,low,still no website known
Ruislip Golf Course,https://www.hillingdon.gov.uk/index.jsp?articleid=11141,51.5734219,-0.4415417,dead_link,unknown,,low,site reachable (https://pre.hillingdon.gov.uk/) but no visitor booking found on it or 0 sub-page(s)
Upminster Golf and Bowling Club,,51.5652022,0.2504003,no_site,unknown,,low,still no website known
West Middlesex Golf Course,,51.5137663,-0.3569882,no_site,unknown,,low,still no website known
