name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Brancepeth Castle Golf Club,https://www.brancepeth-castle-golf.co.uk/,54.7349971,-1.6492943,unknown,unknown,,low,site reachable (https://brancepeth-castle-golf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
High Throston Golf Course,,54.6978824,-1.2583461,no_site,unknown,,low,still no website known
Tynedale Golf Cub,https://www.tynedalegolfclub.co.uk/,54.9790779,-2.1070079,unknown,unknown,,low,site reachable (https://tynedalegolfclub.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Knotty Hill Golf Centre,https://www.knottyhill.com/,54.665189,-1.4664635,unknown,unknown,,low,site reachable (https://www.knottyhill.com/) but no visitor booking found on it or 0 sub-page(s)
Haggerston Castle Golf Course,https://haggerstongolf.co.uk/,55.6896432,-1.9212179,unknown,unknown,,low,site reachable (https://haggerstongolf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Middlesbrough Municipal Golf Course,https://teesvalley-ca.gov.uk/visit/things-to-see-and-do/activities/middlesbrough-municipal-golf-club/,54.5387101,-1.2296224,unknown,unknown,,low,site reachable (https://teesvalley-ca.gov.uk/visit/things-to-see-and-do/activities/middlesbrough-municipal-golf-club/) but no visitor booking found on it or 1 sub-page(s)
N1GOLF Centre Morpeth,https://morpethgolfcentre.com/,55.1389683,-1.7305045,unknown,unknown,,low,site reachable (https://justgolfmorpeth.com/) but no visitor booking found on it or 0 sub-page(s)
Ineos Golf Club,https://ineosgolfclub.webs.com/,54.600373,-1.5935996,error,unknown,,low,unreachable even with a browser user agent
Percy Wood Country Park,https://www.percywood.co.uk/,55.3227246,-1.752161,error,unknown,,low,unreachable even with a browser user agent
Barnard Castle Golf Course,https://www.barnardcastlegolfclub.org/,54.5572957,-1.9283921,dead_link,unknown,,low,site reachable (https://www.barnardcastlegolfclub.org/) but no visitor booking found on it or 0 sub-page(s)
Rockliffe Hall Golf Course,https://www.rockliffehall.com/golf/,54.4737123,-1.5348326,unknown,unknown,,low,site reachable (https://www.rockliffe.co.uk/golf/) but no visitor booking found on it or 3 sub-page(s)
Warkworth Golf Club,https://www.warkworthgolfclub.co.uk/,55.3567059,-1.6002578,error,unknown,,low,unreachable even with a browser user agent
Norton Golf Course,,54.5998933,-1.3375579,no_site,unknown,,low,still no website known
Roseberry Grange Golf Club,https://roseberrygrange.com/,54.8676169,-1.6339583,unknown,unknown,,low,site reachable (https://roseberrygrange.com/) but no visitor booking found on it or 0 sub-page(s)
Sharpley Golf Course,https://sharpleygolf.blogspot.co.at,54.847634,-1.4013715,unknown,unknown,,low,site reachable (https://sharpleygolf.blogspot.com/) but no visitor booking found on it or 2 sub-page(s)
Bamburgh Castle Golf Club,https://www.bamburghcastlegolfclub.co.uk/,55.6119863,-1.7369533,clubv1,unknown,https://bamburghcastle.hub.clubv1.com/,medium,site reachable (https://www.bamburghcastlegolfclub.co.uk/) but no visitor booking found on it or 3 sub-page(s)
Burgham Park Golf Club,https://www.burghampark.co.uk/,55.2654002,-1.7337671,unknown,unknown,,low,site reachable (https://prat.uk/burgham-park-golf-club/) but no visitor booking found on it or 1 sub-page(s)
Cocken Lodge Golf Course,https://cockenlodgegolf.my.canva.site/cocken-website,54.818853,-1.5293034,unknown,unknown,,low,site reachable (https://cockenlodgegolf.my.canva.site/cocken-website) but no visitor booking found on it or 0 sub-page(s)
Haltwhistle Golf Club,https://www.haltwhistlegolfclub.co.uk/,54.9839311,-2.5402772,brs,public,https://visitors.brsgolf.com/haltwhistle#/course/1,high,found on https://www.haltwhistlegolfclub.co.uk/
Wooler Golf Club,https://woolergolfclub.co.uk/,55.5845963,-1.9938241,brs,public,https://visitors.brsgolf.com/wooler#/course/1,high,found on http://woolergolfclub.co.uk/
Oakleaf Golf Complex,https://www.great-aycliffe.gov.uk/oakleafgolfcomplex/home/,54.6121449,-1.5975567,unknown,unknown,,low,site reachable (https://www.great-aycliffe.gov.uk/oakleafgolfcomplex/home/) but no visitor booking found on it or 1 sub-page(s)
Belford Golf Club,,55.5996412,-1.8207473,no_site,unknown,,low,still no website known
Beamish Park Golf Club,https://www.beamish-park-hotel.co.uk/golf/,54.9012187,-1.6755156,unknown,unknown,,low,site reachable (https://www.beamish-park-hotel.co.uk/golf/) but no visitor booking found on it or 1 sub-page(s)
The Hobson Golf Club,https://www.thehobsongolfclub.co.uk/,54.8994124,-1.7228154,error,unknown,,low,unreachable even with a browser user agent
South Moor Golf Club,https://www.southmoorgc.co.uk/,54.8528697,-1.6896478,brs,public,https://visitors.brsgolf.com/southmoor#/open-competitions,high,found on https://www.southmoorgc.co.uk/visitors/opens/
Hall Garth Hotel golf course,,54.5759816,-1.551169,no_site,unknown,,low,still no website known
