name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Golfbox,,51.4520357,-2.5891742,no_site,unknown,,low,still no website known
The Mendip Golf Club,,51.2216143,-2.5517167,no_site,unknown,,low,still no website known
Fosseway Golf Club,,51.2747641,-2.4695421,no_site,unknown,,low,still no website known
Ashton Court Golf Course,,51.4500829,-2.6478541,no_site,unknown,,low,still no website known
Oake Manor Golf Course,,51.0187151,-3.2104492,no_site,unknown,,low,still no website known
Minehead & West Somerset Golf Club,,51.2040178,-3.4462923,no_site,unknown,,low,still no website known
Vivary Golf Course,,51.0070828,-3.1006282,no_site,unknown,,low,still no website known
Wincanton Racecourse Golf,,51.0675993,-2.4199589,no_site,unknown,,low,still no website known
Weston-super-Mare Golf Club,,51.3264404,-2.9855605,no_site,unknown,,low,still no website known
Isle of Wedmore Golf Course,,51.2372593,-2.8138999,no_site,unknown,,low,still no website known
Enmore Park Golf Club,,51.1147224,-3.0784976,no_site,unknown,,low,still no website known
Stockwood Vale Golf Club,https://www.stockwoodvale.com/pages.php/index.html,51.411629,-2.5260397,esp,unknown,https://www.e-s-p.com/elitelive?clubid=1574&,medium,site reachable (https://www.stockwoodvale.com/) but no visitor booking found on it or 5 sub-page(s)
Filton Golf Course,,51.5113848,-2.589466,no_site,unknown,,low,still no website known
Shirehampton Park Golf Club,https://www.shirehamptonparkgolfclub.co.uk/live/index2.php?ts=1521727828467,51.489262,-2.6607673,dead_link,unknown,,low,site reachable (https://spgc.shirehamptonparkgolfclub.co.uk) but no visitor booking found on it or 0 sub-page(s)
Farrington Park Golf & Country Club,https://farringtonpark.co.uk/,51.2886855,-2.5312032,unknown,unknown,,low,site reachable (https://www.madswans.com/) but no visitor booking found on it or 2 sub-page(s)
Long Sutton Golf Club,,51.0173731,-2.7533908,no_site,unknown,,low,still no website known
Cannington Golf Centre,https://www.canningtongolfcentre.co.uk/,51.1548301,-3.0552942,error,unknown,,low,unreachable even with a browser user agent
Bleadon Hill Golf Course,https://www.bleadonhillgolfcourse.co.uk/,51.3164822,-2.9430861,unknown,unknown,,low,site reachable (https://www.bleadonhillgolfcourse.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Swingrite Golf Centre,https://www.swingrite.co.uk/,51.0076833,-3.0582088,unknown,unknown,,low,site reachable (https://swingrite.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Wheathill Golf Club,,51.0723426,-2.5928029,no_site,unknown,,low,still no website known
Cricket St Thomas Golf Course,,50.8831904,-2.8987236,no_site,unknown,,low,still no website known
Burnham & Berrow Golf Club,https://burnhamandberrowgolfclub.co.uk/,51.263146,-3.0100968,intelligent_golf,public,https://burnham.intelligentgolf.co.uk/visitorbooking/,high,club's own Intelligent Golf subdomain
Woodspring Golf & Country Club,,51.4169571,-2.6498208,no_site,unknown,,low,still no website known
Henbury Golf Club,,51.4980817,-2.6298448,no_site,unknown,,low,still no website known
Clevedon Golf Centre,https://www.clevedongolfcentre.co.uk/,51.4251209,-2.8746285,unknown,unknown,,low,site reachable (https://www.clevedongolfcentre.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Shirehampton Park Golf Club,https://spgc.shirehamptonparkgolfclub.co.uk,,,unknown,unknown,,low,site reachable (https://spgc.shirehamptonparkgolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
