name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Birley Wood Golf Club,,53.3384857,-1.3986682,no_site,unknown,,low,still no website known
Dore and Totley Golf Club,,53.3143806,-1.4938601,no_site,unknown,,low,still no website known
Concord Park Golf Club,,53.4274778,-1.4321684,no_site,unknown,,low,still no website known
Rotherham Golf Club,,53.4608716,-1.2959694,no_site,unknown,,low,still no website known
Sitwell Park Golf Course,,53.4118059,-1.3032655,no_site,unknown,,low,still no website known
Tankersley Park Golf Course,,53.4835525,-1.4745116,no_site,unknown,,low,still no website known
Hickleton Golf Club,,53.5465612,-1.2783217,no_site,unknown,,low,still no website known
Sandhill Golf Course,,53.5459469,-1.3538581,no_site,unknown,,low,still no website known
Beauchief Golf Club,https://www.sheffieldgolf.co.uk/beauchief/,53.3324652,-1.5014748,unknown,unknown,,low,site reachable (https://sheffieldgolf.co.uk/404) but no visitor booking found on it or 0 sub-page(s)
18 hole Blue Monster Course,,53.3375505,-1.3075722,no_site,unknown,,low,still no website known
Hallamshire Golf Club,,53.3751634,-1.5520833,no_site,unknown,,low,still no website known
Hillies Golf Club,,53.514241,-1.4015118,no_site,unknown,,low,still no website known
Waterfront Golf,,53.5126676,-1.3428421,no_site,unknown,,low,still no website known
Roundwood Golf Club,https://www.roundwoodgolfclub.co.uk/,53.455733,-1.3320307,unknown,unknown,,low,site reachable (https://www.roundwoodgolfclub.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Wheatley Golf Course,,53.5389292,-1.0824448,no_site,unknown,,low,still no website known
Silkstone Golf Course,,53.5513298,-1.5426431,no_site,unknown,,low,still no website known
High Melton Golf Course,,53.5079035,-1.2352201,no_site,unknown,,low,still no website known
Crookhill Park Golf Course,https://www.crookhillgolfcourse.co.uk/,53.4701489,-1.2119802,unknown,unknown,,low,site reachable (https://crookhillgolfcourse.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Thornhurst Manor Golf Course,https://www.thornhurstmanor.co.uk/golf-club.html,53.585736,-1.1448,dead_link,unknown,,low,site reachable (https://thornhurstmanor.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Bawtry Golf & Country Club,https://www.bawtrygolfclub.co.uk/,53.4578216,-0.992817,unknown,unknown,,low,site reachable (https://www.bawtrygolfclub.co.uk/) but no visitor booking found on it or 3 sub-page(s)
Doncaster Golf Club,,53.4898743,-1.064813,no_site,unknown,,low,still no website known
Owston Park Golf Course,,53.5920984,-1.166726,no_site,unknown,,low,still no website known
Styrrup Hall Golf & Country Club,https://www.styrrupgolf.co.uk/,53.4151284,-1.0915498,error,unknown,,low,unreachable even with a browser user agent
