name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Goin' Golf,,52.9961323,-2.150529,no_site,unknown,,low,still no website known
Aston Wood Golf Club,,52.6081126,-1.8535774,no_site,unknown,,low,still no website known
Whiston Golf Club,,53.0220063,-1.9361921,no_site,unknown,,low,still no website known
Wychnor Park Country Club,https://www.diamondresorts.com/Wychnor-Park-Country-Club,52.7480326,-1.7574355,error,unknown,,low,unreachable even with a browser user agent
Beacon Park Golf Course,,52.6857796,-1.84111,no_site,unknown,,low,still no website known
Aqualate Golf Centre,https://www.aqualategolf.co.uk/,52.767937,-2.3542656,unknown,unknown,,low,site reachable (https://www.aqualategolf.co.uk/) but no visitor booking found on it or 3 sub-page(s)
Wolstanton Golf Club,,53.031074,-2.2337383,no_site,unknown,,low,still no website known
Newcastle Golf Club,,52.9971264,-2.2476252,no_site,unknown,,low,still no website known
Uttoxeter Golf Course,,52.8876714,-1.8433867,no_site,unknown,,low,still no website known
Essington Golf Course,,52.633798,-2.03811,no_site,unknown,,low,still no website known
Denstone College Golf Club,https://www.denstonecollege.org/golf,52.9581869,-1.8701109,unknown,unknown,,low,site reachable (https://www.denstonecollege.org/golf) but no visitor booking found on it or 1 sub-page(s)
Ingestre Park Golf Club,,52.8148699,-2.0341286,no_site,unknown,,low,still no website known
The Chase Golf Club,,52.7238174,-2.050912,no_site,unknown,,low,still no website known
Leek Golf Club,,53.0888687,-2.0247868,no_site,unknown,,low,still no website known
Onneley Golf Club,,52.9892881,-2.3637143,no_site,unknown,,low,still no website known
Himley Hall Golf Centre/Club,https://www.himleyhallgolfclub.com/,52.5236118,-2.1592388,error,unknown,,low,unreachable even with a browser user agent
Stafford Castle Golf Club,,52.8006099,-2.1363978,no_site,unknown,,low,still no website known
Brocton Hall Golf Club,,52.7761699,-2.0551429,no_site,unknown,,low,still no website known
Westwood Golf Club,,53.0965949,-2.0473542,no_site,unknown,,low,still no website known
Lichfield Golf & Country Club,,52.7170718,-1.8562379,no_site,unknown,,low,still no website known
Swindon Golf Club,https://www.swindongolfclub.co.uk/,52.5234655,-2.2353635,intelligent_golf,unknown,mailto:info@intelligentgolf.co.uk,medium,site reachable (https://www.intelligentgolf.co.uk/notfound) but no visitor booking found on it or 1 sub-page(s)
Hawkesyard Golf Course,,52.7422838,-1.9024258,no_site,unknown,,low,still no website known
The Mark Butler Golf Academy (Sedgley Golf Centre),https://www.themarkbutlergolfacademy.co.uk/,52.5307407,-2.1366225,error,unknown,,low,unreachable even with a browser user agent
Greenfield Golf Club,https://greenfieldgolf.co.uk/,52.6359943,-2.1156344,unknown,unknown,,low,site reachable (https://www.greenfieldgolf.co.uk/) but no visitor booking found on it or 1 sub-page(s)
The Range Woodfarm,,52.6321501,-2.0305626,no_site,unknown,,low,still no website known
Trentham Park Golf Course,,52.9690301,-2.215534,no_site,unknown,,low,still no website known
Branston Golf & Country Club,https://branstonclub.co.uk/,52.7848451,-1.6494148,esp,public,https://www.e-s-p.com/elitelive/book_start.php?clubid=1968,high,found on https://branstonclub.co.uk/golf/visitor-fees/
Burslem Golf Course,,53.062588,-2.1861786,no_site,unknown,,low,still no website known
Ledene Golf Centre,https://www.ledenegolf.co.uk/,52.639131,-2.2271728,unknown,unknown,,low,site reachable (https://www.ledenegolf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Belmont Golf Club,https://www.belmontgolf.co.uk/,52.8290554,-1.712591,unknown,unknown,,low,site reachable (https://buydomainnames.co.uk/domain/belmontgolf.co.uk?offer=parked) but no visitor booking found on it or 0 sub-page(s)
Cannock Park Golf Course,https://www.wlct.org/cannock/golf/,52.6974089,-2.0402482,error,unknown,,low,unreachable even with a browser user agent
Barlaston Golf Club,,52.9332304,-2.1773608,no_site,unknown,,low,still no website known
Greenway Hall Golf Club,,53.057861,-2.1205446,no_site,unknown,,low,still no website known
The Manor Golf Club Ltd,,52.8666012,-1.9332326,no_site,unknown,,low,still no website known
Trentham Golf Club,,52.9603547,-2.1878626,no_site,unknown,,low,still no website known
Beau Desert Golf Club,,52.7187336,-1.9719475,no_site,unknown,,low,still no website known
Enville Golf Club,https://www.envillegolfclub.com/,52.4964847,-2.2331825,unknown,unknown,,low,site reachable (https://www.envillegolfclub.com/) but no visitor booking found on it or 0 sub-page(s)
Three Hammers Golf Complex,https://www.3hammers.co.uk/,52.6505998,-2.1276866,unknown,unknown,,low,site reachable (https://3hammers.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Darnford Moors Golf Course,https://www.darnfordmoors.com/,52.6764051,-1.7939813,unknown,unknown,,low,site reachable (https://www.darnfordmoors.com/) but no visitor booking found on it or 0 sub-page(s)
"Patshull Park Hotel, Golf & Country Club",https://www.patshull-park.co.uk/golf.aspx,52.6011761,-2.293767,unknown,unknown,,low,site reachable (https://www.patshull-park.co.uk/golf.aspx) but no visitor booking found on it or 0 sub-page(s)
Aqualate Golf Centre,https://www.aqualategolf.co.uk/,52.767937,-2.3542656,unknown,unknown,,low,site reachable (https://www.aqualategolf.co.uk/) but no visitor booking found on it or 3 sub-page(s)
"Patshull Park Hotel, Golf & Country Club",https://www.patshull-park.co.uk/golf.aspx,52.6011761,-2.293767,unknown,unknown,,low,site reachable (https://www.patshull-park.co.uk/golf.aspx) but no visitor booking found on it or 0 sub-page(s)
