name,official_site,lat,lon,platform,access,evidence_url,confidence,note
The Belfry Golf Course,,52.5579486,-1.7354297,no_site,unknown,,low,still no website known
Unique Indoor Golf,https://www.uniqueindoorgolf.co.uk/,52.5827081,-1.5536484,unknown,unknown,,low,site reachable (https://uniqueindoorgolf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
The Belfry,https://www.thebelfry.co.uk,52.5620421,-1.7353058,unknown,unknown,,low,site reachable (https://www.thebelfry.com/) but no visitor booking found on it or 0 sub-page(s)
Rugby Golf Club,,52.3749284,-1.2318057,no_site,unknown,,low,still no website known
Maxstoke Park Golf Course,,52.49737,-1.6715177,no_site,unknown,,low,still no website known
Purley Chase Golf Course,,52.5479821,-1.5521517,no_site,unknown,,low,still no website known
Ansty Golf Centre,,52.4496841,-1.4021544,no_site,unknown,,low,still no website known
Brandon Wood Golf Club,,52.3750962,-1.421769,no_site,unknown,,low,still no website known
Warwickshire Golf and Country Club,,52.3131975,-1.5864405,no_site,unknown,,low,still no website known
Atherstone Golf Club,,52.564369,-1.5534587,no_site,unknown,,low,still no website known
Coventry Golf Club,,52.3672416,-1.5064511,no_site,unknown,,low,still no website known
Forest of Arden Country Club,https://www.marriott.co.uk/hotels/travel/cvtgs-forest-of-arden-marriott-hotel-and-country-club/,52.4639219,-1.663295,unknown,unknown,,low,site reachable (https://www.marriott.com/en-gb/default.mi) but no visitor booking found on it or 1 sub-page(s)
The Welcombe Golf Club,,52.2049957,-1.6911106,no_site,unknown,,low,still no website known
Bidford Grange Golf Course,,52.1660016,-1.8338829,no_site,unknown,,low,still no website known
Whitefields Golf Course,,52.3348268,-1.3309899,no_site,unknown,,low,still no website known
Leam Valley Golf Centre,,52.3150546,-1.3126106,no_site,unknown,,low,still no website known
Feldon Valley Golf Club,https://www.feldonvalleygolf.co.uk/,52.0384144,-1.5524568,error,unknown,,low,unreachable even with a browser user agent
Ladbrook Park Golf Club,https://www.ladbrookparkgolf.co.uk/,52.3456053,-1.8540737,unknown,unknown,,low,site reachable (https://www.ladbrookparkgolf.co.uk/) but no visitor booking found on it or 5 sub-page(s)
Stratford on Avon Golf Club,,52.1942887,-1.684006,no_site,unknown,,low,still no website known
Nuneaton Golf Club,,52.5065022,-1.4185264,no_site,unknown,,low,still no website known
Stratford Oaks Golf Course,,52.2452314,-1.715971,no_site,unknown,,low,still no website known
Ingon Manor Golf & Country Club,https://www.ingonmanor.co.uk/,52.2177872,-1.692971,unknown,unknown,,low,site reachable (https://www.ingonmanor.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Warwick Golf Centre,,52.2828533,-1.6009945,no_site,unknown,,low,still no website known
"Ardencote Manor Hotel, Country Club & Spa",https://ardencote.com/,52.2888107,-1.7050914,unknown,unknown,,low,site reachable (https://hiddenwell.com/welcome) but no visitor booking found on it or 0 sub-page(s)
Golf Range,,52.4868471,-1.3892683,no_site,unknown,,low,still no website known
Leamington and County Golf Club,,52.2569342,-1.5203282,no_site,unknown,,low,still no website known
Bramcote Waters Golf Course,https://www.bramcotewatersgolfclub.co.uk/,52.4930211,-1.3924478,unknown,unknown,,low,site reachable (https://bramcotewatersgolfclub.co.uk/) but no visitor booking found on it or 1 sub-page(s)
