name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Brampton Park Golf Club,https://www.bramptonparkgc.co.uk/,52.3185716,-0.2129145,clubv1,unknown,https://default.hub.clubv1.com/,medium,site reachable (https://bramptonparkgc.co.uk/) but no visitor booking found on it or 5 sub-page(s)
The Old Nene Golf & Country Club,https://www.theoldnene.co.uk,52.4686294,-0.1050438,brs,public,https://visitors.brsgolf.com/oldnene#/course/1,high,found on https://theoldnene.co.uk/green-fees/
Farthingstone Hotel and Golf,https://www.farthingstone.co.uk/,52.1904426,-1.1229124,brs,unknown,https://www.brsgolf.com/farthingstone/visitor_home.php,medium,site reachable (https://www.farthingstone.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Ufford Park Golf Course,https://www.uffordpark.co.uk/,52.1155947,1.345616,brs,unknown,https://www.brsgolf.com/uffordpark/visitor_menu.php,medium,site reachable (https://lqresorts.co.uk/ufford-park/) but no visitor booking found on it or 2 sub-page(s)
Newton Green Golf Course,https://www.newtongreengolfclub.co.uk/,52.0323313,0.7882695,brs,public,https://visitors.brsgolf.com/newtongreen#/course/1,high,found on https://www.newtongreengolfclub.co.uk/booking
Bungay & Waveney Valley Golf Club,https://www.club-noticeboard.co.uk/bungay/,52.4617997,1.4229943,brs,unknown,http://www.brsgolf.com/bungaywaveney/members_home.php,medium,site reachable (https://www.club-noticeboard.co.uk/bungay/) but no visitor booking found on it or 0 sub-page(s)
Swaffham Golf Club,https://www.club-noticeboard.co.uk/swaffham/,52.6308879,0.6648618,brs,unknown,http://www.brsgolf.com/swaffham/members_home.php,medium,site reachable (https://www.club-noticeboard.co.uk/swaffham/) but no visitor booking found on it or 2 sub-page(s)
Barnham Broom,https://www.barnham-broom.co.uk/golf,52.6345345,1.0944395,clubv1,public,https://barnham.hub.clubv1.com/Visitors/Booking,high,found on https://barnham-broom.co.uk/golf/
Hamptworth Golf & Country Club,https://www.hamptworthgolf.co.uk,50.9815985,-1.6634686,intelligent_golf,public,https://hamptworth.intelligentgolf.co.uk/visitorbooking/,high,found on https://www.hamptworthgolf.co.uk/
Stockwood Vale Golf Club,https://www.stockwoodvale.com/pages.php/index.html,51.411629,-2.5260397,esp,unknown,https://www.e-s-p.com/elitelive?clubid=1574&,medium,site reachable (https://www.stockwoodvale.com/) but no visitor booking found on it or 5 sub-page(s)
Burnham & Berrow Golf Club,https://burnhamandberrowgolfclub.co.uk/,51.263146,-3.0100968,intelligent_golf,public,https://burnham.intelligentgolf.co.uk/visitorbooking/,high,club's own Intelligent Golf subdomain
Kendleshire Golf Club,https://www.golf.kendleshire.com/,51.5118633,-2.4770237,intelligent_golf,login_required,https://kendleshire.intelligentgolf.co.uk/visitorbooking/,high,club's own Intelligent Golf subdomain
Hatchford Brook Golf Course,https://www.mytimeactive.co.uk/golf/centres/hatchford-brook/default.aspx,52.456996,-1.7606959,gladstone,public,https://mytimeactive.gladstonego.cloud/book,high,found on https://www.mytimeactive.co.uk/
Hilltop Golf Course (Birmingham City Council),https://www.mytimeactive.co.uk/golf/centres/hilltop/default.aspx,52.5254562,-1.9557947,gladstone,public,https://mytimeactive.gladstonego.cloud/book,high,found on https://www.mytimeactive.co.uk/
