name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Warden Hills Course,,51.9227355,-0.419625,no_site,unknown,,low,still no website known
Galley Hills Course,,51.9299852,-0.4146655,no_site,unknown,,low,still no website known
Beadlow Manor,,52.0262872,-0.3814267,no_site,unknown,,low,still no website known
Colworth Golf Club,https://www.sharnbrookgolfclub.co.uk/,52.2261137,-0.570715,unknown,unknown,,low,site reachable (https://sharnbrookgolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Whipsnade Park Golf Club,,51.8375034,-0.5417199,no_site,unknown,,low,still no website known
Pavenham Park Golf Club,https://www.pavenhampark.com,52.1945054,-0.5439103,unknown,unknown,,low,site reachable (https://www.pavenhampark.com/) but no visitor booking found on it or 0 sub-page(s)
Caddington Golf Club,,51.8795729,-0.473474,no_site,unknown,,low,still no website known
Wyboston Lakes Golf Course,https://www.wybostonlakesgolfclub.co.uk,52.2034556,-0.2818353,unknown,unknown,,low,site reachable (https://www.wybostonlakesgolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Stockwood Park Golf Centre,https://www.stockwoodparkgolfclub,51.8614537,-0.4250147,error,unknown,,low,unreachable even with a browser user agent
Luton Hoo Golf Course,https://www.lutonhoo.co.uk/luton-hoo-golf-course,51.8548601,-0.4058304,unknown,unknown,,low,site reachable (https://www.lutonhoo.co.uk/) but no visitor booking found on it or 2 sub-page(s)
Abbotsley Golf Hotel,https://www.abbotsley.com/,52.1963068,-0.2396806,unknown,unknown,,low,site reachable (https://www.abbotsley.com/) but no visitor booking found on it or 0 sub-page(s)
Chalgrave Manor Golf Club,https://www.chalgravegolf.co.uk,,,unknown,unknown,,low,site reachable (https://chalgravegolf.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Henlow Golf Club,https://www.henlowgolfclub.com,,,unknown,unknown,,low,site reachable (https://henlowgolfclub.com/) but no visitor booking found on it or 1 sub-page(s)
Sharnbrook Golf Club,https://www.sharnbrookgolfclub.co.uk,,,unknown,unknown,,low,site reachable (https://sharnbrookgolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Girton Golf Club,,52.2477832,0.0721862,no_site,unknown,,low,still no website known
Brampton Park Golf Club,https://www.bramptonparkgc.co.uk/,52.3185716,-0.2129145,clubv1,unknown,https://default.hub.clubv1.com/,medium,site reachable (https://bramptonparkgc.co.uk/) but no visitor booking found on it or 5 sub-page(s)
Brampton Park Golf  Club,https://www.bramptonparkgc.co.uk/,52.312614,-0.2199288,clubv1,unknown,https://default.hub.clubv1.com/,medium,site reachable (https://bramptonparkgc.co.uk/) but no visitor booking found on it or 5 sub-page(s)
Heydon Grange Golf & Country Club,https://www.heydongrangegolf.co.uk/,52.0633525,0.0681012,unknown,unknown,,low,site reachable (https://www.heydongrangegolf.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Tydd St Giles Golf Course,https://www.pureleisuregroup.com/parks/tydd-st-giles/golf,52.7319308,0.1224916,error,unknown,,low,unreachable even with a browser user agent
Kawartha Golf & Country Club,,44.2860405,-78.3575676,no_site,unknown,,low,still no website known
Peterborough Golf & Country Club,,44.3317522,-78.3034576,no_site,unknown,,low,still no website known
Liftlock Golf Club,,44.3081059,-78.2980086,no_site,unknown,,low,still no website known
St Neots Golf Club,https://www.stneotsgolfclub.co.uk/,52.2389635,-0.2750225,error,unknown,,low,unreachable even with a browser user agent
Whaddon Golf Centre,,52.09861,-0.0291082,no_site,unknown,,low,still no website known
Stilton Oaks Golf Course,,52.4825365,-0.2964624,no_site,unknown,,low,still no website known
Ely On Par Golf Club,https://elydrivingrange.co.uk,52.411499,0.2473687,unknown,unknown,,low,site reachable (https://elydrivingrange.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Priory Golf & Activity Centre,,52.5208846,0.0858867,no_site,unknown,,low,still no website known
Meridian Golf hole #1,,52.178033,-0.0013649,no_site,unknown,,low,still no website known
Abbotsley Golf Hotel,https://www.abbotsley.com/,52.1963068,-0.2396806,unknown,unknown,,low,site reachable (https://www.abbotsley.com/) but no visitor booking found on it or 0 sub-page(s)
The Old Nene Golf & Country Club,https://www.theoldnene.co.uk,52.4686294,-0.1050438,brs,public,https://visitors.brsgolf.com/oldnene#/course/1,high,found on https://theoldnene.co.uk/green-fees/
Market Harborough Golf Club,,52.4565437,-0.9246459,no_site,unknown,,low,still no website known
Farthingstone Hotel and Golf,https://www.farthingstone.co.uk/,52.1904426,-1.1229124,brs,unknown,https://www.brsgolf.com/farthingstone/visitor_home.php,medium,site reachable (https://www.farthingstone.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Cold Ashby Golf Club,https://www.coldashbygolfclub.com/,52.3771555,-1.0645898,error,unknown,,low,unreachable even with a browser user agent
Delapre Golf Centre,https://delapregolfcentre.co.uk/,52.2206646,-0.8873606,unknown,unknown,,low,site reachable (https://delapregolfcentre.co.uk:443/login_up.php) but no visitor booking found on it or 0 sub-page(s)
Rushden Golf Range,https://www.rushdengolfrange.co.uk/,52.2732297,-0.583151,error,unknown,,low,unreachable even with a browser user agent
