name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Boldmere Golf Course,,52.55675,-1.8557212,no_site,unknown,,low,still no website known
Pype Hayes Golf Course,,52.5324607,-1.8062029,no_site,unknown,,low,still no website known
Moor Hall Golf Course,,52.5798123,-1.8134488,no_site,unknown,,low,still no website known
Sutton Coldfield Golf Club,,52.575814,-1.8687201,no_site,unknown,,low,still no website known
Robin Hood Golf Course,,52.4254728,-1.8201799,no_site,unknown,,low,still no website known
Hatchford Brook Golf Course,https://www.mytimeactive.co.uk/golf/centres/hatchford-brook/default.aspx,52.456996,-1.7606959,gladstone,public,https://mytimeactive.gladstonego.cloud/book,high,found on https://www.mytimeactive.co.uk/
Moseley Golf Course,,52.4347583,-1.8776556,no_site,unknown,,low,still no website known
Olton Golf Course,,52.4289575,-1.7869496,no_site,unknown,,low,still no website known
Cocks Moors Woods golf course (Birmingham City Council),,52.4169044,-1.8827506,no_site,unknown,,low,still no website known
Hollywood Golf Club,https://www.hollywoodgolfclub.co.uk/,52.3967467,-1.8757673,error,unknown,,low,unreachable even with a browser user agent
Hilltop Golf Course (Birmingham City Council),https://www.mytimeactive.co.uk/golf/centres/hilltop/default.aspx,52.5254562,-1.9557947,gladstone,public,https://mytimeactive.gladstonego.cloud/book,high,found on https://www.mytimeactive.co.uk/
Sandwell Park Golf Club,,52.5156356,-1.9672523,no_site,unknown,,low,still no website known
Harborne Church Farm 9 Hole Golf Course,,52.4517679,-1.9639524,no_site,unknown,,low,still no website known
Harborne Golf Club,,52.4514147,-1.9714447,no_site,unknown,,low,still no website known
Widney Manor Golf Course,,52.3905748,-1.7798055,no_site,unknown,,low,still no website known
Golfbug Wast Hills,,52.3932366,-1.9490415,no_site,unknown,,low,still no website known
War Memorial Park 'FootGolf' Course,,52.3896266,-1.5232805,no_site,unknown,,low,still no website known
Oxley Park Golf Club,,52.6104052,-2.1388057,no_site,unknown,,low,still no website known
Bloxwich Golf Course,,52.6333001,-1.9983651,no_site,unknown,,low,still no website known
18-hole pitch and putt course,,52.4086601,-1.7882825,no_site,unknown,,low,still no website known
Dartmouth Golf Club,,52.5319851,-1.9771127,no_site,unknown,,low,still no website known
Rowley Regis Golf Course,,52.4884356,-2.0465374,no_site,unknown,,low,still no website known
Wishaw Golf Club,,52.5450024,-1.7718627,no_site,unknown,,low,still no website known
Edgbaston Golf Course,,52.4557746,-1.9184511,no_site,unknown,,low,still no website known
Windmill Village Golf Course,,52.4252966,-1.5799635,no_site,unknown,,low,still no website known
Allesley Park Golf Course,,52.4192055,-1.5559907,no_site,unknown,,low,still no website known
Copsewood Grange Golf Course,,52.400431,-1.4593023,no_site,unknown,,low,still no website known
Hearsall Golf Club,,52.3929612,-1.5403352,no_site,unknown,,low,still no website known
Four Ashes Golf Centre,https://fourashesgolfcentre.co.uk/,52.3770243,-1.7735711,unknown,unknown,,low,site reachable (https://fourashesgolfcentre.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Warley Woods Golf Course,,52.4721389,-1.9848167,no_site,unknown,,low,still no website known
North Warwickshire Golf Course,,52.433032,-1.6643503,no_site,unknown,,low,still no website known
John Reay Golf Centre,https://www.johnreaygolf.com/,52.4451953,-1.5382384,unknown,unknown,,low,site reachable (https://www.johnreaygolf.com/) but no visitor booking found on it or 0 sub-page(s)
The Mark Butler Golf Academy (Sedgley Golf Centre),https://www.themarkbutlergolfacademy.co.uk/,52.5307407,-2.1366225,error,unknown,,low,unreachable even with a browser user agent
Greenfield Golf Club,https://greenfieldgolf.co.uk/,52.6359943,-2.1156344,unknown,unknown,,low,site reachable (https://www.greenfieldgolf.co.uk/) but no visitor booking found on it or 1 sub-page(s)
Walmley Golf Club,,52.5417915,-1.8146081,no_site,unknown,,low,still no website known
Tidbury Green Golf Course,,52.3859699,-1.855513,no_site,unknown,,low,still no website known
