name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Baildon Golf Club,,53.8556629,-1.7684536,no_site,unknown,,low,still no website known
Normanton Golf Club,,53.703461,-1.4866961,no_site,unknown,,low,still no website known
Barnsley Golf Club,https://www.barnsleygolfclub.co.uk/,53.5966302,-1.4923903,unknown,unknown,,low,site reachable (https://barnsleygolfclub.co.uk/) but no visitor booking found on it or 5 sub-page(s)
Wakefield Golf Club,,53.6425977,-1.4852139,no_site,unknown,,low,still no website known
Oulton Park Golf Course,,53.7452014,-1.4616925,no_site,unknown,,low,still no website known
Low Laithes Golf Course,,53.6890912,-1.5469038,no_site,unknown,,low,still no website known
Whitwood Golf Club,,53.7201517,-1.3910735,no_site,unknown,,low,still no website known
Roundhay Golf Club,https://www.roundhaygc.co.uk/,53.8443187,-1.4961575,error,unknown,,low,unreachable even with a browser user agent
Gotts Park Golf Course,https://gottsparkgolfclub.co.uk/,53.8048374,-1.5995093,unknown,unknown,,low,site reachable (https://gottsparkgolfclub.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Outlane Golf Club,,53.6538712,-1.8651303,no_site,unknown,,low,still no website known
Dewsbury Golf Course,,53.6644512,-1.6689979,no_site,unknown,,low,still no website known
Moortown Golf Club,,53.8568638,-1.5426975,no_site,unknown,,low,still no website known
Woolley Park Golf Course,,53.6152464,-1.5050242,no_site,unknown,,low,still no website known
Calverley Golf & Country Club,https://www.calverleygolf.co.uk/,53.8119909,-1.6971605,error,unknown,,low,unreachable even with a browser user agent
Clayton Golf Club,https://www.claytongolfclub.co.uk/,53.7788412,-1.8088172,brs,public,https://visitors.brsgolf.com/claytongolf#/course/1,high,found on https://claytongolfclub.co.uk/visitors/
Longley Park,,53.63895,-1.7721919,no_site,unknown,,low,still no website known
East Morton Golf Club,https://eastmortongolf.co.uk/,53.8713721,-1.8596604,error,unknown,,low,unreachable even with a browser user agent
Horsforth Golf Course,,53.8563113,-1.65571,no_site,unknown,,low,still no website known
West End Golf Club,,53.7290383,-1.905323,no_site,unknown,,low,still no website known
Cleckheaton & District Golf Club,,53.7369611,-1.7360209,no_site,unknown,,low,still no website known
Meltham Golf Club,,53.5877045,-1.8303106,no_site,unknown,,low,still no website known
Rawdon Golf Course,,53.8494551,-1.6873517,no_site,unknown,,low,still no website known
Bracken Ghyll Golf Club,https://www.brackenghyll.co.uk,53.9518293,-1.897992,clubv1,public,http://brackenghyll.hub.clubv1.com/visitors/booking,high,found on https://brackenghyllgolfclub.co.uk/
Howley Hall Golf Course,,53.7262241,-1.614838,no_site,unknown,,low,still no website known
The Village Golf Course,https://brandonandthevillagegolfcourses.co.uk/,53.8766538,-1.4839502,unknown,unknown,,low,site reachable (https://brandonandthevillagegolfcourses.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Brandon Golf Course,https://brandonandthevillagegolfcourses.co.uk/,53.8585597,-1.4914963,unknown,unknown,,low,site reachable (https://brandonandthevillagegolfcourses.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Temple Newsam Golf Course,,53.784883,-1.469535,no_site,unknown,,low,still no website known
Headingley Golf Club,,53.8650443,-1.5743605,no_site,unknown,,low,still no website known
Willow Valley Golf,,53.7091304,-1.7519494,no_site,unknown,,low,still no website known
Headley Golf Course,,53.7863302,-1.8538222,no_site,unknown,,low,still no website known
Garforth Golf Club,,53.8114592,-1.3972967,no_site,unknown,,low,still no website known
Elland Golf Club,https://www.ellandgolfclub.plus.com/home.htm,53.679341,-1.8572332,error,unknown,,low,unreachable even with a browser user agent
Midgley Lodge Motel & Golf Course,https://www.midgleylodgemotel.co.uk,53.6257544,-1.591918,unknown,unknown,,low,site reachable (https://midgleylodgemotel.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Hanging Heaton Golf Club,,53.6982251,-1.6201953,no_site,unknown,,low,still no website known
Mid Yorkshire Golf Club,,53.6789451,-1.2521036,no_site,unknown,,low,still no website known
Castlefields Golf Club,,53.6921902,-1.7885354,no_site,unknown,,low,still no website known
Halifax Bradley Hall Golf Club,,53.6798127,-1.8775162,no_site,unknown,,low,still no website known
Thornes Park Pitch and Putt,,53.6715653,-1.5075178,no_site,unknown,,low,still no website known
City of Wakefield Golf Course,,53.6648369,-1.5262992,no_site,unknown,,low,still no website known
City Golf Leeds,https://www.citygolfleeds.co.uk/,53.806469,-1.5938145,unknown,unknown,,low,site reachable (https://www.citygolfleeds.co.uk/) but no visitor booking found on it or 0 sub-page(s)
Waterton Park Golf Course,https://www.watertonpark.org.uk/,53.6413333,-1.45087,unknown,unknown,,low,site reachable (https://www.watertonpark.org.uk/) but no visitor booking found on it or 0 sub-page(s)
Hollins Hall Golf Course,https://www.marriott.com/hotels/hotel-information/golf-courses/lbags-hollins-hall-marriott-hotel-and-country-club/,53.8625516,-1.7442414,dead_link,unknown,,low,site reachable (https://www.marriott.com/default.mi) but no visitor booking found on it or 0 sub-page(s)
South Leeds Golf Club,,53.7569125,-1.5608706,no_site,unknown,,low,still no website known
Barnsley Golf Club,https://www.barnsleygolfclub.co.uk/,53.5966302,-1.4923903,unknown,unknown,,low,site reachable (https://barnsleygolfclub.co.uk/) but no visitor booking found on it or 5 sub-page(s)
Bracken Ghyll Golf Club,https://www.brackenghyll.co.uk,53.9518293,-1.897992,clubv1,public,http://brackenghyll.hub.clubv1.com/visitors/booking,high,found on https://brackenghyllgolfclub.co.uk/
Mid Yorkshire Golf Club,,53.6789451,-1.2521036,no_site,unknown,,low,still no website known
