name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Wessex Downs Golf Course,,51.4020343,-1.1569004,no_site,unknown,,low,no official website resolved (not in county union directory)
The Bunker Indoor Golf Simulator,,51.4131542,-1.3613455,no_site,unknown,,low,no official website resolved (not in county union directory)
Maidenhead Golf Course,,51.5113453,-0.7228731,no_site,unknown,,low,no official website resolved (not in county union directory)
East Berkshire Golf Club,,51.3746501,-0.8169052,no_site,unknown,,low,no official website resolved (not in county union directory)
Sonning Golf Club,https://www.sonning-golf-club.co.uk/,51.4695353,-0.8944853,intelligent_golf,login_required,,high,booking link requires login: https://sonning.intelligentgolf.co.uk/visitorbooking/
Richings Park Golf and Country Club,,51.4976784,-0.519644,no_site,unknown,,low,no official website resolved (not in county union directory)
Reading Golf Club,https://www.readinggolfclub.com/,51.4886548,-0.9761052,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.readinggolfclub.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Temple Golf Course,,51.5380072,-0.7950503,no_site,unknown,,low,no official website resolved (not in county union directory)
Winter Hill Golf Course,,51.5670853,-0.7206497,no_site,unknown,,low,no official website resolved (not in county union directory)
Bearwood Lakes Golf Club,https://www.bearwoodlakes.co.uk/,51.4088773,-0.8844971,unknown,unknown,,low,homepage loaded (https://www.bearwoodlakes.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Lavender Park Golf Centre,,51.410258,-0.7051048,no_site,unknown,,low,no official website resolved (not in county union directory)
Sand Martins Golf Club,https://www.sandmartins.com/,51.3907106,-0.8533896,unknown,unknown,,low,homepage loaded (https://www.sandmartins.com/) but no platform signal found on it or 5 booking-ish link(s)
Eton College Golf Course,https://www.etoncollege.com/ecgc-home.aspx,51.4977333,-0.6106072,unknown,unknown,,low,homepage loaded (https://www.etoncollege.com/) but no platform signal found on it or 3 booking-ish link(s)
Theale Golf Club,,51.445702,-1.0790811,no_site,unknown,,low,no official website resolved (not in county union directory)
Bradfield College Golf Club,,51.4440175,-1.1367529,no_site,unknown,,low,no official website resolved (not in county union directory)
Swinley Forest Golf Club,,51.3838513,-0.6885884,no_site,unknown,,low,no official website resolved (not in county union directory)
Wellington College Golf Course,https://www.wellingtoncollege.org.uk/2303/school-life/sports/golf,51.359137,-0.8085478,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Oakley Court Hotel Golf Course,https://www.oakleycourtwindsor.com/,51.4879854,-0.6701535,error,unknown,,low,"homepage fetch failed: HTTPConnectionPool(host='127.0.0.1', port=80): Max retries exceeded with url: / (Caused by NewConnectionError(""HTTPConnection(host='127.0.0.1', port=80): Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it""))"
Castle Royle Golf & Country Club,https://www.castleroyle.com/,51.4992648,-0.8169084,unknown,unknown,,low,homepage loaded (https://www.theclubcompany.com/castle-royle) but no platform signal found on it or 2 booking-ish link(s)
Mill Ride Golf & Country Club,https://www.mill-ride.com/,51.4245859,-0.6971927,intelligent_golf,login_required,,high,booking link requires login: https://www.mill-ride.com/visitorbooking
Wokingham Family Golf,https://www.wokinghamfamilygolf.co.uk/,51.3903683,-0.8420075,unknown,unknown,,low,homepage loaded (https://www.wokinghamfamilygolf.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Hennerton Golf Club,,51.5160988,-0.8643053,no_site,unknown,,low,no official website resolved (not in county union directory)
Deanwood Park Gold Course,,51.4135279,-1.3589076,no_site,unknown,,low,no official website resolved (not in county union directory)
GolfPlex Entertainment Centre,https://golfplex.co.uk/,51.4288661,-0.7827518,unknown,unknown,,low,homepage loaded (https://golfplex.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Datchet Golf Club,https://www.datchetgolfclub.co.uk/,51.4884725,-0.5885805,unknown,unknown,,low,homepage loaded (https://www.datchetgolfclub.co.uk/) but no platform signal found on it or 4 booking-ish link(s)
Goring & Streatley Golf Club,https://www.goringgolf.co.uk/,51.5228673,-1.1614415,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Bisham Abbey Golf Club,,51.5591652,-0.7776317,no_site,unknown,,low,no official website resolved (not in county union directory)
The Berkshire Golf Club,https://www.theberkshire.co.uk/,51.3852176,-0.7132378,intelligent_golf,login_required,,high,intelligent_golf convention path requires login: https://www.theberkshire.co.uk/visitorbooking/
Downshire Golf Complex,https://www.bracknell-forest.gov.uk/downshiregolfcomplex,51.3944417,-0.7881244,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Sunningdale Golf Club,,51.3819099,-0.6342329,no_site,unknown,,low,no official website resolved (not in county union directory)
Wokefield Park,,51.3856368,-1.0290364,no_site,unknown,,low,no official website resolved (not in county union directory)
Home Park Golf Course,,51.4802665,-0.5956126,no_site,unknown,,low,no official website resolved (not in county union directory)
