name,official_site,lat,lon,platform,access,evidence_url,confidence,note
City Park Starter Shack,,36.8327389,-76.3701668,no_site,unknown,,low,no official website resolved (not in county union directory)
New Forest Golf Club,https://www.newforestgolfclub.co.uk,50.8796172,-1.568931,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Waterlooville Golf Course,https://www.waterloovillegolfclub.com,50.8946334,-1.0034757,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Tylney Park Golf Club,https://www.tylneypark.co.uk,51.2952432,-0.9799843,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Great Salterns Golf Course,,50.8155957,-1.0467125,no_site,unknown,,low,no official website resolved (not in county union directory)
Portsmouth Golf Club,https://www.portsmouthgc.com,50.8554703,-1.0339579,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.portsmouthgc.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.portsmouthgc.com', port=443): Failed to resolve 'www.portsmouthgc.com' ([Errno 11001] getaddrinfo failed)""))"
Rowlands Castle Golf Course,https://www.rowlandscastlegolfclub.co.uk,50.8933737,-0.9692407,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.rowlandscastlegolfclub.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
North Hants Golf Club,https://www.northhantsgolf.co.uk,51.2936527,-0.8380978,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Eastney Pitch-and-Putt,,50.7818615,-1.0624763,no_site,unknown,,low,no official website resolved (not in county union directory)
The Ageas Bowl County Golf Club,,50.9209744,-1.3226586,no_site,unknown,,low,no official website resolved (not in county union directory)
Swanmore Golf Centre,,50.9296378,-1.1746133,no_site,unknown,,low,no official website resolved (not in county union directory)
Chilworth Golf Centre,https://www.chilworthgolfclub.com,50.9684275,-1.4345947,unknown,unknown,,low,homepage loaded (https://www.chilworthgolfclub.com/) but no platform signal found on it or 3 booking-ish link(s)
Hartley Wintney Golf Course,https://www.hartleywintneygolfclub.com,51.3091972,-0.8896072,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Dibden Golf Centre,https://www.bramshotthillgolfclub.org,50.8696104,-1.4308192,unknown,unknown,,low,homepage loaded (https://www.bramshotthillgolfclub.org/) but no platform signal found on it or 0 booking-ish link(s)
Elizabeth Manor Golf & Country Club,,36.8153617,-76.3932737,no_site,unknown,,low,no official website resolved (not in county union directory)
Romsey Golf Club,https://www.romseygolfclub.com,50.9561047,-1.466845,unknown,unknown,,low,homepage loaded (https://www.romseygolfclub.com/) but no platform signal found on it or 10 booking-ish link(s)
