name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Stockley Park Golf Club,,51.5135428,-0.4429594,no_site,unknown,,low,no official website resolved (not in county union directory)
Bush Hill Park Golf Club,,51.6462836,-0.0880528,no_site,unknown,,low,no official website resolved (not in county union directory)
Trent Park Golf Course,,51.6531621,-0.1316881,no_site,unknown,,low,no official website resolved (not in county union directory)
Enfield Golf Club,,51.6501458,-0.1028065,no_site,unknown,,low,no official website resolved (not in county union directory)
Hadley Wood Golf Course,,51.6615782,-0.1627983,no_site,unknown,,low,no official website resolved (not in county union directory)
South Hertfordshire Golf course,,51.6362423,-0.190479,no_site,unknown,,low,no official website resolved (not in county union directory)
Lee Valley Golf Course,https://www.visitleevalley.org.uk/en/content/cms/outdoors/golf/golf-courses-in-london/,51.6324466,-0.0341516,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Stanmore Golf Club,,51.6077478,-0.3190764,no_site,unknown,,low,no official website resolved (not in county union directory)
Sudbury Golf Course,,51.5451536,-0.315196,no_site,unknown,,low,no official website resolved (not in county union directory)
Ealing Golf Course,,51.530265,-0.3172018,no_site,unknown,,low,no official website resolved (not in county union directory)
Airlinks Golf Course,,51.4920774,-0.3915032,no_site,unknown,,low,no official website resolved (not in county union directory)
Roehampton Club Golf Course,https://www.roehamptonclub.co.uk/,51.4589623,-0.2499627,unknown,unknown,,low,homepage loaded (https://www.roehamptonclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Wimbledon Park Golf Club,https://www.wpgc.co.uk/,51.4351283,-0.2085236,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.wpgc.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Highgate Golf Club,https://www.highgategc.co.uk/,51.5785493,-0.1634571,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Coombe Hill Golf Club,,51.4224141,-0.2616748,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal Mid-Surrey Golf Club,,51.4690269,-0.3076576,no_site,unknown,,low,no official website resolved (not in county union directory)
Harrow Hill Golf Course,https://www.harrowhillgolfcourse.co.uk/,51.5773148,-0.3281059,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.harrowhillgolfcourse.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.harrowhillgolfcourse.co.uk', port=443): Failed to resolve 'www.harrowhillgolfcourse.co.uk' ([Errno 11001] getaddrinfo failed)""))"
