name,official_site,lat,lon,platform,access,evidence_url,confidence,note
The Church,,51.3198535,-0.486217,no_site,unknown,,low,no official website resolved (not in county union directory)
The Garden,,51.320827,-0.4787822,no_site,unknown,,low,no official website resolved (not in county union directory)
Wisley practice facility,https://www.thewisley.com/,51.3180959,-0.47879,unknown,unknown,,low,homepage loaded (https://www.thewisley.com/) but no platform signal found on it or 0 booking-ish link(s)
The Mill,,51.3150275,-0.4857574,no_site,unknown,,low,no official website resolved (not in county union directory)
Main Course,,51.3124809,-0.5282389,no_site,unknown,,low,no official website resolved (not in county union directory)
Short Course,,51.3119029,-0.538043,no_site,unknown,,low,no official website resolved (not in county union directory)
Shey Copse,,51.3143631,-0.5347829,no_site,unknown,,low,no official website resolved (not in county union directory)
Roehampton Club Golf Course,https://www.roehamptonclub.co.uk/,51.4589623,-0.2499627,unknown,unknown,,low,homepage loaded (https://www.roehamptonclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Wimbledon Park Golf Club,,51.4351283,-0.2085236,no_site,unknown,,low,no official website resolved (not in county union directory)
Coombe Hill Golf Club,https://www.coombehillgolfclub.com/,51.4224141,-0.2616748,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Royal Mid-Surrey Golf Club,https://www.rmsgc.co.uk/,51.4690269,-0.3076576,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Chipstead Golf Club,https://www.chipsteadgolf.co.uk/,51.3089721,-0.165229,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Addington Palace Golf Club,https://www.addingtonpalacegolf.co.uk/default.aspx,51.3616452,-0.0429925,dead_link,unknown,,low,"directory URL returned HTTP 404 — stale link, needs a fresh website lookup"
Farleigh Golf Club,https://www.farleighfox.co.uk,51.3314049,-0.033287,intelligent_golf,unknown,,medium,platform link(s) seen (['intelligent_golf']) but no confirmed public booking page found
Kent & Surrey Golf & Country Club,,51.201982,0.0425917,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal Wimbledon Golf Course,https://www.rwgc.co.uk/,51.423006,-0.2406635,intelligent_golf,login_required,,high,intelligent_golf convention path requires login: https://www.rwgc.co.uk/visitorbooking/
Championship Course,,51.341938,-0.0297388,no_site,unknown,,low,no official website resolved (not in county union directory)
Coulsdon Manor & Golf Club,,51.3156531,-0.1220411,no_site,unknown,,low,no official website resolved (not in county union directory)
Bletchingley Golf Course,https://www.bletchingleygolf.co.uk/,51.2452843,-0.0930675,clubv1,not_available,,high,"platform reached but not a public visitor sheet (platform link; members-only, or visitor booking not enabled): https://bletchingley.hub.clubv1.com/Visitors/booking"
Cuddington Golf Course,https://www.cuddingtongc.co.uk/,51.3367549,-0.2209971,intelligent_golf,login_required,,high,intelligent_golf convention path requires login: https://www.cuddingtongc.co.uk/visitorbooking/
