name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Warden Hills Course,,51.9227355,-0.419625,no_site,unknown,,low,no official website resolved (not in county union directory)
Galley Hills Course,,51.9299852,-0.4146655,no_site,unknown,,low,no official website resolved (not in county union directory)
Beadlow Manor,,52.0262872,-0.3814267,no_site,unknown,,low,no official website resolved (not in county union directory)
Colworth Golf Club,https://www.sharnbrookgolfclub.co.uk/,52.2261137,-0.570715,unknown,unknown,,low,homepage loaded (https://sharnbrookgolfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Whipsnade Park Golf Club,,51.8375034,-0.5417199,no_site,unknown,,low,no official website resolved (not in county union directory)
Pavenham Park Golf Club,https://www.pavenhampark.com,52.1945054,-0.5439103,unknown,unknown,,low,homepage loaded (https://www.pavenhampark.com/) but no platform signal found on it or 1 booking-ish link(s)
Caddington Golf Club,,51.8795729,-0.473474,no_site,unknown,,low,no official website resolved (not in county union directory)
Wyboston Lakes Golf Course,https://www.wybostonlakesgolfclub.co.uk,52.2034556,-0.2818353,unknown,unknown,,low,homepage loaded (https://www.wybostonlakesgolfclub.co.uk/) but no platform signal found on it or 1 booking-ish link(s)
Stockwood Park Golf Centre,https://www.stockwoodparkgolfclub,51.8614537,-0.4250147,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.stockwoodparkgolfclub', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='www.stockwoodparkgolfclub', port=443): Failed to resolve 'www.stockwoodparkgolfclub' ([Errno 11001] getaddrinfo failed)""))"
Luton Hoo Golf Course,https://www.lutonhoo.co.uk/luton-hoo-golf-course,51.8548601,-0.4058304,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Abbotsley Golf Hotel,https://www.abbotsley.com/,52.1963068,-0.2396806,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.abbotsley.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Chalgrave Manor Golf Club,https://www.chalgravegolf.co.uk,,,unknown,unknown,,low,homepage loaded (https://chalgravegolf.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Henlow Golf Club,https://www.henlowgolfclub.com,,,unknown,unknown,,low,homepage loaded (https://henlowgolfclub.com/) but no platform signal found on it or 3 booking-ish link(s)
Sharnbrook Golf Club,https://www.sharnbrookgolfclub.co.uk,,,unknown,unknown,,low,homepage loaded (https://sharnbrookgolfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Girton Golf Club,,52.2477832,0.0721862,no_site,unknown,,low,no official website resolved (not in county union directory)
Brampton Park Golf Club,https://www.bramptonparkgc.co.uk/,52.3185716,-0.2129145,unknown,unknown,,low,homepage loaded (https://bramptonparkgc.co.uk/) but no platform signal found on it or 6 booking-ish link(s)
Brampton Park Golf  Club,https://www.bramptonparkgc.co.uk/,52.312614,-0.2199288,unknown,unknown,,low,homepage loaded (https://bramptonparkgc.co.uk/) but no platform signal found on it or 6 booking-ish link(s)
Heydon Grange Golf & Country Club,https://www.heydongrangegolf.co.uk/,52.0633525,0.0681012,unknown,unknown,,low,homepage loaded (https://www.heydongrangegolf.co.uk/) but no platform signal found on it or 4 booking-ish link(s)
Tydd St Giles Golf Course,https://www.pureleisuregroup.com/parks/tydd-st-giles/golf,52.7319308,0.1224916,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.pureleisuregroup.com', port=443): Max retries exceeded with url: /parks/tydd-st-giles/golf (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.pureleisuregroup.com', port=443) at 0x226f724d950>, 'Connection to www.pureleisuregroup.com timed out. (connect timeout=20)'))"
Kawartha Golf & Country Club,,44.2860405,-78.3575676,no_site,unknown,,low,no official website resolved (not in county union directory)
Peterborough Golf & Country Club,,44.3317522,-78.3034576,no_site,unknown,,low,no official website resolved (not in county union directory)
Liftlock Golf Club,,44.3081059,-78.2980086,no_site,unknown,,low,no official website resolved (not in county union directory)
St Neots Golf Club,https://www.stneotsgolfclub.co.uk/,52.2389635,-0.2750225,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.stneotsgolfclub.co.uk', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.stneotsgolfclub.co.uk', port=443) at 0x226f724e850>, 'Connection to www.stneotsgolfclub.co.uk timed out. (connect timeout=20)'))"
Whaddon Golf Centre,,52.09861,-0.0291082,no_site,unknown,,low,no official website resolved (not in county union directory)
Stilton Oaks Golf Course,,52.4825365,-0.2964624,no_site,unknown,,low,no official website resolved (not in county union directory)
Ely On Par Golf Club,https://elydrivingrange.co.uk,52.411499,0.2473687,unknown,unknown,,low,homepage loaded (https://elydrivingrange.co.uk/) but no platform signal found on it or 2 booking-ish link(s)
Priory Golf & Activity Centre,,52.5208846,0.0858867,no_site,unknown,,low,no official website resolved (not in county union directory)
Meridian Golf hole #1,,52.178033,-0.0013649,no_site,unknown,,low,no official website resolved (not in county union directory)
Abbotsley Golf Hotel,https://www.abbotsley.com/,52.1963068,-0.2396806,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.abbotsley.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
The Old Nene Golf & Country Club,https://www.theoldnene.co.uk,52.4686294,-0.1050438,unknown,unknown,,low,homepage loaded (https://theoldnene.co.uk/) but no platform signal found on it or 35 booking-ish link(s)
Market Harborough Golf Club,,52.4565437,-0.9246459,no_site,unknown,,low,no official website resolved (not in county union directory)
Farthingstone Hotel and Golf,https://www.farthingstone.co.uk/,52.1904426,-1.1229124,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.farthingstone.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Cold Ashby Golf Club,https://www.coldashbygolfclub.com/,52.3771555,-1.0645898,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.coldashbygolfclub.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
Delapre Golf Centre,https://delapregolfcentre.co.uk/,52.2206646,-0.8873606,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='delapregolfcentre.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Rushden Golf Range,https://www.rushdengolfrange.co.uk/,52.2732297,-0.583151,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.rushdengolfrange.co.uk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1081)')))"
John White Golf Course,,52.2722871,-0.5816606,no_site,unknown,,low,no official website resolved (not in county union directory)
Daventry & District Golf Club,https://www.daventrygolfclub.co.uk/,52.2638367,-1.1403887,unknown,unknown,,low,homepage loaded (https://daventrygolfclub.co.uk/) but no platform signal found on it or 0 booking-ish link(s)
Northamptonshire County Golf Course,,52.2758675,-0.9387313,no_site,unknown,,low,no official website resolved (not in county union directory)
Brampton Health Golf Centre,,52.2767281,-0.932898,no_site,unknown,,low,no official website resolved (not in county union directory)
