name,official_site,lat,lon,platform,access,evidence_url,confidence,note
Crazy Golf,,52.6592365,1.7264886,no_site,unknown,,low,no official website resolved (not in county union directory)
Dereham Golf Club,,52.690903,0.9335813,no_site,unknown,,low,no official website resolved (not in county union directory)
Ryston Park Golf Club,,52.5832025,0.3907479,no_site,unknown,,low,no official website resolved (not in county union directory)
Hunstanton Golf Club,,52.9613791,0.5174025,no_site,unknown,,low,no official website resolved (not in county union directory)
Gorleston Golf Club,,52.549948,1.7305405,no_site,unknown,,low,no official website resolved (not in county union directory)
King’s Lynn Golf Club,https://www.club-noticeboard.co.uk/kingslynn/,52.7844443,0.4547106,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.club-noticeboard.co.uk', port=443): Max retries exceeded with url: /kingslynn/ (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
RAF Feltwell Golf Course,,52.4751605,0.5232437,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal West Norfolk Golf Club,,52.9742198,0.6534356,no_site,unknown,,low,no official website resolved (not in county union directory)
Sheringham Golf Links,,52.9443257,1.1900708,no_site,unknown,,low,no official website resolved (not in county union directory)
Sprowston Manor Golf Club,,52.6656215,1.3450609,no_site,unknown,,low,no official website resolved (not in county union directory)
Wensum Valley Hotel Golf Course,,52.6867257,1.1780861,no_site,unknown,,low,no official website resolved (not in county union directory)
Swaffham Golf Club,https://www.club-noticeboard.co.uk/swaffham/,52.6308879,0.6648618,error,unknown,,low,"homepage fetch failed: HTTPSConnectionPool(host='www.club-noticeboard.co.uk', port=443): Max retries exceeded with url: /swaffham/ (Caused by SSLError(SSLCertVerificationError(""The certificate's CN name does not match the passed value."")))"
Gorleston Putting Green,https://www.greatyarmouthservices.co.uk/open-spaces/book-sports-facilities/gorleston-cliffs-putting-course,52.5631765,1.7310817,unknown,unknown,,low,homepage loaded (https://www.greatyarmouthservices.co.uk/open-spaces/book-sports-facilities/gorleston-cliffs-putting-course) but no platform signal found on it or 14 booking-ish link(s)
Silfield Village Golf Course,,52.5533002,1.1332821,no_site,unknown,,low,no official website resolved (not in county union directory)
Dunston Hall Golf Course,,52.5702852,1.2833233,no_site,unknown,,low,no official website resolved (not in county union directory)
Barnham Broom,https://www.barnham-broom.co.uk/golf,52.6345345,1.0944395,blocked,unknown,,low,homepage returned HTTP 403 — likely bot-blocked; needs a browser-based check
Denver Golf Club,,52.5890195,0.3641646,no_site,unknown,,low,no official website resolved (not in county union directory)
Royal Cromer Golf Club,,52.9218635,1.3261883,no_site,unknown,,low,no official website resolved (not in county union directory)
Mundesley Golf Course,,52.8768305,1.4194909,no_site,unknown,,low,no official website resolved (not in county union directory)
Middleton Hall Golf Club,https://www.middletonhallgolfclub.com/,52.7204015,0.4517552,unknown,unknown,,low,homepage loaded (https://www.middletonhallgolfclub.com/) but no platform signal found on it or 4 booking-ish link(s)
Lambert's Point Golf Course,,36.8830011,-76.3195525,no_site,unknown,,low,no official website resolved (not in county union directory)
Ocean View Golf Course,https://www.oceanviewgc.com/,36.9463506,-76.251033,unknown,unknown,,low,homepage loaded (https://www.oceanviewgc.com/) but no platform signal found on it or 2 booking-ish link(s)
5 Hole Golf Course,,36.9531206,-76.3137088,no_site,unknown,,low,no official website resolved (not in county union directory)
Browston Hall Golf Course,,52.5544162,1.6845131,no_site,unknown,,low,no official website resolved (not in county union directory)
Norfolk Premier Golf,,52.6301211,1.4403109,no_site,unknown,,low,no official website resolved (not in county union directory)
Sewells Point Golf Course,,36.9236542,-76.288068,no_site,unknown,,low,no official website resolved (not in county union directory)
