club,county,what_we_know,link_we_have,your_answer,booking_page_link
Bedfordshire Golf Club,Bedfordshire,"Booking system spotted, but no public tee sheet confirmed",,,
Colmworth and North Beds Golf Club,Bedfordshire,"Booking system spotted, but no public tee sheet confirmed",https://www.chronogolf.com/club/colmworth-golf-club,,
Kingsway Golf Centre Biggleswade,Bedfordshire,"Booking system spotted, but no public tee sheet confirmed",https://www.chronogolf.com/club/19693/widget?medium=widget&source=club#?date=2025-12-15,,
Mill Ride Golf & Country Club,Berkshire,"Booking system spotted, but no public tee sheet confirmed",https://www.mill-ride.com/visitorbooking,,
Sonning Golf Club,Berkshire,"Booking system spotted, but no public tee sheet confirmed",https://sonning.intelligentgolf.co.uk/visitorbooking/,,
Sunningdale Golf Club,Berkshire,"Booking system spotted, but no public tee sheet confirmed",https://www.sunningdalegolfclub.co.uk/visitorbooking/,,
Buckinghamshire Golf Course,Buckinghamshire,"Booking system spotted, but no public tee sheet confirmed",,,
Chelmsford Golf Course,Essex,"Booking system spotted, but no public tee sheet confirmed",https://chelmsford.intelligentgolf.co.uk/visitorbooking/,,
Colchester Golf Club,Essex,"Booking system spotted, but no public tee sheet confirmed",https://www.colchestergolfclub.com/visitorbooking,,
Orsett Golf Club,Essex,"Booking system spotted, but no public tee sheet confirmed",https://orsett.hub.clubv1.com/,,
Play Golf Colchester (Lexden Wood Golf Course),Essex,"Booking system spotted, but no public tee sheet confirmed",https://www.colchestergolfclub.com/visitorbooking,,
Rochford Hundred Golf Club,Essex,"Booking system spotted, but no public tee sheet confirmed",https://www.rochfordhundredgolfclub.co.uk/visitorbooking/,,
The Burstead Golf Club,Essex,"Booking system spotted, but no public tee sheet confirmed",,,
Army Golf Course,Hampshire,"Booking system spotted, but no public tee sheet confirmed",,,
Barton on Sea Golf Club,Hampshire,"Booking system spotted, but no public tee sheet confirmed",,,
Chilworth Golf Centre,Hampshire,"Booking system spotted, but no public tee sheet confirmed",https://cdn2.chronogolf.com/widgets/v2,,
Fleetlands Golf Club,Hampshire,"Booking system spotted, but no public tee sheet confirmed",,,
North Hants Golf Club,Hampshire,"Booking system spotted, but no public tee sheet confirmed",https://northhants.intelligentgolf.co.uk/visitorbooking/,,
The Hampshire Golf Club,Hampshire,"Booking system spotted, but no public tee sheet confirmed",,,
Tournerbury Golf Course,Hampshire,"Booking system spotted, but no public tee sheet confirmed",,,
Wheatlands Golf Club,Hampshire,"Booking system spotted, but no public tee sheet confirmed",https://visitors.brsgolf.com/wheatlands,,
Letchworth Golf Club,Hertfordshire,"Booking system spotted, but no public tee sheet confirmed",mailto:info@intelligentgolf.co.uk,,
The Hertsmere,Hertfordshire,"Booking system spotted, but no public tee sheet confirmed",https://www.thehertsmere.co.uk/the-course/pay-and-play/,,
Cowdray Park Golf Club,Kent or Sussex,"Booking system spotted, but no public tee sheet confirmed",,,
Gillingham Golf Club,Kent or Sussex,"Booking system spotted, but no public tee sheet confirmed",,,
Highwoods Golf Club,Kent or Sussex,"Booking system spotted, but no public tee sheet confirmed",https://visitors.brsgolf.com/highwoodsgc#/visitor-booking,,
Rochester and Cobham Park Golf Club,Kent or Sussex,"Booking system spotted, but no public tee sheet confirmed",,,
Rye Golf Club,Kent or Sussex,"Booking system spotted, but no public tee sheet confirmed",https://www.ryegolfclub.co.uk/visitorbooking/,,
Worthing Golf Club,Kent or Sussex,"Booking system spotted, but no public tee sheet confirmed",,,
Wrotham Heath Golf Club,Kent or Sussex,"Booking system spotted, but no public tee sheet confirmed",,,
Corinthian Golf Club,"Kent, Sussex or Surrey","Booking system spotted, but no public tee sheet confirmed",,,
Moore Place Golf Club,"Kent, Sussex or Surrey","Booking system spotted, but no public tee sheet confirmed",,,
Windlemere Ladies Golf Club,"Kent, Sussex or Surrey","Booking system spotted, but no public tee sheet confirmed",,,
Enfield Golf Club,London,"Booking system spotted, but no public tee sheet confirmed",,,
Haste Hill Golf Course,London,"Booking system spotted, but no public tee sheet confirmed",https://visitors.brsgolf.com/hastehill#/course/1,,
Highgate Golf Club,London,"Booking system spotted, but no public tee sheet confirmed",,,
Lee Valley Golf Course,London,"Booking system spotted, but no public tee sheet confirmed",,,
Oaks Sports Centre,London,"Booking system spotted, but no public tee sheet confirmed",https://visitors.brsgolf.com/oaks#/course/1,,
Wimbledon Park Golf Club,London,"Booking system spotted, but no public tee sheet confirmed",mailto:info@intelligentgolf.co.uk,,
Huntercombe Golf Club,Oxfordshire,"Booking system spotted, but no public tee sheet confirmed",https://huntercombe.intelligentgolf.co.uk/visitorbooking/,,
The Wychwood Golf Club,Oxfordshire,"Booking system spotted, but no public tee sheet confirmed",,,
Beaverbrook Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Coombe Hill Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Dulwich and Sydenham Hill Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Farleigh Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Farnham Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Farnham Park Golf Course,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Hankley Common Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",https://hankleycommon.intelligentgolf.co.uk/visitorbooking/,,
New Course,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
New Zealand Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
The Addington Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",https://www.e-s-p.com/elitelive/book_date.php,,
Woking Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Worplesdon Golf Club,Surrey,"Booking system spotted, but no public tee sheet confirmed",,,
Abbotsley Golf Hotel,Bedfordshire,"Website loads, but no booking system spotted",https://www.abbotsley.com/,,
Chalgrave Manor Golf Club,Bedfordshire,"Website loads, but no booking system spotted",https://chalgravegolf.co.uk/,,
Colworth Golf Club,Bedfordshire,"Website loads, but no booking system spotted",https://sharnbrookgolfclub.co.uk/,,
Henlow Golf Club,Bedfordshire,"Website loads, but no booking system spotted",https://henlowgolfclub.com/,,
Luton Hoo Golf Course,Bedfordshire,"Website loads, but no booking system spotted",https://www.lutonhoo.co.uk/,,
Pavenham Park Golf Club,Bedfordshire,"Website loads, but no booking system spotted",https://www.pavenhampark.com/,,
Sharnbrook Golf Club,Bedfordshire,"Website loads, but no booking system spotted",https://sharnbrookgolfclub.co.uk/,,
Wyboston Lakes Golf Course,Bedfordshire,"Website loads, but no booking system spotted",https://www.wybostonlakesgolfclub.co.uk/,,
Bearwood Lakes Golf Club,Berkshire,"Website loads, but no booking system spotted",https://www.bearwoodlakes.co.uk/,,
Castle Royle Golf & Country Club,Berkshire,"Website loads, but no booking system spotted",https://www.theclubcompany.com/castle-royle,,
Datchet Golf Club,Berkshire,"Website loads, but no booking system spotted",https://www.datchetgolfclub.co.uk/,,
Downshire Golf Complex,Berkshire,"Website loads, but no booking system spotted",https://www.downshiregolf.co.uk/,,
Eton College Golf Course,Berkshire,"Website loads, but no booking system spotted",https://www.etoncollege.com/,,
GolfPlex Entertainment Centre,Berkshire,"Website loads, but no booking system spotted",https://golfplex.co.uk/,,
Lavender Park Golf Centre,Berkshire,"Website loads, but no booking system spotted",https://lavenderparkgolf.co.uk/,,
Sand Martins Golf Club,Berkshire,"Website loads, but no booking system spotted",https://www.sandmartins.com/,,
Wokingham Family Golf,Berkshire,"Website loads, but no booking system spotted",https://www.wokinghamfamilygolf.co.uk/,,
Hedsor Golf Course,Buckinghamshire,"Website loads, but no booking system spotted",https://hedsorgolfcourse.co.uk/,,
Magnolia Park,Buckinghamshire,"Website loads, but no booking system spotted",https://magnoliapark.co.uk/,,
Silverstone Golf Club,Buckinghamshire,"Website loads, but no booking system spotted",https://www.silverstonegolfclub.co.uk/,,
The South Buckinghamshire Golf Course,Buckinghamshire,"Website loads, but no booking system spotted",https://thesouthbuckinghamshire.co.uk/,,
Thorney Park Golf Club,Buckinghamshire,"Website loads, but no booking system spotted",https://thorneypark.com/,,
Windmill Hill Golf Centre,Buckinghamshire,"Website loads, but no booking system spotted",https://www.windmillhillgc.co.uk/,,
Ballards Gore,Essex,"Website loads, but no booking system spotted",https://www.ballardsgore.com/,,
Belfairs Golf Club,Essex,"Website loads, but no booking system spotted",https://www.belfairsgolfclub.co.uk/,,
Bentley Golf Course,Essex,"Website loads, but no booking system spotted",https://bentleygolfclub.com/,,
Benton Hall Golf and Country Club,Essex,"Website loads, but no booking system spotted",https://www.theclubcompany.com/,,
Birch Grove Golf Club,Essex,"Website loads, but no booking system spotted",https://birchgrovegolfclub.com/,,
Bunsay Downs Golf Club,Essex,"Website loads, but no booking system spotted",https://www.thewarrenestate.co.uk/golf,,
Crondon Park Golf & Country Club,Essex,"Website loads, but no booking system spotted",https://crondonpark.com,,
Crowlands Heath Golf Club,Essex,"Website loads, but no booking system spotted",https://www.crowlandsheath.co.uk/,,
Elsenham Golf and Leisure,Essex,"Website loads, but no booking system spotted",https://golfworldstansted.co.uk/,,
Forrester Park Golf Club,Essex,"Website loads, but no booking system spotted",https://www.forrester-park.co.uk/golf/,,
High Beech Golf Course,Essex,"Website loads, but no booking system spotted",https://highbeechgolf.com/,,
